type,doctype,fieldname,label,path,details
link_to_unknown_doctype,Consent Form,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/consent_form/consent_form.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Consent Log,consent_given_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/consent_log/consent_log.json,"{""options"": ""User""}"
link_to_unknown_doctype,Consent Log Entry,technician,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/consent_log_entry/consent_log_entry.json,"{""options"": ""User""}"
link_to_unknown_doctype,Consent Log Entry,reference_doctype,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/consent_log_entry/consent_log_entry.json,"{""options"": ""DocType""}"
link_to_unknown_doctype,Customer Consent,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/customer_consent/customer_consent.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Instruments Owned,serial_no,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/instruments_owned/instruments_owned.json,"{""options"": ""Serial No""}"
link_to_unknown_doctype,Instruments Owned,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/instruments_owned/instruments_owned.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Linked Players,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/customer/doctype/linked_players/linked_players.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Customer Upgrade Request,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/enhancements/doctype/customer_upgrade_request/customer_upgrade_request.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Customer Upgrade Request,item_code,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/enhancements/doctype/customer_upgrade_request/customer_upgrade_request.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Instrument Inspection,inspected_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/inspection/doctype/instrument_inspection/instrument_inspection.json,"{""options"": ""User""}"
link_to_unknown_doctype,Instrument Inspection,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/inspection/doctype/instrument_inspection/instrument_inspection.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Client Instrument Profile,serial_no,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_profile/doctype/client_instrument_profile/client_instrument_profile.json,"{""options"": ""Serial No""}"
