DocType,Type,Key Fields,Child Tables,Links,Indexes/Unique,Naming Series,Change Tracking,Permissions Summary,Gaps
Barcode Scan Entry,Standard,barcode; linked_item; scan_time; context_note,,linked_item->Item,,,No,System Manager:RWCD; Technician:RC,
Brand Mapping Rule,Standard,from_brand; to_brand,,,,,changes / seen / views,System Manager:RWCD; Repair Manager:RWC,
Clarinet Initial Setup,Standard,project_info_section; status; priority; setup_type; column_break_project; progress; instrument; clarinet_initial_setup_id,checklist:Setup Checklist Item; operations_performed:Clarinet Setup Operation; materials_used:Setup Material Log; notes:Instrument Interaction Log,serial->Instrument Serial Number; instrument->Instrument; instrument_profile->Instrument Profile; intake->Clarinet Intake; inspection->Instrument Inspection; technician->User; setup_template->Setup Template; amended_from->Clarinet Initial Setup,clarinet_initial_setup_id,format: CSU-{YY}{MM}-{####},changes / seen / views,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS; Customer:RC,
Clarinet Intake,Standard,sec_overview; intake_record_id; intake_date; intake_type; col_overview_right; employee; workflow_stage_badge; sla_commitment_panel; instrument_category; manufacturer; model; serial_no; clarinet_type; customer,accessory_id:Intake Accessory Item,employee->User; instrument->Instrument; instrument_category->Instrument Category; manufacturer->Brand; customer->Customer; work_order_number->Work Order; consent_form->Consent Form; amended_from->Clarinet Intake,intake_record_id,field:intake_record_id,changes / seen / views,System Manager:RWCDS; Repair Manager:RWCS; Technician:RWC,
Clarinet Intake Settings,Single,section_defaults; default_item_group; default_inspection_warehouse; buying_price_list; selling_price_list,brand_mapping_rules:Brand Mapping Rule,default_item_group->Item Group; default_inspection_warehouse->Warehouse; buying_price_list->Price List; selling_price_list->Price List; stock_uom->UOM; default_consent_template->Consent Template,,,changes,System Manager:RWC; Repair Manager:RW,
Clarinet Pad Entry,Standard,pad_position; is_secondary_pad; parent_pad; pad_type; is_open_key,,parent_pad->Clarinet Pad Entry,,format:CPE-{#####},No,,
Clarinet Pad Map,Standard,clarinet_model; top_joint_pads; bottom_joint_pads; instrument_category,top_joint_pads:Clarinet Pad Entry; bottom_joint_pads:Clarinet Pad Entry,clarinet_model->Instrument Model; instrument_category->Instrument Category,,format:PAD-MAP-{clarinet_model},No,System Manager:RWCD,
Clarinet Setup Log,Standard,customer; initial_setup; log_time; instrument_profile; description; serial,,customer->Customer; initial_setup->Clarinet Initial Setup; instrument_profile->Instrument Profile; action_by->User; serial->Instrument Serial Number,,format:CSL-{YY}{MM}-{#####},No,Technician:R; Service Manager:RWC; Customer:R,
Clarinet Setup Operation,Standard,operation_type; section; component_ref; details; completed,,,,format:CSO-{#####},No,,
Clarinet Setup Task,Standard,clarinet_initial_setup; subject; status; priority; progress,depends_on:Clarinet Task Depends On,clarinet_initial_setup->Clarinet Initial Setup; assigned_to->User; instrument->Instrument; parent_task->Clarinet Setup Task; serial->Instrument Serial Number; amended_from->Clarinet Setup Task,,format:CST-{#####},changes / seen,Technician:RWCD; Service Manager:RWCDSXA; System Manager:RWCDSXA,
Clarinet Task Depends On,Standard,task,,task->Clarinet Setup Task,,format:CTDO-{#####},No,,
Clarinet Template Task,Standard,sequence; depends_on; subject; description; default_priority,depends_on:Clarinet Template Task Depends On,,,format:CTT-{#####},No,,
Clarinet Template Task Depends On,Standard,sequence; subject,,subject->Clarinet Template Task,,format:CTTDO-{#####},No,,
Client Instrument Profile,Standard,instrument_model; serial_no; instrument_category; purchase_receipt; external_work_logs; instrument_owner,external_work_logs:Customer External Work Log; condition_images:Instrument Photo; consent_log:Consent Log Entry,serial_no->Serial No; ownership_transfer_to->Customer; instrument_owner->Customer,serial_no,field:serial_no,No,Customer:RWC; Technician:RW,
Consent Autofill Mapping,Standard,enabled; variable_name; source_doctype; form_link_field; source_fieldname,,source_doctype->DocType,,,No,,
Consent Field Value,Standard,field_label; field_type; field_value,,,,,No,System Manager:RWCD,
Consent Form,Standard,customer; consent_template; consent_field_values; signature; signed_on; status,consent_field_values:Consent Field Value; log_entries:Consent Log Entry,customer->Customer; consent_template->Consent Template,,,changes / seen / views,System Manager:RWCDSX; Sales User:RWCS,
Consent Linked Source,Standard,enabled; label; fieldname; source_doctype; insert_after,,source_doctype->DocType,,,No,System Manager:RWCD,
Consent Log Entry,Standard,entry_date; method; technician; notes; consent_type,,technician->User; reference_doctype->DocType; reference_name->reference_doctype,,,No,System Manager:RWCD; Technician:RWC; Service Manager:RWCDS,
Consent Required Field,Standard,field_label; field_type; is_required; default_value,,,,,No,System Manager:RWCD,
Consent Settings,Single,enable_auto_fill; apply_on_save; sb1; mappings; sb2,mappings:Consent Autofill Mapping; linked_sources:Consent Linked Source,,,,changes,System Manager:RWCD,
Consent Template,Standard,title; consent_type; version; content; is_active,required_fields:Consent Required Field,,title,field:title,changes / seen / views,System Manager:RWCD,
Customer External Work Log,Standard,service_date; service_type; service_notes; external_shop_name; receipt_attachment; instrument,,instrument->Instrument,,,changes,,
Customer Type,Standard,naming_series; type_name; is_default; portal_visible; description,,,type_name,naming_series:CPT-.###,No,System Manager:RWCD; Client Manager:RWC,
Customer Upgrade Request,Standard,customer; requested_upgrades; notes; serial; amended_from,requested_upgrades:Upgrade Option,customer->Customer; serial->Instrument; amended_from->Customer Upgrade Request,,,changes,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS; Customer:RC,
Default Operations,Standard,operation_type; operation_template; material_used,operation_template:Operation Template; material_used:Material Use Log,,,format:OP-{#####},No,System Manager:RWCD; Technician:RC,
Diagnostic Metrics,Standard,metric; value; unit; benchmark; notes,,,,,No,System Manager:RWCD; Technician:RC,
Environment Log,Standard,log_datetime; humidity; temperature; notes,,,,,No,System Manager:RWCD,
Estimate Line Item,Standard,description; part_code; hours; rate; amount,,part_code->Item,,,No,System Manager:RWCD; Repair Manager:RWC; Technician:RC,
Final Qa Checklist,Standard,qa_technician; log_entry; checklist_items; overall_passed; comments; workflow_state,checklist_items:Final Qa Checklist Item,qa_technician->User; log_entry->Repair Task Log,,,No,QA Technician:RWCS; Service Manager:RWCSX; System Manager:RWCSX; Customer:R,
Final Qa Checklist Item,Standard,description; passed; notes,,,,,No,Technician:RWC; QA Technician:RWC; Service Manager:RWC; System Manager:RWC,
Instrument,Standard,instrument_id; serial_no; instrument_type; brand; model; clarinet_type; instrument_category,accessory_id:Instrument Accessory,brand->Brand; instrument_category->Instrument Category; customer->Customer,instrument_id; serial_no,format: INST-{#####},changes / seen / views,System Manager:RWCDPEHOT; Technician:RW; Repair Manager:RWCD; Client:R,
Instrument Accessory,Standard,accessory_id; accessory; desc; serial_no; acquired_date,,,accessory_id,field:accessory_id,changes / seen / views,System Manager:RWCD; Repair Manager:RWC; Technician:RWC,
Instrument Category,Standard,title; description; is_active,,,title,field:title,changes / views,System Manager:RWCD; Technician:RWC,
Instrument Condition Record,Standard,instrument; condition; date_of_record; recorded_by; notes; workflow_state,,instrument->Instrument; recorded_by->User,instrument,field:instrument,changes,System Manager:RWCD; Technician:RWC; Repair Manager:RWCS,
Instrument Inspection,Standard,sec_overview; inspection_date; inspection_type; serial_no; clarinet_intake; intake_record_id; inspected_by,condition:Visual Inspection; tenon_fit_assessment:Tenon Measurement; tone_hole_inspection:Tone Hole Inspection Record; marketing_photos:Instrument Photo; service_photos:Instrument Photo; accessory_log:Instrument Accessory,serial_no->Instrument Serial Number; clarinet_intake->Clarinet Intake; intake_record_id->Clarinet Intake; inspected_by->User; customer->Customer; amended_from->Instrument Inspection,serial_no,format:INSP-{YY}{MM}-{####},No,System Manager:RWCDSX; Technician:RWCS; Service Manager:RWCDS,
Instrument Interaction Log,Standard,interaction_type; reference_doctype; reference_name; date; notes,,reference_name->reference_doctype,,,No,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS; Customer:RC,
Instrument Model,Standard,brand; model; body_material; instrument_model_id; instrument_category,,brand->Brand; instrument_category->Instrument Category,instrument_model_id,format:{model},changes / seen / views,System Manager:RWCDPEHOT,
Instrument Photo,Standard,photo; category; description; timestamp; uploaded_by,,uploaded_by->User,,,No,,
Instrument Profile,Standard,instrument_details_tab; sec_overview; workflow_state; column_break_bigo; status; instrument_profile_id; instrument; headline; warranty_end_date,condition_logs:Instrument Condition Record; external_work_logs:Customer External Work Log; warranty_logs:Warranty Modification Log; material_usage:Material Use Log; interaction_logs:Instrument Interaction Log; accessory_log:Instrument Accessory; serial_photos:Instrument Photo; service_photos:Instrument Photo,instrument->Instrument; customer->Customer; purchase_order->Purchase Order; purchase_receipt->Purchase Receipt; linked_inspection->Instrument Inspection; amended_from->Instrument Profile,instrument_profile_id,format:INSTPR-{####},changes / views,Repair Manager:RWCSX; Customer:R,
Instrument Serial Number,Standard,identity_section; serial; normalized_serial; serial_source; scan_code; verification_status; status,,instrument->Instrument; erpnext_serial_no->Serial No; duplicate_of->Instrument Serial Number; verified_by->User,,format:{serial},changes / seen,Technician:RWC; Repair Manager:RWCD; Service Manager:RWCD; System Manager:RWCD,
Instruments Owned,Standard,instrument_category; serial_no; customer; instrument_profile; purchase_date,,serial_no->Serial No; customer->Customer; instrument_profile->Instrument Profile,,,No,System Manager:RWCD; Technician:RWC,
Intake Accessory Item,Standard,item_code; description; qty; uom; rate; amount,,item_code->Item; uom->UOM,,,changes,System Manager:RWCD; Repair Manager:RWC; Technician:RWC,
Key Measurement,Standard,pad_id; pad_name; height_mm; seal_status; notes,,,,,No,System Manager:RWCD; Technician:RWC,
Linked Players,Standard,customer; player_profile; relationship; date_linked; is_primary,,customer->Customer; player_profile->Player Profile,,hash,No,System Manager:RWD; Client Manager:RW; Customer:R,
Loaner Instrument,Standard,status; instrument; intake; issued_to; issued_contact; issue_date; due_date,,instrument->Instrument; intake->Clarinet Intake; issued_to->Customer; issued_contact->Contact,,,changes,System Manager:RWCDS; Repair Manager:RWCS; Technician:RWC,
Loaner Return Check,Standard,linked_loaner; condition_notes; return_photos; damage_found; return_date; workflow_state,,linked_loaner->Loaner Instrument,,,No,Technician:RWC; Service Manager:RWCDS; System Manager:RWCDS; Customer:RC,
Material Use Log,Standard,qty; used_on; remarks; source_warehouse; operation_type; operation_link; item_name,,source_warehouse->Warehouse; operation_type->DocType; operation_link->operation_type; item_name->Item,,,No,,
Measurement Entry,Standard,parameter; value; unit; comments,,,,,No,System Manager:RWCD,
Measurement Session,Standard,instrument; technician; date; notes; measurements; workflow_state,measurements:Measurement Entry,instrument->Instrument Profile; technician->User,,format:MS-{####},No,Lab Technician:RWCD; Workshop Manager:RW,
Operation Template,Standard,operation_type; section; component_ref; details; completed,,,,OPRT-.#####,No,,
Pad Condition,Standard,pad_id; pad_name; status; technician_notes,,,,,No,System Manager:RWCD,
Pad Count Intake,Standard,title; photo; processed_preview; detections_meta; item; warehouse; company; approved_count; inventory_action,count_logs:Pad Count Log,item->Item; warehouse->Warehouse; company->Company; uom->UOM; stock_entry->Stock Entry,,PAD-.#####,changes / seen,System Manager:RWCD; Inventory User:RWC; Inventory Manager:RWC,
Pad Count Log,Standard,action; value; by_user; at,,by_user->User,,,No,System Manager:RWCD; Inventory User:RWC; Inventory Manager:RWC,
Player Equipment Preference,Standard,mouthpiece; ligature; reed_brand; reed_model; reed_strength; barrel; instrument,,instrument->Instrument Profile,,,No,,
Player Profile,Standard,player_profile_id; player_name; preferred_name; primary_email; primary_phone; player_level; profile_status,equipment_preferences:Player Equipment Preference; instruments_owned:Instruments Owned,workflow_state->Workflow State,player_profile_id; primary_email,format:PLAYER-.####.,changes / seen / views,System Manager:RWCDPEHOT; Technician:RWPEOT; Repair Manager:RWCPEOT; Customer:RPE,
Pulse Update,Standard,repair_order; update_time; status; update_note; percent_complete,,repair_order->Repair Order; entered_by->User,,,No,Technician:RWC; Repair Manager:RWCD; System Manager:RWCD; Customer:R,
Qa Checklist Item,Standard,check_item; passed; comments,,,,,No,System Manager:RWCD; QA Technician:RWC; Service Manager:RWC,
Related Instrument Interaction,Standard,related_instrument; interaction_type; notes,,related_instrument->Instrument Profile,,,No,System Manager:RWCD; Technician:RWC,
Repair Actual Material,Standard,item_code; description; qty; uom; valuation_rate,,item_code->Item; uom->UOM; stock_entry->Stock Entry,,,changes,,
Repair Estimate,Standard,customer_name; instrument_id; inspection_reference; estimated_completion; line_items,line_items:Estimate Line Item,inspection_reference->Inspection Report,,,No,System Manager:RWCDSX; Repair Manager:RWC; Technician:RC; Customer:R,
Repair Feedback,Standard,repair_order; customer; rating; comment,,repair_order->Repair Order; customer->Customer,,,No,Customer:RWC; System Manager:RWCD,
Repair Issue,Standard,customer; issue_description; status,,customer->Customer,,format:RI-{customer}-{#####},No,System Manager:RWCDSX; Repair Manager:RWC; Customer:RC,
Repair Order,Standard,naming_series; customer; instrument_profile; company; posting_date; warehouse_source; labor_item; workflow_state,planned_materials:Repair Planned Material; actual_materials:Repair Actual Material; related_documents:Repair Related Document,customer->Customer; instrument_profile->Instrument Profile; company->Company; assigned_technician->User; warehouse_source->Warehouse; labor_item->Item; intake->Clarinet Intake,,naming_series:,changes,Repair Manager:RWCDPEH; Repair Technician:RWPE; Sales User:RPE; Accounts User:RPE,
Repair Parts Used,Standard,item_code; item_name; qty; uom; rate,,item_code->Item; uom->UOM; warehouse->Warehouse; serial_no->Serial No,,,No,Technician:RW; System Manager:RW,
Repair Planned Material,Standard,item_code; description; qty; uom; planned_rate,,item_code->Item; uom->UOM,,,changes,,
Repair Portal Settings,Single,repair_portal_settings; standard_hourly_rate; hours_per_day,,,,,No,System Manager:RWCDPEH,
