API,واجهة برمجة التطبيقات,
Accepted,مقبول,
Accounts User,حسابات المستخدمين,
Action,حدث,
Actions,الإجراءات,
Active,نشط,
Actual Cost,التكلفة الفعلية,
Actual End Date,تاريخ الإنتهاء الفعلي,
Actual Start Date,تاريخ البدء الفعلي,
All,الكل,
Amended From,معدل من,
Amount,كمية,
Archived,أرشفة,
Assigned To,كلف إلى,
Attachments,المرفقات,
Available,متاح,
Brand,العلامة التجارية,
Buying Price List,قائمة أسعار الشراء,
Cancel,إلغاء,
Canceled,ألغيت,
Cancelled,ألغيت,
Category,فئة,
Category Name,اسم التصنيف,
Check,التحقق من,
Client,عميل,
Close,أغلق,
Closed,مغلق,
Color,اللون,
Comment,تعليق,
Comments,تعليقات,
Company,شركة,
Complete,أكمال,
Completed,أكتمل,
Component,مكون,
Condition,الحالة,
Contact,اتصال,
Contact Email,عنوان البريد الإلكتروني,
Contact Phone,هاتف الاتصال,
Conversion Rate,معدل التحويل,
Created On,منشئه في,
Currency,العملة,
Current Status,الحالة الحالية,
Custom,مخصص,
Customer,العميل,
Customer ID,هوية الزبون,
Customer Name,اسم العميل,
Customer Type,نوع العميل,
Data,البيانات,
Date,تاريخ,
Default,الافتراضي,
Default Company,الشركة الافتراضية,
Default Item Group,المجموعة الافتراضية للمواد,
Default Priority,الأولوية الافتراضية,
Default Source Warehouse,المستودع المصدر الافتراضي,
Default Value,القيمة الافتراضية,
Defaults,الافتراضات,
Delayed,مؤجل,
Delivered,تسليم,
Depends On,يعتمد على,
Description,وصف,
Discount (%),خصم (٪),
Discount Amount,قيمة الخصم,
Discount Type,نوع الخصم,
Document Name,اسم المستند,
Document Type,نوع الوثيقة,
Draft,مشروع,
Due Date,بسبب تاريخ,
Email,البريد الإلكتروني,
Email Address,البريد الالكتروني,
Enabled,تمكين,
Error,الرعب,
Estimated Cost,التكلفة التقديرية,
Expected End Date,تاريخ الإنتهاء المتوقع,
Expected Start Date,تاريخ البدأ المتوقع,
Expired,انتهى,
Failed,فشل,
Field Type,نوع الحقل,
First Name,الاسم الأول,
Float,رقم عشري,
From Date,من تاريخ,
Full Name,الاسم الكامل,
Grand Total,المجموع الإجمالي,
Hidden,مخفي,
High,مستوى عالي,
Hold,معلق,
Hours,ساعات,
Idx,IDX,
In List View,في عرض القائمة,
In Progress,في تَقَدم,
In Transit,في مرحلة انتقالية,
Inactive,غير نشط,
Inspected By,تفتيش من قبل,
Inspection Type,نوع التفتيش,
