API,API,
Accepted,Acceptat,
Action,Acció,
Actions,Accions,
Active,Actiu,
Actual Cost,Cost real,
Actual End Date,Data de finalització actual,
Actual Start Date,Data d'inici real,
All,Tots,
Amended From,Modificada Des de,
Amount,Quantitat,
Approved,Aprovat,
Archive,Arxiu,
Archived,Arxivat,
Assigned To,Assignat a,
Attachments,Adjunts,
Available,Disponible,
Both,Tots dos,
Brand,Marca comercial,
Buying Price List,Llista de preus de compra,
CRM,CRM,
Canceled,Cancel·lat,
Cancelled,CANCERAT,
Category,Categoria,
Category Name,Nom de categoria,
Check,Comproveu,
Client,Client,
Close,Close,
Closed,Tancat,
Color,Color,
Comment,Comentar,
Comments,Comentaris,
Company,Empresa,
Complete,Completa,
Completed,Acabat,
Component,component,
Condition,Condició,
Contact,Contacte,
Contact Email,Correu electrònic de contacte,
Contact Phone,Telèfon de contacte,
Conversion Rate,Taxa de conversió,
Create,Crear,
Created On,Creat el,
Currency,Moneda,
Current Status,Situació actual,
Custom,A mida,
Customer,Client,
Customer ID,identificació de client,
Customer Name,Nom del client,
Customer Type,Tipus de client,
Data,Dades,
Date,Data,
Default,Defecte,
Default Item Group,Grup d'articles predeterminat,
Default Priority,Prioritat per defecte,
Default Value,Valor per defecte,
Defaults,Predeterminats,
Delayed,Retard,
Delivered,Alliberat,
Depends On,Depèn de,
Description,Descripció,
Desk,Escriptori,
Discount (%),Descompte (%),
Discount Amount,Quantitat de Descompte,
Discount Type,Tipus de descompte,
Display,Visualització,
Document Name,Nom del document,
Document Type,tipus de document,
Draft,Esborrany,
Due Date,Data De Venciment,
Duration,Durada,
Email,Correu electrònic,
Email Address,Correu electrònic,
Error,Error,
Estimated Cost,Cost estimat,
Expected End Date,Esperat Data de finalització,
Expected Start Date,Data prevista d'inici,
Expired,Caducat,
Failed,Fracassat,
Field Type,Tipus de camp,
First Name,Nom,
Float,Float,
From Date,Des de la data,
Full Name,Nom complet,
Grand Total,Gran Total,
High,Alt,
Hold,Mantenir,
Hours,Hores,
Idx,idx,
Images,imatges,
In Progress,En progrés,
In Transit,En trànsit,
Inactive,Inactiu,
Inspected By,Inspeccionat per,
Inspection Type,Tipus d'Inspecció,
Int,Int,
Inventory,Inventari,
Is Active,Està actiu,
Is Group,És el grup,
Issue,Incidència,
Issued,Emès,
Item,Article,
Item Code,Codi de l'article,
Item Name,Nom de l&#39;ítem,
Items,Articles,
Key,Clau,
Keyboard Shortcuts,Dreceres de teclat,
Lab Technician,Tècnic de laboratori,
Last Active,Últim actiu,
Last Name,Cognoms,
Location,Ubicació,
Logs,Registres,
Lost,Perdut,
Low,Sota,
Maintenance,Manteniment,
Manufacturer,Fabricant,
Medium,Medium,
Method,Mètode,
Model,Model,
Modified By,per modificada,
Name,Nom,
Naming Series,Sèrie de nomenclatura,
New,Nou,
Not permitted,No permès,
Notes,Notes,
On Hold,En espera,
Open,Obert,
Operation,Operació,
Other,Un altre,
Overdue,Endarrerit,
Owner,Propietari,
Parameter,Paràmetre,
Parent Task,Tasca dels pares,
Passed,Aprovat,
Pending,Pendent,
Pending Review,Pendent de Revisió,
Percent Complete,Percentatge complet,
Percentage,Percentatge,
Phone,Telèfon,
Phone Number,Número de telèfon,
Planning,Planificació,
Portal,Portal,
Preview,Preestrena,
Primary,Primari,
Priority,Prioritat,
Progress,progrés,
Purchase,Compra,
Purchase Date,Data de compra,
Purchase Order,Ordre de compra,
Purchase Receipt,Albarà de compra,
Qty,Quantitat,
Quantity,Quantitat,
Rate,Tarifa,
Rating,classificació,
Reason,Raó,
Received,Rebut,
Reference,referència,
Reference DocType,DocType de referència,
Reference Doctype,Reference DocType,
Reference Name,Nom de referència,
Rejected,Rebutjat,
Related,connex,
Reload,Recarregar,
Remarks,Observacions,
Reopen,Reobrir,
Reset,reajustar,
Resolve,Resoldre,
Resolved,Resolt,
Restore,restaurar,
Rounded Total,Total arrodonit,
SMS,SMS,
Sales,Venda,
Sales Manager,Gerent De Vendes,
Sales User,Usuari de vendes,
Scheduled,Programat,
Scheduled Date,Data Prevista,
Section,Secció,
Selling Price List,Llista de preus de venda,
Serial No,Número de sèrie,
Session Defaults,Defectes predeterminats de la sessió,
Settings,Ajustos,
Setup,Ajustos,
Shipping,Enviament,
Signature,Signatura,
Signed,Signat,
Signed On,S&#39;ha iniciat la sessió,
Small Text,Text petit,
Sold,Venut,
Source Warehouse,Magatzem d'origen,
Standard,Estàndard,
Start,Començar,
Status,Estat,
Stock Entry,Entrada estoc,
Stock UOM,UDM de l'Estoc,
Stop,Aturi,
Student,Estudiant,
Subject,Subjecte,
Submit,Presentar,
Submitted,Enviat,
Subtotal,total parcial,
Suspended,Suspès,
System Manager,Administrador del sistema,
Target,Objectiu,
Task,Tasca,
Task Description,Descripció de la tasca,
Task Name,Nom de tasca,
Task Type,Tipus de tasca,
Tasks,Tasques,
Template Name,Nom de la plantilla,
Terms,Condicions,
Text,Text,
Timeline,Cronologia,
Timestamp,Marca de temps,
Title,Títol,
To Date,Fins La Data,
Tools,Instruments,
Total Cost,Cost total,
Totals,Totals,
Type,Tipus,
UOM,UOM,
Unit,Unitat,
Unknown,Desconegut,
Unverified,No verificat,
Urgent,Urgent,
Valid From,Vàlid des de,
Valid Till,Vàlid fins a,
Valid Upto,Fins al vàlid,
Validation Error,Error de validació,
Value,Valor,
Verification,Verificació,
Verified By,Verified Per,
Version,Versió,
View,Veure,
View Website,Veure Lloc Web,
Warehouse,Magatzem,
Warranty,Garantia,
Workflow State,Estat de flux de treball (workflow),
Working,Treballant,
