API,API,
Accepted,Přijato,
Action,Akce,
Actions,Akce,
Active,Aktivní,
Actual Cost,Aktuální cena,
Actual End Date,Skutečné datum ukončení,
Actual Start Date,Skutečné datum zahájení,
All,Všechno,
Amended From,Platném znění,
Amount,Částka,
Approved,Schválený,
Archive,Archiv,
Archived,Archivovaných,
Assigned To,Přiřazeno (komu),
Attachments,Přílohy,
Available,K dispozici,
Both,Oba,
Brand,Značka,
Buying Price List,Nákupní ceník,
CRM,CRM,
Canceled,Zrušeno,
Cancelled,Zrušeno,
Category,Kategorie,
Category Name,Název kategorie,
Check,Kontrola,
Client,Klient,
Close,Zavřít,
Closed,Zavřeno,
Color,Barva,
Comment,Komentář,
Comments,Komentáře,
Company,Společnost,
Complete,Kompletní,
Completed,Dokončeno,
Component,Komponent,
Condition,Podmínka,
Contact,Kontakt,
Contact Email,Kontaktní e-mail,
Contact Phone,Kontaktní Telefon,
Conversion Rate,Míra konverze,
Create,Vytvořit,
Created On,Vytvořeno (kdy),
Currency,Měna,
Current Status,Aktuální stav,
Custom,Zvyk,
Customer,Zákazník,
Customer ID,zákaznické identifikační číslo,
Customer Name,Jméno zákazníka,
Customer Type,Typ zákazníka,
Data,Data,
Date,Datum,
Default,Výchozí,
Default Item Group,Výchozí bod Group,
Default Priority,Výchozí priorita,
Default Value,Výchozí hodnota,
Defaults,Výchozí,
Delayed,Zpožděné,
Delivered,Dodává,
Depends On,Závisí na,
Description,Popis,
Desk,Stůl,
Discount (%),Sleva (%),
Discount Amount,Částka slevy,
Discount Type,Typ slevy,
Display,Zobrazit,
Document Name,Název dokumentu,
Document Type,Typ dokumentu,
Draft,Návrh,
Due Date,Datum splatnosti,
Duration,Doba trvání,
Email,E-mailem,
Email Address,Emailová adresa,
Error,Chyba,
Estimated Cost,Odhadované náklady,
Expected End Date,Očekávané datum ukončení,
Expected Start Date,Očekávané datum zahájení,
Expired,Vypršela,
Failed,Nepodařilo,
Field Type,Typ pole,
First Name,Křestní jméno,
Float,Desetinné číslo,
From Date,Od data,
Full Name,Celé jméno/název,
Grand Total,Celkem,
High,Vysoké,
Hold,Držet,
Hours,Hodiny,
Idx,idx,
Images,snímky,
In Progress,Pokrok,
In Transit,V tranzitu,
Inactive,Neaktivní,
Inspected By,Zkontrolován,
Inspection Type,Kontrola Type,
Int,Celé číslo,
Inventory,Inventář,
Is Active,Je Aktivní,
Is Group,Is Group,
Issue,Problém,
Issued,Vydáno,
Item,Položka,
Item Code,Kód položky,
Item Name,Název položky,
Items,Položky,
Key,Klíč,
Keyboard Shortcuts,Klávesové zkratky,
Lab Technician,Laboratorní technik,
Last Active,Naposledy aktivní,
Last Name,Příjmení,
Location,Místo,
Logs,Záznamy,
Lost,Ztracený,
Low,Nízké,
Maintenance,Údržba,
Manufacturer,Výrobce,
Medium,Střední,
Method,Metoda,
Model,Model,
Modified By,pozměněná,
Name,Jméno,
Naming Series,Číselné řady,
New,Nový,
Not permitted,Nepovoleno,
Notes,Poznámky,
On Hold,Pozastaveno,
Open,Otevřít,
Operation,Operace,
Other,Ostatní,
Overdue,Zpožděný,
Owner,Majitel,
Parameter,Parametr,
Parent Task,Rodičovská úloha,
Passed,Prošel,
Pending,Až do,
Pending Review,Čeká Review,
Percent Complete,Procento dokončeno,
Percentage,Procento,
Phone,Telefon,
Phone Number,Telefonní číslo,
Planning,Plánování,
Portal,Portál,
Preview,Preview,
Primary,Primární,
Priority,Priorita,
Progress,Pokrok,
Purchase,Nákup,
Purchase Date,Datum nákupu,
Purchase Order,Vydaná objednávka,
Purchase Receipt,Příjemka,
Qty,Množství,
Quantity,Množství,
Rate,Cena,
Rating,Rating,
Reason,Důvod,
Received,Přijato,
Reference,reference,
