API,API,
Accepted,Accepteret,
Action,Handling,
Actions,Handlinger,
Active,Aktiv,
Actual Cost,Faktiske omkostninger,
Actual End Date,Faktisk slutdato,
Actual Start Date,Faktisk startdato,
All,Alle,
Amended From,Ændret Fra,
Amount,Beløb,
Approved,godkendt,
Archive,Arkiv,
Archived,Arkiveret,
Assigned To,Tildelt til,
Attachments,Vedhæftede filer,
Available,Tilgængelig,
Both,Begge,
Brand,Varemærke,
Buying Price List,Købsprisliste,
CRM,CRM,
Canceled,Aflyst,
Cancelled,Annulleret,
Category,Kategori,
Category Name,Kategori Navn,
Check,Kontrollere,
Client,Klient,
Close,Luk,
Closed,Lukket,
Color,Farve,
Comment,Kommentar,
Comments,Kommentarer,
Company,Firma,
Complete,Komplet,
Completed,Afsluttet,
Component,Lønart,
Condition,Tilstand,
Contact,Kontakt,
Contact Email,Kontakt e-mail,
Contact Phone,Kontakt telefon,
Conversion Rate,Omregningskurs,
Create,Opret,
Created On,Oprettet den,
Currency,Valuta,
Current Status,Aktuel status,
Custom,Brugerdefineret,
Customer,Kunde,
Customer ID,Kunde ID,
Customer Name,Kundennavn,
Customer Type,Kunde type,
Data,Data,
Date,Dato,
Default,Standard,
Default Item Group,Standard varegruppe,
Default Priority,Standardprioritet,
Default Value,Standardværdi,
Defaults,Standardværdier,
Delayed,forsinket,
Delivered,Leveret,
Depends On,Afhænger af,
Description,Beskrivelse,
Desk,Skrivebord,
Discount (%),Rabat (%),
Discount Amount,Rabatbeløb,
Discount Type,Type rabat,
Display,Udstilling,
Document Name,Dokumentnavn,
Document Type,Dokumenttype,
Draft,Udkast,
Due Date,Forfaldsdato,
Duration,Varighed,
Email,EMail,
Email Address,Email adresse,
Error,Fejl,
Estimated Cost,Anslåede omkostninger,
Expected End Date,Forventet Slutdato,
Expected Start Date,Forventet startdato,
Expired,Udløbet,
Failed,Mislykkedes,
Field Type,Field Type,
First Name,Fornavn,
Float,Float,
From Date,Fra dato,
Full Name,Navn,
Grand Total,Beløb i alt,
High,Høj,
Hold,Hold,
Hours,timer,
Idx,Idx,
Images,Billeder,
In Progress,I gang,
In Transit,Undervejs,
Inactive,inaktive,
Inspected By,Kontrolleret af,
Inspection Type,Kontroltype,
Int,Int,
Inventory,Inventory,
Is Active,Er Aktiv,
Is Group,Er en kontogruppe,
Issue,Issue,
Issued,Udstedt,
Item,Vare,
Item Code,Varenr.,
Item Name,Varenavn,
Items,Varer,
Key,Nøgle,
Keyboard Shortcuts,Tastaturgenveje,
Lab Technician,Laboratorie tekniker,
Last Active,Sidst aktiv,
Last Name,Efternavn,
Location,Lokation,
Logs,Logs,
Lost,Tabt,
Low,Lav,
Maintenance,Vedligeholdelse,
Manufacturer,Producent,
Medium,Medium,
Method,Metode,
Model,Model,
Modified By,Ændret af,
Name,Navn,
Naming Series,Navngivningsnummerserie,
New,Ny,
Not permitted,Ikke tilladt,
Notes,Noter,
On Hold,I venteposition,
Open,Åbne,
Operation,Operation,
Other,Andre,
Overdue,Forfalden,
Owner,Ejer,
Parameter,Parameter,
Parent Task,Forældreopgave,
Passed,Bestået,
Pending,Afventer,
Pending Review,Afventende anmeldelse,
Percent Complete,Procent fuldført,
Percentage,Procent,
Phone,Telefonnr.,
Phone Number,Telefonnummer,
Planning,Planlægning,
Portal,Portal,
Preview,Eksempel,
Primary,Primær,
Priority,Prioritet,
Progress,Fremskridt,
Purchase,Indkøb,
Purchase Date,Købsdato,
Purchase Order,Indkøbsordre,
Purchase Receipt,Købskvittering,
Qty,Antal,
Quantity,Mængde,
Rate,Sats,
Rating,Bedømmelse,
Reason,Årsag,
Received,Modtaget,
Reference,Henvisning,
Reference DocType,Reference DocType,
Reference Doctype,Henvisning DocType,
Reference Name,Reference navn,
Rejected,Afvist,
Related,Relaterede,
Reload,Genindlæs,
Remarks,Bemærkninger,
Reopen,Genåben,
Reset,Nulstil,
Resolve,Beslutte,
Resolved,Løst,
Restore,Gendan,
Rounded Total,Afrundet i alt,
SMS,SMS,
Sales,Salg,
Sales Manager,Salgschef,
