API,API,
Accepted,Accepteret,
Accounts User,Regnskabsbruger,
Action,Handling,
Actions,Handlinger,
Active,Aktiv,
Actual Cost,Faktiske omkostninger,
Actual End Date,Faktisk slutdato,
Actual Start Date,Faktisk startdato,
All,Alle,
Amended From,Ændret Fra,
Amount,Beløb,
Approved,godkendt,
Archive,Arkiv,
Archived,Arkiveret,
Assigned To,Tildelt til,
Attachments,Vedhæftede filer,
Available,Tilgængelig,
Brand,Varemærke,
Buying Price List,Købsprisliste,
Cancel,Annullere,
Canceled,Aflyst,
Cancelled,Annulleret,
Category,Kategori,
Category Name,Kategori Navn,
Check,Kontrollere,
Client,Klient,
Close,Luk,
Closed,Lukket,
Color,Farve,
Comment,Kommentar,
Comments,Kommentarer,
Company,Firma,
Complete,Komplet,
Completed,Afsluttet,
Component,Lønart,
Condition,Tilstand,
Contact,Kontakt,
Contact Email,Kontakt e-mail,
Contact Phone,Kontakt telefon,
Conversion Rate,Omregningskurs,
Created On,Oprettet den,
Currency,Valuta,
Current Status,Aktuel status,
Custom,Brugerdefineret,
Customer,Kunde,
Customer ID,Kunde ID,
Customer Name,Kundennavn,
Customer Type,Kunde type,
Data,Data,
Date,Dato,
Default,Standard,
Default Company,Standardfirma,
Default Item Group,Standard varegruppe,
Default Priority,Standardprioritet,
Default Source Warehouse,Standardkildelager,
Default Value,Standardværdi,
Defaults,Standardværdier,
Delayed,forsinket,
Delivered,Leveret,
Depends On,Afhænger af,
Description,Beskrivelse,
Desk,Skrivebord,
Discount (%),Rabat (%),
Discount Amount,Rabatbeløb,
Discount Type,Type rabat,
Document Name,Dokumentnavn,
Document Type,Dokumenttype,
Draft,Udkast,
Due Date,Forfaldsdato,
Email,EMail,
Email Address,Email adresse,
Enabled,Aktiv,
Error,Fejl,
Estimated Cost,Anslåede omkostninger,
Expected End Date,Forventet Slutdato,
Expected Start Date,Forventet startdato,
Expired,Udløbet,
Failed,Mislykkedes,
Field Type,Field Type,
First Name,Fornavn,
Float,Float,
From Date,Fra dato,
Full Name,Navn,
Grand Total,Beløb i alt,
Hidden,Skjult,
High,Høj,
Hold,Hold,
Hours,timer,
Idx,Idx,
In List View,I Listevisning,
In Progress,I gang,
In Transit,Undervejs,
Inactive,inaktive,
Inspected By,Kontrolleret af,
Inspection Type,Kontroltype,
Int,Int,
Inventory,Inventory,
Is Active,Er Aktiv,
Is Group,Er en kontogruppe,
Issue,Issue,
Issued,Udstedt,
Item,Vare,
Item Code,Varenr.,
Item Name,Varenavn,
Items,Varer,
Key,Nøgle,
Keyboard Shortcuts,Tastaturgenveje,
Lab Technician,Laboratorie tekniker,
Last Active,Sidst aktiv,
Last Name,Efternavn,
Location,Lokation,
Logs,Logs,
Lost,Tabt,
Low,Lav,
Maintenance,Vedligeholdelse,
Manufacturer,Producent,
Medium,Medium,
Method,Metode,
Model,Model,
Modified By,Ændret af,
Name,Navn,
Naming Series,Navngivningsnummerserie,
New,Ny,
Notes,Noter,
On Hold,I venteposition,
Open,Åbne,
Operation,Operation,
Other,Andre,
Overdue,Forfalden,
Owner,Ejer,
Parameter,Parameter,
Parent Task,Forældreopgave,
Passed,Bestået,
Pending,Afventer,
Pending Review,Afventende anmeldelse,
Percent Complete,Procent fuldført,
Percentage,Procent,
Phone,Telefonnr.,
Phone Number,Telefonnummer,
Planning,Planlægning,
Portal,Portal,
Posting Date,Bogføringsdato,
Priority,Prioritet,
Progress,Fremskridt,
Purchase,Indkøb,
Purchase Date,Købsdato,
Purchase Order,Indkøbsordre,
Purchase Receipt,Købskvittering,
Qty,Antal,
Quantity,Mængde,
Rate,Sats,
Rating,Bedømmelse,
Read Only,Skrivebeskyttet,
Reason,Årsag,
Received,Modtaget,
Reference,Henvisning,
Reference DocType,Reference DocType,
Reference Doctype,Henvisning DocType,
Reference Name,Reference navn,
Rejected,Afvist,
Reload,Genindlæs,
Remarks,Bemærkninger,
Reopen,Genåben,
Resolve,Beslutte,
Resolved,Løst,
Restore,Gendan,
Rounded Total,Afrundet i alt,
SMS,SMS,
Sales,Salg,
