API,API,
Accepted,Αποδεκτό,
Accounts User,Χρήστης λογαριασμών,
Action,Ενέργεια,
Actions,Ενέργειες,
Active,Ενεργός,
Actual Cost,Πραγματικό κόστος,
Actual End Date,Πραγματική ημερομηνία λήξης,
Actual Start Date,Πραγματική ημερομηνία έναρξης,
All,Ολα,
Amended From,Τροποποίηση από,
Amount,Ποσό,
Approved,Εγκρίθηκε,
Archive,Αρχείο,
Archived,Αρχειοθετήθηκε,
Assigned To,Ανατέθηκε σε,
Attachments,Συνημμένα,
Available,Διαθέσιμος,
Brand,Εμπορικό σήμα,
Buying Price List,Αγορά Τιμοκατάλογων,
Cancel,Ακύρωση,
Canceled,Ακυρώθηκε,
Cancelled,Ακυρώθηκε,
Category,Κατηγορία,
Category Name,Όνομα κατηγορίας,
Check,Ελεγχος,
Client,Πελάτης,
Close,Κλείσιμο,
Closed,Κλειστό,
Color,Χρώμα,
Comment,Σχόλιο,
Comments,Σχόλια,
Company,Εταιρεία,
Complete,Πλήρης,
Completed,Ολοκληρώθηκε,
Component,Συστατικό,
Condition,Συνθήκη,
Contact,Επαφή,
Contact Email,Email επαφής,
Contact Phone,τηλέφωνο επικοινωνίας,
Conversion Rate,Συναλλαγματική ισοτιμία,
Created On,Δημιουργήθηκε στις,
Currency,Νόμισμα,
Current Status,Τρέχουσα κατάσταση,
Custom,Προσαρμοσμένο,
Customer,Πελάτης,
Customer ID,Κωδικός πελάτη,
Customer Name,Όνομα πελάτη,
Customer Type,Τύπος πελάτη,
Data,Δεδομένα,
Date,Ημερομηνία,
Default,Προεπιλεγμένο,
Default Company,Προεπιλεγμένη εταιρεία,
Default Item Group,Προεπιλεγμένη ομάδα ειδών,
Default Priority,Προεπιλεγμένη προτεραιότητα,
Default Source Warehouse,Προεπιλεγμένη αποθήκη πηγής,
Default Value,Προεπιλεγμένη τιμή,
Defaults,Προεπιλογές,
Delayed,Καθυστερημένη,
Delivered,Παραδόθηκε,
Depends On,Εξαρτάται από,
Description,Περιγραφή,
Desk,Γραφείο,
Discount (%),Έκπτωση (%),
Discount Amount,Ποσό έκπτωσης,
Discount Type,Τύπος έκπτωσης,
Document Name,Όνομα εγγράφου,
Document Type,Τύπος εγγράφου,
Draft,Προσχέδιο,
Due Date,Ημερομηνία λήξης προθεσμίας,
Email,ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ,
Email Address,Διεύθυνση ηλεκτρονικού ταχυδρομείου,
Enabled,Ενεργοποιημένο,
Error,Σφάλμα,
Estimated Cost,Εκτιμώμενο κόστος,
Expected End Date,Αναμενόμενη ημερομηνία λήξης,
Expected Start Date,Αναμενόμενη ημερομηνία έναρξης,
Expired,Έληξε,
Failed,Αποτυχία,
Field Type,Τύπος πεδίου,
First Name,Όνομα,
Float,Κινητής υποδιαστολής,
From Date,Από ημερομηνία,
Full Name,Ονοματεπώνυμο,
Grand Total,Γενικό σύνολο,
Hidden,κεκρυμμένος,
High,Υψηλός,
Hold,Αναμονή,
Hours,Ωρες,
Idx,idx,
In List View,Στην προβολή λίστας,
In Progress,Σε εξέλιξη,
In Transit,Στη διαμετακόμιση,
Inactive,Αδρανής,
Inspected By,Επιθεωρήθηκε από,
Inspection Type,Τύπος ελέγχου,
Int,Ακέραιος,
Inventory,Απογραφή,
Is Active,Είναι ενεργό,
Is Group,Είναι η Ομάδα,
Issue,Θέμα,
Issued,Εκδόθηκε,
Item,Είδος,
Item Code,Κωδικός είδους,
Item Name,Ονομα προϊόντος,
Items,Είδη,
Key,Κλειδί,
Keyboard Shortcuts,Συντομεύσεις πληκτρολογίου,
Lab Technician,Τεχνικός εργαστηρίου,
Last Active,Τελευταία σύνδεση,
Last Name,Επώνυμο,
Location,Τοποθεσία,
Logs,Logs,
Lost,Απολεσθέν,
Low,Χαμηλός,
Maintenance,Συντήρηση,
Manufacturer,Κατασκευαστής,
Medium,Μέσο,
Method,Μέθοδος,
Model,Μοντέλο,
Modified By,Τροποποιήθηκε από,
Name,Όνομα,
Naming Series,Σειρά ονομασίας,
New,Νέος,
Notes,Σημειώσεις,
On Hold,Σε κράτηση,
Open,Ανοιχτό,
Operation,Λειτουργία,
Other,Άλλος,
Overdue,Εκπρόθεσμες,
Owner,Ιδιοκτήτης,
Parameter,Παράμετρος,
Parent Task,Γονική εργασία,
Passed,Πέρασε,
Pending,εκκρεμής,
Pending Review,Εκκρεμής αναθεώρηση,
Percent Complete,Το ποσοστό ολοκληρώνεται,
Percentage,Τοις εκατό,
Phone,Τηλέφωνο,
Phone Number,Τηλεφωνικό νούμερο,
Planning,Προγραμματισμός,
Portal,Πύλη,
Posting Date,Ημερομηνία αποστολής,
Priority,Προτεραιότητα,
Progress,Πρόοδος,
Purchase,Αγορά,
Purchase Date,Ημερομηνία αγοράς,
Purchase Order,Παραγγελία αγοράς,
Purchase Receipt,Αποδεικτικό παραλαβής αγοράς,
Qty,Ποσότητα,
Quantity,Ποσότητα,
Rate,Τιμή,
Rating,Εκτίμηση,
Read Only,Μόνο για ανάγνωση,
Reason,Αιτιολογία,
Received,Λήψη,
Reference,Αναφορά,
Reference DocType,DocType αναφοράς,
Reference Doctype,Τύπος εγγράφου αναφοράς,
Reference Name,όνομα αναφοράς,
Rejected,Απορρίφθηκε,
Reload,Επαναφόρτωση,
Remarks,Παρατηρήσεις,
Reopen,Ξανανοίγω,
Resolve,Αποφασίζω,
Resolved,επιλυθεί,
Restore,Επαναφέρω,
Rounded Total,Στρογγυλοποιημένο σύνολο,
SMS,γραπτό μήνυμα,
Sales,Πωλήσεις,
Sales Manager,Διευθυντής πωλήσεων,
Sales User,Χρήστης πωλήσεων,
Scheduled,Προγραμματισμένη,
Scheduled Date,Προγραμματισμένη ημερομηνία,
Section,Ενότητα,
Selling Price List,Τιμοκατάλογος πώλησης,
Serial No,Σειριακός αριθμός,
Session Defaults,Προεπιλογές περιόδου σύνδεσης,
Setup,Εγκατάσταση,
Shipping,Αποστολή,
Signature,Υπογραφή,
Signed,Υπογραφή,
Signed On,Έχει ενεργοποιηθεί,
Small Text,Μικρό κείμενο,
Sold,Πωληθεί,
Source DocType,Source DocType,
Source Warehouse,Αποθήκη προέλευσης,
Standard,Πρότυπο,
Start,Αρχή,
Status,Κατάσταση,
Stock Entry,Καταχώρηση αποθέματος,
Stock UOM,Μ.Μ. Αποθέματος,
Student,Φοιτητής,
Subject,Θέμα,
Submit,Υποβολή,
Submitted,Υποβλήθηκε,
Subtotal,ΜΕΡΙΚΟ ΣΥΝΟΛΟ,
Suspended,Ανασταλεί,
System Manager,Διαχειριστής συστήματος,
Task,Έργασία,
Task Description,Περιγραφή των εργασιών,
Task Name,Όνομα Εργασία,
Task Type,Τύπος εργασίας,
Tasks,Εργασίες,
Template Name,Όνομα προτύπου,
Terms,Όροι,
Text,Κείμενο,
Timestamp,Χρονοθέτηση,
Title,Τίτλος,
To Date,Έως ημερομηνία,
Tools,Εργαλεία,
Total Cost,Συνολικό κόστος,
Totals,Σύνολα,
Type,Τύπος,
UOM,UOM,
Unit,Μονάδα,
Unknown,Αγνωστος,
Unverified,Ανεπιβεβαίωτος,
Urgent,Επείγον,
Valid From,Ισχύει από,
Valid Till,Εγκυρο μέχρι,
Valid Upto,Ισχύει μέχρι,
Valuation Rate,Ποσοστό αποτίμησης,
Value,αξία,
Verification,Επαλήθευση,
Verified By,Πιστοποιημένο από,
Version,Έκδοση,
View Website,Δείτε την ιστοσελίδα,
Warehouse,Αποθήκη,
Warranty,Εγγύηση,
Workflow State,Κατάσταση ροής εργασίας,
Working,Εργασία,
