API,crwdns132206:0crwdne132206:0,
About,crwdns112978:0crwdne112978:0,
Accepted,crwdns132224:0crwdne132224:0,
Accounts User,crwdns63258:0crwdne63258:0,
Action,crwdns63290:0crwdne63290:0,
Actions,crwdns63314:0crwdne63314:0,
Activate,crwdns143702:0crwdne143702:0,
Active,crwdns63326:0crwdne63326:0,
Actual Cost,crwdns63382:0crwdne63382:0,
Actual End Date,crwdns63388:0crwdne63388:0,
Actual Start Date,crwdns63432:0crwdne63432:0,
All,crwdns63986:0crwdne63986:0,
Amended From,crwdns132600:0crwdne132600:0,
Amount,crwdns64404:0crwdne64404:0,
Apps,crwdns148374:0crwdne148374:0,
Archive,crwdns113610:0crwdne113610:0,
Archived,crwdns143966:0crwdne143966:0,
Assigned To,crwdns65100:0crwdne65100:0,
Attachments,crwdns65134:0crwdne65134:0,
Available,crwdns65274:0crwdne65274:0,
Brand,crwdns66130:0crwdne66130:0,
Buying Price List,crwdns66254:0crwdne66254:0,
Cancel,crwdns111636:0crwdne111636:0,
Canceled,crwdns66424:0crwdne66424:0,
Cancelled,crwdns66430:0crwdne66430:0,
Category,crwdns133164:0crwdne133164:0,
Category Name,crwdns133168:0crwdne133168:0,
Check,crwdns144344:0crwdne144344:0,
Client,crwdns133244:0crwdne133244:0,
Close,crwdns66918:0crwdne66918:0,
Closed,crwdns66928:0crwdne66928:0,
Color,crwdns133278:0crwdne133278:0,
Comment,crwdns114860:0crwdne114860:0,
Comments,crwdns67032:0crwdne67032:0,
Company,crwdns67090:0crwdne67090:0,
Complete,crwdns67468:0crwdne67468:0,
Completed,crwdns67476:0crwdne67476:0,
Component,crwdns144438:0crwdne144438:0,
Condition,crwdns133348:0crwdne133348:0,
Contact,crwdns133400:0crwdne133400:0,
Contact Email,crwdns133406:0crwdne133406:0,
Contact Phone,crwdns115054:0crwdne115054:0,
Conversion Rate,crwdns67978:0crwdne67978:0,
Created On,crwdns68458:0crwdne68458:0,
Currency,crwdns68610:0crwdne68610:0,
Current Status,crwdns68764:0crwdne68764:0,
Custom,crwdns133602:0crwdne133602:0,
Customer,crwdns68788:0crwdne68788:0,
Customer Name,crwdns69000:0crwdne69000:0,
Customer Type,crwdns133650:0crwdne133650:0,
Data,crwdns115526:0crwdne115526:0,
Date,crwdns69186:0crwdne69186:0,
Default,crwdns69378:0crwdne69378:0,
Default Company,crwdns133774:0crwdne133774:0,
Default Item Group,crwdns133812:0crwdne133812:0,
Default Priority,crwdns133834:0crwdne133834:0,
Default Source Warehouse,crwdns133858:0crwdne133858:0,
Default Value,crwdns133876:0crwdne133876:0,
Defaults,crwdns133892:0crwdne133892:0,
Delayed,crwdns69662:0crwdne69662:0,
Delivered,crwdns69688:0crwdne69688:0,
Depends On,crwdns144688:0crwdne144688:0,
Description,crwdns69928:0crwdne69928:0,
Discount (%),crwdns70328:0crwdne70328:0,
Discount Amount,crwdns134006:0crwdne134006:0,
Discount Type,crwdns134014:0crwdne134014:0,
Document Name,crwdns70524:0crwdne70524:0,
Document Type,crwdns70530:0crwdne70530:0,
Documentation,crwdns127476:0crwdne127476:0,
Draft,crwdns70610:0crwdne70610:0,
Due Date,crwdns70714:0crwdne70714:0,
Email,crwdns70890:0crwdne70890:0,
Email Address,crwdns134164:0crwdne134164:0,
Enabled,crwdns134238:0crwdne134238:0,
Error,crwdns71236:0crwdne71236:0,
Estimated Cost,crwdns71280:0crwdne71280:0,
Excellent,crwdns116934:0crwdne116934:0,
Expected End Date,crwdns71424:0crwdne71424:0,
Expected Start Date,crwdns71438:0crwdne71438:0,
Expired,crwdns71516:0crwdne71516:0,
Failed,crwdns71590:0crwdne71590:0,
Field Type,crwdns117154:0crwdne117154:0,
First Name,crwdns134430:0crwdne134430:0,
Float,crwdns145146:0crwdne145146:0,
Frappe Support,crwdns117604:0crwdne117604:0,
From Date,crwdns72088:0crwdne72088:0,
Full Name,crwdns134570:0crwdne134570:0,
Grand Total,crwdns72502:0crwdne72502:0,
Hidden,crwdns118044:0crwdne118044:0,
High,crwdns72798:0crwdne72798:0,
Hold,crwdns72808:0crwdne72808:0,
Hours,crwdns72856:0crwdne72856:0,
Idx,crwdns145430:0crwdne145430:0,
In List View,crwdns118444:0crwdne118444:0,
In Progress,crwdns73230:0crwdne73230:0,
In Transit,crwdns73254:0crwdne73254:0,
Inactive,crwdns134924:0crwdne134924:0,
Inspected By,crwdns73556:0crwdne73556:0,
Inspection Type,crwdns73572:0crwdne73572:0,
Int,crwdns145580:0crwdne145580:0,
Inventory,crwdns135028:0crwdne135028:0,
Is Active,crwdns73898:0crwdne73898:0,
Is Group,crwdns74022:0crwdne74022:0,
Issue,crwdns74162:0crwdne74162:0,
Issued,crwdns74202:0crwdne74202:0,
Item,crwdns74226:0crwdne74226:0,
Item Code,crwdns74292:0crwdne74292:0,
Item Name,crwdns74538:0crwdne74538:0,
Items,crwdns74882:0crwdne74882:0,
Key,crwdns135260:0crwdne135260:0,
Keyboard Shortcuts,crwdns118988:0crwdne118988:0,
Last Active,crwdns145756:0crwdne145756:0,
Last Name,crwdns135282:0crwdne135282:0,
Location,crwdns75468:0crwdne75468:0,
Log Entries,crwdns135370:0crwdne135370:0,
Log out,crwdns119460:0crwdne119460:0,
Logs,crwdns119526:0crwdne119526:0,
Lost,crwdns75496:0crwdne75496:0,
Low,crwdns75532:0crwdne75532:0,
Maintenance,crwdns75656:0crwdne75656:0,
Manufacturer,crwdns75872:0crwdne75872:0,
Medium,crwdns76228:0crwdne76228:0,
Meta,crwdns146018:0crwdne146018:0,
Method,crwdns146022:0crwdne146022:0,
Model,crwdns135592:0crwdne135592:0,
Modified By,crwdns76468:0crwdne76468:0,
My Profile,crwdns120052:0crwdne120052:0,
My Settings,crwdns120054:0crwdne120054:0,
Name,crwdns76654:0crwdne76654:0,
Naming Series,crwdns135636:0crwdne135636:0,
New,crwdns76900:0crwdne76900:0,
Notes,crwdns77242:0crwdne77242:0,
OK,crwdns120668:0crwdne120668:0,
On Hold,crwdns77382:0crwdne77382:0,
Open,crwdns77462:0crwdne77462:0,
Operation,crwdns77616:0crwdne77616:0,
Other,crwdns135896:0crwdne135896:0,
Overdue,crwdns77946:0crwdne77946:0,
Overview,crwdns135934:0crwdne135934:0,
Owner,crwdns77988:0crwdne77988:0,
Parameter,crwdns135984:0crwdne135984:0,
Parent Task,crwdns136032:0crwdne136032:0,
Passed,crwdns136086:0crwdne136086:0,
Paused,crwdns136094:0crwdne136094:0,
Pending,crwdns78862:0crwdne78862:0,
Pending Review,crwdns111880:0crwdne111880:0,
Percentage,crwdns136154:0crwdne136154:0,
Phone,crwdns79014:0crwdne79014:0,
Phone Number,crwdns79038:0crwdne79038:0,
Planning,crwdns79162:0crwdne79162:0,
Portal,crwdns121484:0crwdne121484:0,
Posting Date,crwdns79680:0crwdne79680:0,
Primary Email,crwdns121594:0crwdne121594:0,
Primary Phone,crwdns121598:0crwdne121598:0,
Priority,crwdns80220:0crwdne80220:0,
Progress,crwdns80474:0crwdne80474:0,
Purchase,crwdns80734:0crwdne80734:0,
Purchase Date,crwdns80756:0crwdne80756:0,
Purchase Order,crwdns80812:0crwdne80812:0,
Purchase Receipt,crwdns80902:0crwdne80902:0,
Qty,crwdns81042:0crwdne81042:0,
Quantity,crwdns81314:0crwdne81314:0,
Rate,crwdns81534:0crwdne81534:0,
Rating,crwdns136570:0crwdne136570:0,
Read Only,crwdns136596:0crwdne136596:0,
Reason,crwdns81836:0crwdne81836:0,
Received,crwdns81892:0crwdne81892:0,
