API,API,
About,Acerca de,
Accepted,Aceptado,
Action,Acción,
Actions,Acciones,
Activate,Activar,
Active,Activo,
Actual Cost,Costo real,
Actual End Date,Fecha Real de Finalización,
Actual Start Date,Fecha de inicio real,
All,Todos,
Amended From,Modificado desde,
Amount,Importe,
Apps,Apps,
Archive,Archivar,
Archived,Archivado,
Assigned To,Asignado a,
Attachments,Adjuntos,
Available,Disponible,
Both,Ambos,
Brand,Marca,
Buying Price List,Lista de precios de compra,
CRM,CRM,
Canceled,Cancelado,
Cancelled,Cancelado,
Capture,Capturar,
Category,Categoría,
Category Name,Nombre Categoría,
Check,Marcar,
Client,Cliente,
Close,Cerrar,
Closed,Cerrado,
Color,Color,
Comment,Comentario,
Comments,Comentarios,
Company,Compañía,
Complete,Completar,
Completed,Completado,
Component,Componente,
Condition,Condición,
Contact,Contacto,
Contact Email,Correo electrónico de contacto,
Contact Phone,Teléfono de Contacto,
Conversion Rate,Tasa de conversión,
Create,Crear,
Created On,Creado el,
Currency,Divisa / Moneda,
Current Status,Estado actual,
Custom,Personalizar,
Customer,Cliente,
Customer ID,Identificación del cliente,
Customer Name,Nombre del cliente,
Customer Type,Tipo de Cliente,
Data,Datos,
Date,Fecha,
Default,Predeterminado,
Default Item Group,Grupo de artículos predeterminado,
Default Priority,Prioridad predeterminada,
Default Value,Valor predeterminado,
Defaults,Predeterminados,
Delayed,Retrasado,
Delivered,Enviado,
Depends On,Depende de,
Description,Descripción,
Discount (%),Descuento (%),
Discount Amount,Descuento,
Discount Type,Tipo de descuento,
Display,Visualización,
Document Name,Nombre de Documento,
Document Type,Tipo de Documento,
Documentation,Documentación,
Draft,Borrador,
Due Date,Fecha de vencimiento,
Duration,Duración,
Email,Correo electrónico,
Email Address,Dirección de correo electrónico,
Error,Error,
Estimated Cost,Costo estimado,
Excellent,Excelente,
Expected End Date,Fecha prevista de finalización,
Expected Start Date,Fecha prevista de inicio,
Expired,Expirado,
Failed,Falló,
Field Type,Tipo de campo,
First Name,Primer Nombre,
Float,Coma Flotante,
Frappe Support,Soporte de Frappe,
From Date,Desde la fecha,
Full Name,Nombre completo,
Grand Total,Total,
High,Alto,
Hold,Mantener,
Hours,Horas,
Idx,Índice,
Images,Imágenes,
In Progress,En Progreso,
In Transit,En Transito,
Inactive,Inactivo,
Inspected By,Inspeccionado por,
Inspection Type,Tipo de inspección,
Int,Int,
Inventory,Inventario,
Is Active,Está activo,
Is Group,Es un grupo,
Issue,Incidencia,
Issued,Emitido,
Item,Producto,
Item Code,Código del Producto,
Item Name,Nombre del Producto,
Item {0} does not exist.,El artículo {0} no existe.,
Items,Productos,
Key,Clave,
Keyboard Shortcuts,Atajos de teclado,
Lab Technician,Técnico de Laboratorio,
Last Active,Último Activo,
Last Name,Apellido,
Location,Ubicación,
Log out,Cerrar sesión,
Logs,Registros,
Lost,Perdido,
Low,Bajo,
Maintenance,Mantenimiento,
Manufacturer,Fabricante,
Medium,Medio,
Meta,Meta,
Method,Método,
Model,Modelo,
Modified By,Modificado por,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Name,Nombre,
Naming Series,Secuencias e identificadores,
New,Nuevo,
Not permitted,No permitido,
Notes,Notas,
OK,Aceptar,
On Hold,En espera,
Open,Abrir/Abierto,
Operation,Operación,
Other,Otro,
Overdue,Atrasado,
Overview,Visión general,
Owner,Propietario,
Parameter,Parámetro,
Parent Task,Tarea Padre,
Passed,Aprobado,
Paused,Pausado,
Pending,Pendiente,
Pending Review,Pendiente de revisar,
Percentage,Porcentaje,
Phone,Teléfono,
Phone Number,Número de teléfono,
Planning,Planificación,
Portal,Portal,
Preview,Vista Previa,
Primary,Primario,
Primary Email,Correo principal,
Primary Phone,Teléfono principal,
