", some use 441–443 Hz.",", algunos usan 441-443 Hz.",
<p><a href='{0}'>View your Intake record</a></p>,No. Ver su registro de admisión realizado / un título seleccionado/p,
<p>Great news! Your instrument has passed final checks and is ready for collection or shipment.</p>,¡Noticias Great! Su instrumento ha pasado los cheques finales y está listo para la recogida o envío.,
"<p>Hi {0},</p>",Identificado Hola.,
<p>Thank you for choosing Artisan Clarinets!</p>,Identificado Gracias por elegir Artisan Clarinets!,
<p>We’ve logged your instrument into our system. You can track progress at any time using the link below.</p>,Identificado Hemos conectado su instrumento a nuestro sistema. Puedes seguir el progreso en cualquier momento utilizando el enlace de abajo.,
<p>Your instrument’s status has been updated to <strong>{0}</strong>.</p>,El estado de su instrumento ha sido actualizado a יstrong confianza{0} seleccionado/strong título.,
A,A,
A Clarinet,A Clarinet,
A serial record with the same value already exists without an Instrument: {0},Un registro de serie con el mismo valor ya existe sin un Instrumento: {0},
A system error has occurred. Technical support has been notified. Please try again later.,"Ha ocurrido un error de sistema. Se ha notificado apoyo técnico. Por favor, intente de nuevo más tarde.",
A4 reference (number),A4 reference (number),
A4 reference (slider),A4 reference (slider),
API,API,
About,Acerca de,
Acceptance Source,Fuente de aceptación,
Acceptance Status,Estado de aceptación,
Accepted,Aceptado,
Accepted By,Aceptado por,
Accepted On,Aceptado,
Accessories & Included Parts,Accesorios Partes,
Accessory,Accesorio,
Accessory ID,Accessory ID,
Accessory description cannot be empty.,La descripción de accesorios no puede estar vacía.,
Accounts User,Usuario de Cuentas,
Acquired Date,Fecha requerida,
Acquisition Cost,Costo de adquisición,
Acquisition Source,Fuente de adquisición,
Acquisition Type,Tipo de adquisición,
Action,Acción,
Action By,Action By,
Actions,Acciones,
Activate,Activar,
Active,Activo,
Actual Cost,Costo real,
Actual End,Final real,
Actual End Date,Fecha Real de Finalización,
Actual End Date cannot be before Actual Start Date.,La fecha final real no puede ser antes de la fecha de inicio real.,
Actual Materials Cost,Costo real de los materiales,
Actual Start,Inicio real,
Actual Start Date,Fecha de inicio actual,
Actual date when setup work started.,Fecha real cuando comenzó el trabajo de configuración.,
Actual date when setup work was completed.,Fecha real cuando se completó el trabajo de configuración.,
Actual materials cost incurred for this setup project.,Costo real de materiales efectuado para este proyecto de configuración.,
Actual total cost incurred for this setup project.,Costo total real incurrido para este proyecto de configuración.,
"Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.","Avanzado: sólo si los recuentos están apagados. Para la mayoría de los casos, deje los defectos o utilice Auto Pixel Radius desde mm abajo.",
Affiliation / Organization,Afiliación / Organización,
All,Todos,
All instrument details live on Instrument,Todos los detalles del instrumento en vivo en Instrumento,
Allow Anonymized Sharing,Permitir Compartir Anonymized,
Amended From,Modificado desde,
Amount,Importe,
An Instrument Inspection already exists for this serial: {0},Una inspección de instrumentos ya existe para esta serie: {0},
An error occurred during automated record creation. Please check system logs or contact an administrator.,"Se produjo un error durante la creación de registros automatizados. Por favor, compruebe los registros del sistema o contacte con un administrador.",
An error occurred while processing your request. Please contact support if this persists.,Se produjo un error al procesar su solicitud. Por favor contacte con soporte si esto persiste.,
Analysis complete,Análisis completo,
Analyzing…,Analizando...,
Analyzing… (unstable pitch),Analizando...,
Another unlinked serial record exists with the same serial number: {0},Otro registro de serie sin conexión existe con el mismo número de serie: {0},
Applies exponential smoothing to pitch to stabilize the needle.,Aplica un suavizado exponencial para lanzar para estabilizar la aguja.,
Approved At,Aprobados en,
Approved Count,Cuenta aprobada,
Apps,Apps,
ArUco Dictionary,ArUco Dictionary,
Archive,Archivar,
Archived,Archivado,
As stamped/engraved/printed on the instrument,Como estampado/ grabado/impresión en el instrumento,
Assigned Technician,Técnico asignado,
Assigned To,Asignado a,
Associated pad map record for reference while performing the setup.,Registro del mapa del pad asociado para referencia mientras realiza la configuración.,
At,At,
Attachments,Adjuntos,
Attack,Ataque,
Attack (ms),Ataque (ms),
Audio/Video Demos,Audio/Video Demos,
Auto Pixel Radius From mm,Auto Pixel Radius De mm,
Auto count from image processing. Always verify against the Processed Preview before approving.,Conteo automático del procesamiento de imágenes. Siempre verificar contra la vista previa procesada antes de aprobar.,
Auto quality gate. Unchecked means blur/lighting/perspective are sub‑optimal—consider retaking the photo.,Puerta de calidad automática. Unchecked significa borrón/luz/perspectiva son sub-optimal—consider reing the photo.,
Auto-create Clarinet Initial Setup,Configuración inicial de Clarinet auto-crear,
Auto-created Pad Map: {0},Mapa de Pad auto-creado: {0},
Auto-populate Failed,Autopopulado Failed,
Auto-populate runs only when both pad tables are empty and the category is recognized (Soprano or Bass).,Auto-popular solo funciona cuando ambas tablas están vacías y la categoría es reconocida (Soprano o Bass).,
Auto-synced from Instrument.current_status,Auto-synced de Instrumento.current_status,
Auto-synced from Instrument.instrument_type or clarinet_type,Auto-synced from Instrument.instrument_type or clarinet_type,
Autocorrelation (Cents),Autocorrelación (Cents),
Automatically generated unique Instrument ID,ID de Instrumento único generado automáticamente,
Automatically generated unique Instrument Profile ID,ID de perfil único de instrumentos generados automáticamente,
Automation & Behavior,Automatización &quot; Comportamiento,
Auto‑generated overlay showing detected pads. Review the green circles to confirm the count before approval.,Superposición generada automáticamente que muestra almohadillas detectadas. Revise los círculos verdes para confirmar el conteo antes de la aprobación.,
Available,Disponible,
Average tuning offset and its short-term variability,Promedio de ajuste offset y su variabilidad a corto plazo,
Awaiting Payment,Awaiting Payment,
Axis,Axis,
Barcode / QR,Código de barras / QR,
Barcode Scan Entry,Entrada de escáner de código de barras,
Barrel,Barrel,
Basic Information,Información básica,
Bass Clarinet (B♭),Bass Clarinet (B sonrisa),
Benchmark / Target,Benchmark / Meta,
Body Material,Material del cuerpo,
Bore Inspection Notes,Bore Inspection Notes,
Bore Measurement (mm),Medición de presión (mm),
Bore Style,Bore Style,
Bore Type / Size,Tipo de boga / tamaño,
Bore Visual Condition,Bore Visual Condición,
Bore Ø (mm),Bore Ø (mm),
Both,Ambos,
Bottom Joint Pads,Bottom Joint Pads,
Brand,Marca,
Brand Mapping Rules,Reglas de Mapping de Marca,
Brand Model • Serial,Modelo de marca • Serie,
Buying Price List,Lista de precios de compra,
By,Por,
B♭,B,
B♭ Clarinet,B bebida Clarinet,
C,C,
CRM,CRM,
Calibrated By,Calibrado por,
Calibration Date,Fecha de calibración,
Cancel,Cancelar,
Canceled,Cancelado,
Canceling a blocked operation is prohibited.,Se prohíbe la cancelación de una operación bloqueada.,
Cancelled,Cancelado,
"Cannot submit. The following items are incomplete:
{0}","No se puede someter. Los siguientes artículos son incompletos:
{0}",
Canny high threshold for Hough pre‑processing. Raise to reduce noise; lower to detect faint edges.,Canny alto umbral para Hough pre-procesamiento. Levante para reducir el ruido; menor para detectar los bordes débiles.,
Capture,Capturar,
Category,Categoría,
Category Name,Nombre Categoría,
Cents Timeline,Cents Timeline,
Certificate created but no file URL returned.,Certificado creado pero no devuelto URL de archivo.,
Certificate generated.,Certificado generado.,
Check,Marcar,
Check if all items pass QA and no critical issues remain.,Compruebe si todos los artículos pasan QA y no quedan problemas críticos.,
Check if this tool requires periodic calibration.,Compruebe si esta herramienta requiere calibración periódica.,
Checklist,Lista de verificación,
Checklist Item,Lista de verificación,
