A,A,
A Clarinet,A Clarinet,
API,API,
About,Acerca de,
Acceptance Source,Fuente de aceptación,
Acceptance Status,Estado de aceptación,
Accepted,Aceptado,
Accepted By,Aceptado por,
Accepted On,Aceptado,
Accessories & Included Parts,Accesorios Partes,
Accessory,Accesorio,
Accessory ID,Accessory ID,
Accounts User,Usuario de Cuentas,
Acquired Date,Fecha requerida,
Acquisition Cost,Costo de adquisición,
Acquisition Source,Fuente de adquisición,
Acquisition Type,Tipo de adquisición,
Action,Acción,
Action By,Action By,
Actions,Acciones,
Activate,Activar,
Active,Activo,
Actual Cost,Costo real,
Actual End,Final real,
Actual End Date,Fecha Real de Finalización,
Actual Materials Cost,Costo real de los materiales,
Actual Start,Inicio real,
Actual Start Date,Fecha de inicio real,
Actual date when setup work started.,Fecha real cuando comenzó el trabajo de configuración.,
Actual date when setup work was completed.,Fecha real cuando se completó el trabajo de configuración.,
Actual materials cost incurred for this setup project.,Costo real de materiales efectuado para este proyecto de configuración.,
Actual total cost incurred for this setup project.,Costo total real incurrido para este proyecto de configuración.,
"Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.","Avanzado: sólo si los recuentos están apagados. Para la mayoría de los casos, deje los defectos o utilice Auto Pixel Radius desde mm abajo.",
Affiliation / Organization,Afiliación / Organización,
All,Todos,
All instrument details live on Instrument,Todos los detalles del instrumento en vivo en Instrumento,
Allow Anonymized Sharing,Permitir Compartir Anonymized,
Amended From,Modificado desde,
Amount,Importe,
Approved At,Aprobados en,
Approved Count,Cuenta aprobada,
Apps,Apps,
ArUco Dictionary,ArUco Dictionary,
Archive,Archivar,
Archived,Archivado,
As stamped/engraved/printed on the instrument,Como estampado/ grabado/impresión en el instrumento,
Assigned Technician,Técnico asignado,
Assigned To,Asignado a,
Associated pad map record for reference while performing the setup.,Registro del mapa del pad asociado para referencia mientras realiza la configuración.,
At,At,
Attachments,Adjuntos,
Audio/Video Demos,Audio/Video Demos,
Auto Pixel Radius From mm,Auto Pixel Radius De mm,
Auto count from image processing. Always verify against the Processed Preview before approving.,Conteo automático del procesamiento de imágenes. Siempre verificar contra la vista previa procesada antes de aprobar.,
Auto quality gate. Unchecked means blur/lighting/perspective are sub‑optimal—consider retaking the photo.,Puerta de calidad automática. Unchecked significa borrón/luz/perspectiva son sub-optimal—consider reing the photo.,
Auto-create Clarinet Initial Setup,Configuración inicial de Clarinet auto-crear,
Auto-synced from Instrument.current_status,Auto-synced de Instrumento.current_status,
Auto-synced from Instrument.instrument_type or clarinet_type,Auto-synced from Instrument.instrument_type or clarinet_type,
Automatically generated unique Instrument ID,ID de Instrumento único generado automáticamente,
Automatically generated unique Instrument Profile ID,ID de perfil único de instrumentos generados automáticamente,
Automation & Behavior,Automatización &quot; Comportamiento,
Auto‑generated overlay showing detected pads. Review the green circles to confirm the count before approval.,Superposición generada automáticamente que muestra almohadillas detectadas. Revise los círculos verdes para confirmar el conteo antes de la aprobación.,
Available,Disponible,
Awaiting Payment,Awaiting Payment,
Barcode / QR,Código de barras / QR,
Barcode Scan Entry,Entrada de escáner de código de barras,
Barrel,Barrel,
Basic Information,Información básica,
Benchmark / Target,Benchmark / Meta,
Body Material,Material del cuerpo,
Bore Inspection Notes,Bore Inspection Notes,
Bore Measurement (mm),Medición de presión (mm),
Bore Style,Bore Style,
Bore Type / Size,Tipo de boga / tamaño,
Bore Visual Condition,Bore Visual Condición,
Bore Ø (mm),Bore Ø (mm),
Bottom Joint Pads,Bottom Joint Pads,
Brand,Marca,
Brand Mapping Rules,Reglas de Mapping de Marca,
Brand Model • Serial,Modelo de marca • Serie,
Buying Price List,Lista de precios de compra,
By,Por,
B♭,B,
B♭ Clarinet,B bebida Clarinet,
C,C,
Calibrated By,Calibrado por,
Calibration Date,Fecha de calibración,
Cancel,Cancelar,
Canceled,Cancelado,
Cancelled,Cancelado,
Canny high threshold for Hough pre‑processing. Raise to reduce noise; lower to detect faint edges.,Canny alto umbral para Hough pre-procesamiento. Levante para reducir el ruido; menor para detectar los bordes débiles.,
Category,Categoría,
Category Name,Nombre Categoría,
Check,Marcar,
Check if all items pass QA and no critical issues remain.,Compruebe si todos los artículos pasan QA y no quedan problemas críticos.,
Check if this tool requires periodic calibration.,Compruebe si esta herramienta requiere calibración periódica.,
Checklist,Lista de verificación,
Checklist Item,Lista de verificación,
Checklist Items,Lista de verificación Artículos,
"Checklist rows to pre-populate into Clarinet Initial Setup → Checklist (e.g., safety check, leak test).","Lista de verificación de filas para pre-poblar en Clarinet Inicial Setup → Lista de verificación (por ejemplo, control de seguridad, prueba de fuga).",
Child table storing predecessor tasks (dependencies) for a Clarinet Setup Task. Each row links to another task that must be Completed before the current task can proceed.,Plantilla infantil que almacena tareas de predecesor (dependencias) para una tarea de configuración de Clarinet. Cada fila vincula a otra tarea que debe completarse antes de que la tarea actual pueda continuar.,
Child table storing template-level task dependencies. Each row references another template task by sequence number that must be completed before the current template task can proceed.,Apoyo a las dependencias de tareas de nivel de plantilla para los niños. Cada fila hace referencia a otra tarea de plantilla por número de secuencia que debe completarse antes de que la tarea actual de plantilla pueda continuar.,
Child table that defines task templates within a Setup Template. Each row generates a real Clarinet Setup Task with expected schedule and priority when applied to a Clarinet Initial Setup.,Tabla infantil que define plantillas de tareas dentro de una plantilla de configuración. Cada fila genera una verdadera tarea de configuración de Clarinet con el horario esperado y la prioridad cuando se aplica a una configuración inicial Clarinet.,
"Child table used to record materials consumed during clarinet setup/repair. Each row captures item, quantity, unit, rate, and extended amount for costing and documentation.","Tabla infantil utilizada para registrar materiales consumidos durante la configuración de clarinete/reparación. Cada fila captura el elemento, cantidad, unidad, tarifa y cantidad extendida para el costo y la documentación.",
"Choose how stock should be adjusted: Increase (Material Receipt), Decrease (Material Issue), or No Change (for review only).","Elija cómo se debe ajustar el stock: Aumentar (Recibo Material), Disminuir (Material Issue), o No Cambiar (para revisión solamente).",
Clarinet Initial Setup,Configuración inicial Clarinet,
Clarinet Intake,Entrada Clarinet,
Clarinet Model,Modelo Clarinet,
Clarinet Pad Map,Mapa de la plataforma Clarinet,
Clarinet Setup Log,Registro de configuración de Clarinet,
Clarinet Setup Task,Tareas de configuración de Clarinet,
Client,Cliente,
Client Instrument Profile,Perfil del Instrumento Cliente,
Client Repair Preferences,Preferencias de reparación del cliente,
Close,Cerrar,
Closed,Cerrado,
Color,Color,
Comment,Comentario,
Comments,Comentarios,
Communication Preference,Preferencias de comunicación,
Company,Compañía,
Company owning the selected Warehouse. Filled automatically.,Empresa dueña del Almacén seleccionado. Rellenado automáticamente.,
Complete,Completar,
Completed,Completado,
Component,Componente,
"Component Ref (Tone Hole, Key, etc.)","Componente Ref (Tone Hole, Key, etc.)",
Condition,Condición,
Condition & Inspection,Estado de inspección,
Condition / Finding,Estado / Encontrar,
Condition Images,Estado Imágenes,
Condition Logs,Estado Logs,
Condition Notes,Notas de Estado,
Consent Content,Contenido de consentimiento,
Consent Form,Formulario de consentimiento,
Consent Log,Consentimiento Log,
Consent Template,Plantilla de Consentimiento,
Consent Type,Tipo de consentimiento,
Contact,Contacto,
Contact Email,Correo electrónico de contacto,
Contact Phone,Teléfono de Contacto,
Controlled Environment Confirmed,Medio ambiente controlado confirmado,
Conversion Rate,Tasa de conversión,
Cork Condition,Estado de corcho,
Count Logs,Cuenta Logs,
Created From,Creado desde,
Created On,Creado el,
Created To,Creado a,
Currency,Divisa / Moneda,
Current Accessories Log,Accesorios actuales Log,
Current Location,Ubicación actual,
Current Status,Estado actual,
Current lifecycle state of the tool. Managed by workflow automation.,Estado actual del ciclo de vida de la herramienta. Gestionado por automatización de flujos de trabajo.,
Current state of the task within the setup workflow.,Estado actual de la tarea dentro del flujo de trabajo de configuración.,
Current status of this setup project.,Situación actual de este proyecto de configuración.,
Current workflow state of this service plan. Managed by workflow automation.,Flujo de trabajo actual estado de este plan de servicio. Gestionado por automatización de flujos de trabajo.,
Currently Paired,Actualmente emparejado,
Custom,Personalizar,
Customer,Cliente,
Customer Accepted,Cliente aceptado,
Customer Approval,Aprobación del cliente,
Customer Email,Correo electrónico,
Customer Full Name,Nombre completo del cliente,
Customer ID,Identificación del cliente,
Customer Lifetime Value,Valor de la vida del cliente,
Customer Name,Nombre del cliente,
Customer Phone,Teléfono,
Customer Type,Tipo de Cliente,
Customer Upgrade Request,Solicitud de actualización del cliente,
Customer's Stated Issue,Asunto del cliente,
D,D,
Daily Playing Schedule Explained,Horario de juego diario explicado,
Damage Observed,Daños observados,
Data,Datos,
Date,Fecha,
Date / Time,Fecha / hora,
Date Given,Fecha dada,
Date Linked,Fecha vinculada,
Date Reported,Fecha informada,
Date and Time of Unboxing,Fecha y hora de unboxing,
Date of Record,Fecha del registro,
Date of Return,Fecha de regreso,
Date of the most recent calibration.,Fecha de la calibración más reciente.,
Date when the next calibration is required for compliance.,Fecha en que se requiere la siguiente calibración para el cumplimiento.,
Days after the Setup Date that the generated task should start (0 = same day).,Días después de la fecha de configuración que la tarea generada debe comenzar (0 = mismo día).,
Default,Predeterminado,
Default Company,Compañía predeterminada,
Default Inspection Warehouse,Default Inspection Warehouse,
Default Item Group,Grupo de artículos predeterminado,
Default Operations,Operaciones por defecto,
Default Priority,Prioridad predeterminada,
Default Source Warehouse,Almacén de origen,
Default Technician,Técnico por defecto,
Default Value,Valor predeterminado,
Default priority level for setups created from this template.,Nivel de prioridad predeterminado para las configuraciones creadas a partir de esta plantilla.,
Default technician for setups using this template.,Técnico predeterminado para configuraciones usando esta plantilla.,
Defaults,Predeterminados,
"Defines reusable defaults for clarinet setup: operations, checklist items, and a list of template tasks. When applied to a Clarinet Initial Setup, this template can populate operations, checklist, and generate scheduled tasks.","Define los defectos reutilizables para la configuración de clarinete: operaciones, elementos de lista de verificación y una lista de tareas de plantilla. Cuando se aplica a una configuración inicial de Clarinet, esta plantilla puede poblar operaciones, lista de verificación y generar tareas programadas.",
Delayed,Retrasado,
Delivered,Enviado,
Depends On,Depende de,
Depends on Sequence,Depende de Secuencia,
Deposit Paid,Depósito Pagado,
Description,Descripción,
Description / Notes,Descripción / Notas,
Desk Tuner,Desk Tuner,
"Detailed procedure, acceptance criteria, measurements, or notes.","Procedimiento detallado, criterios de aceptación, mediciones o notas.",
Details / Notes,Detalles / Notas,
Detected Count,Cuentas detectadas,
Detections Meta,Detección Meta,
Diagnostic Metrics,Metrices diagnósticas,
Dictionary used to generate/recognize the marker. Use the same value as printed in your Shooting Kit PDF.,Diccionario utilizado para generar/reconocer el marcador. Utilice el mismo valor que impreso en su kit de tiro PDF.,
Discount (%),Descuento (%),
Discount Amount,Descuento,
Discount Type,Tipo de descuento,
Document Name,Nombre de Documento,
Document Type,Tipo de Documento,
Documentation,Documentación,
Draft,Borrador,
Due Date,Fecha de vencimiento,
Duplicate Handling,Manipulación duplicada,
Duplicate Of,Duplicado de,
ERPNext Asset,ERPNext Asset,
ERPNext Asset record for this tool (if tracked financially).,ERPNext Registro de activos para esta herramienta (si se rastrea financieramente).,
ERPNext Item to update (must be a Stock Item). Example: 'Clarinet Pad – 10 mm'.,ERPSiguiente artículo para actualizar (debe ser un artículo de stock). Ejemplo: 'Clarinet Pad - 10 mm'.,
ERPNext Serial No (Inventory),ERPSiguiente serie No (Inventario),
Email,Correo electrónico,
Email Address,Dirección de correo electrónico,
Employee / Technician,Empleado / Técnico,
Employment Status,Situación laboral,
Enable to use the printed ArUco marker for scale and perspective correction. Keep the marker flat in the photo.,Permite utilizar el marcador ArUco impreso para la corrección de escala y perspectiva. Mantenga el marcador en la foto.,
Enabled,Habilitado,
Enhancements,Mejoras,
Entered By,Entrado,
Entry Date,Fecha de entrada,
Environment Log,Environment Log,
Equipment Preference(s),Preferencias del equipo,
Error,Error,
Estimated Completion,Conclusión estimada,
Estimated Cost,Costo estimado,
Estimated Hours,Horas estimadas,
Estimated Materials Cost,Costo estimado de los materiales,
Estimated Total Cost,Costo total estimado,
Estimated labor hours required for this setup type.,Horas de trabajo estimadas necesarias para este tipo de configuración.,
Estimated materials cost for this setup project.,Costo estimado de materiales para este proyecto de configuración.,
Estimated materials cost for this setup type.,Costo estimado de materiales para este tipo de configuración.,
Estimated total cost for this setup project.,Costo total estimado para este proyecto de configuración.,
Estimated total cost including labor and materials.,Costo total estimado incluyendo mano de obra y materiales.,
Estimates & Defaults,Estimaciones &quot; Por defecto,
"Event log: processing runs, approvals, and inventory postings with user and timestamp.","Registro de eventos: procesamiento de carreras, aprobaciones y publicaciones de inventario con usuario y timetamp.",
Excellent,Excelente,
Expected End,Final esperado,
Expected End Date,Fecha prevista de finalización,
Expected Return Date,Fecha de regreso prevista,
Expected Start,Inicio previsto,
Expected Start Date,Fecha prevista de inicio,
Expected Start Offset (days),Inicio esperado Offset (días),
Expected completion date for this setup project.,Fecha de finalización prevista para este proyecto de configuración.,
Expected start date for this setup project.,Fecha de inicio prevista para este proyecto de configuración.,
Expired,Expirado,
Extended line amount (qty × rate). Kept read-only; computed server-side and mirrored client-side.,Cantidad de línea extendida (tamaño qty ×). Se mantuvo solo lectura; el lado del servidor computado y el lado del cliente espejo.,
External Work Logs,Registros de trabajo externos,
E♭,E bebe,
E♭ Clarinet,E bebida Clarinet,
Failed,Failed,
Field Label,Field Label,
Field Type,Tipo de campo,
Field Values,Valores sobre el terreno,
Final Comments,Observaciones finales,
Final Qa Checklist,Lista final de verificación de Qa,
First Name,Primer Nombre,
Float,Coma Flotante,
Frappe Support,Soporte de Frappe,
"Free‑form notes for this intake (e.g., photo conditions, pad sizes mix, any anomalies).","Notas de forma gratuita para esta ingesta (por ejemplo, condiciones de foto, mezcla de tamaños de pad, cualquier anomalía).",
Friendly name for this intake. Use something meaningful like 'Bb Clarinet Pads – Bench 2 – 2025‑08‑20'.,Nombre amistoso para esta ingesta. Use algo significativo como 'Bb Clarinet Pads – Bench 2 – 2025‐08‐20'.,
From Date,Desde la fecha,
Full Name,Nombre completo,
G#/A Key Connection,G#/A Conexión clave,
Gaussian Blur (odd),Gaussian Blur (odd),
General Information,Información general,
General Notes,Notas generales,
Grand Total,Total,
Headline,Título,
Hidden,Oculto,
High,Alto,
Hire Date,Fecha de inscripción,
History,Historia,
Hold,Mantener,
Hough Circles inverse ratio of accumulator to image resolution. 1.2–2.0 is typical; lower can improve sensitivity.,Hough Circles inverse ratio of accumulator to image resolution. 1.2–2.0 es típico; menor puede mejorar la sensibilidad.,
Hough accumulator threshold. Higher = fewer detections (more strict). Lower if pads are missed.,umbral acumulador. Más alto = menos detección (más estricta). Bajo si se pierden las almohadillas.,
