Customer Approval,Aprobación del cliente,
Repair approval decision,Decisión de aprobación de reparación,
Repair reference,Referencia de reparación,
Document,Documento,
View in portal,Ver en el portal,
Provide your decision,Proporcione su decisión,
Full name,Nombre completo,
Email,Correo electrónico,
Phone,Teléfono,
Decision,Decisión,
Approve repair scope and any listed charges,Aprobar el alcance de la reparación y los cargos indicados,
Decline and request follow-up,Rechazar y solicitar seguimiento,
Associated payment request (optional),Solicitud de pago asociada (opcional),
No payment request,Sin solicitud de pago,
Notes for our technicians,Notas para nuestros técnicos,
I have read and agree to the repair terms and understand that this approval is legally binding.,He leído y acepto los términos de reparación y entiendo que esta aprobación es legalmente vinculante.,
Terms version,Versión de los términos,
Keep this version identifier for your records,Mantenga este identificador de versión para sus registros,
Submit decision,Enviar decisión,
Decision recorded,Decisión registrada,
Status,Estado,
Recorded on,Registrado el,
Signer,Firmante,
Notes,Notas,
Download certificate,Descargar certificado,
Payment requests,Solicitudes de pago,
Reference,Referencia,
Amount,Importe,
Pay,Pagar,
Pay now,Pagar ahora,
Contact support,Contactar soporte,
No payment requests are linked to this document.,No hay solicitudes de pago vinculadas a este documento.,
Your response has been saved.,Su respuesta ha sido guardada.,
An approval already exists for this document.,Ya existe una aprobación para este documento.,
Signer name is required.,Se requiere el nombre del firmante.,
You must accept the terms to proceed.,Debe aceptar los términos para continuar.,
Reference document not specified.,Documento de referencia no especificado.,
You are not permitted to view this approval.,No tiene permiso para ver esta aprobación.,
Portal authentication required.,Se requiere autenticación del portal.,
Customer Approvals are immutable once recorded.,Las aprobaciones del cliente son inmutables una vez registradas.,
Terms must be accepted before continuing.,Debe aceptar los términos antes de continuar.,
Reference document is required.,Se requiere el documento de referencia.,
Reference document not found.,Documento de referencia no encontrado.,
An approval record already exists for this user and document.,Ya existe un registro de aprobación para este usuario y documento.,
Customer {0} {1} {2},Cliente {0} {1} {2},
Hello,Hola,
We have recorded your decision for {0} {1}.,Hemos registrado su decisión para {0} {1}.,
View the related document,Ver el documento relacionado,
Customer note,Nota del cliente,
If you did not perform this action please contact our team immediately.,Si no realizó esta acción, comuníquese con nuestro equipo de inmediato.,
We received your payment of {0} for Payment Request {1}.,Recibimos su pago de {0} para la solicitud de pago {1}.,
A receipt has been recorded in the system and our team will continue processing your repair.,Se registró un recibo en el sistema y nuestro equipo continuará procesando su reparación.,
If you have any questions please reply to this email.,Si tiene alguna pregunta, responda a este correo electrónico.,
Portal guard check passed for Final QA Checklist,La verificación del portal pasó para la Lista de verificación QA final,
Missing customer association,Asociación de cliente faltante,
Not permitted,No permitido,
Warranty ending soon: {0},La garantía termina pronto: {0},
The warranty for instrument profile {0} ends on {1}.,La garantía del perfil de instrumento {0} finaliza el {1}.,
That is approximately {0} days from today. Please contact us if you would like to schedule aftercare service.,Eso es aproximadamente {0} días a partir de hoy. Comuníquese con nosotros si desea programar un servicio posterior.,
Thank you for trusting Artisan Clarinets with your instrument.,Gracias por confiar en Artisan Clarinets con su instrumento.,
Automated warranty reminder dispatched.,Recordatorio de garantía automatizado enviado.,
Warranty reminder,Recordatorio de garantía,
Warranty service reminder,Recordatorio de servicio de garantía,
Payment received: {0},Pago recibido: {0},
Demo artifacts created for customer {0}. Payment Request: {1},Se crearon artefactos de demostración para el cliente {0}. Solicitud de pago: {1},
Clarinet Repair Estimator,Estimador de reparación de clarinete,
Instrument family,Familia del instrumento,
Instrument serial number,Número de serie del instrumento,
Condition score (0-100),Puntaje de condición (0-100),
Rush service requested,Servicio urgente solicitado,
Notes for the bench (optional),Notas para el taller (opcional),
Upload inspection photos (minimum one),Cargar fotos de inspección (mínimo una),
Clarinet diagram,Diagrama de clarinete,
Estimate preview,Previsualización de la estimación,
Calculated parts and labor for the selected regions,Partes y mano de obra calculadas para las regiones seleccionadas,
Estimated turnaround (days),Tiempo estimado de entrega (días),
Estimated total,Total estimado,
Select a region to populate the estimate.,Seleccione una región para completar la estimación.,
Generate estimate,Generar estimación,
Upper stack pads,Almohadillas de la parte superior,
Lower stack pads,Almohadillas de la parte inferior,
Register key,Llave de registro,
Bridge mechanism,Mecanismo de puente,
Bell tenon cork,Corcho del tenón de la campana,
Barrel & neck receiver,Barril y receptor del cuello,
Rush service applies configured multipliers and accelerates ETA when possible.,El servicio urgente aplica los multiplicadores configurados y acelera el tiempo estimado cuando es posible.,
Use the keyboard or pointer to toggle affected regions. Press space or enter to toggle a highlighted button.,Use el teclado o el puntero para alternar las regiones afectadas. Presione espacio o enter para alternar un botón resaltado.,
Include barrel, joints, and key detail for accurate estimates.,Incluya barril, cuerpos y detalles de llaves para estimaciones precisas.,
Please fill out all required fields.,Complete todos los campos obligatorios.,
Select at least one region before submitting.,Seleccione al menos una región antes de enviar.,
Upload at least one inspection photo.,Cargue al menos una foto de inspección.,
Generating estimate...,Generando estimación...,
Estimate saved,Estimación guardada,
Failed to generate estimate.,Error al generar la estimación.,
Unable to load pricing rules. Contact support.,No se pueden cargar las reglas de precios. Comuníquese con soporte.,
Select the affected regions to build a repair estimate with parts, labor, and a pad map artifact for QA.,Seleccione las regiones afectadas para crear una estimación con partes, mano de obra y un artefacto de mapa de almohadillas para QA.
