", some use 441–443 Hz.",", some use 441–443 Hz.",
<p><a href='{0}'>View your Intake record</a></p>,<p><a href='{0}'>View your Intake record</a></p>,
<p>Great news! Your instrument has passed final checks and is ready for collection or shipment.</p>,<p>Great news! Your instrument has passed final checks and is ready for collection or shipment.</p>,
"<p>Hi {0},</p>","<p>Hi {0},</p>",
<p>Thank you for choosing Artisan Clarinets!</p>,<p>Thank you for choosing Artisan Clarinets!</p>,
<p>We’ve logged your instrument into our system. You can track progress at any time using the link below.</p>,<p>We’ve logged your instrument into our system. You can track progress at any time using the link below.</p>,
<p>Your instrument’s status has been updated to <strong>{0}</strong>.</p>,<p>Your instrument’s status has been updated to <strong>{0}</strong>.</p>,
A,A,
A Clarinet,A Clarinet,
A serial record with the same value already exists without an Instrument: {0},A serial record with the same value already exists without an Instrument: {0},
A system error has occurred. Technical support has been notified. Please try again later.,A system error has occurred. Technical support has been notified. Please try again later.,
A4 reference (number),A4 reference (number),
A4 reference (slider),A4 reference (slider),
API,API,
About,Acerca de,
Acceptance Source,Acceptance Source,
Acceptance Status,Acceptance Status,
Accepted,Aceptado,
Accepted By,Accepted By,
Accepted On,Accepted On,
Accessories & Included Parts,Accessories & Included Parts,
Accessory,Accessory,
Accessory ID,Accessory ID,
Accessory description cannot be empty.,Accessory description cannot be empty.,
Acquired Date,Acquired Date,
Acquisition Cost,Acquisition Cost,
Acquisition Source,Acquisition Source,
Acquisition Type,Acquisition Type,
Action,Acción,
Action By,Action By,
Actions,Acciones,
Activate,Activar,
Active,Activo,
Actual Cost,Costo real,
Actual End,Actual End,
Actual End Date,Fecha Real de Finalización,
Actual End Date cannot be before Actual Start Date.,Actual End Date cannot be before Actual Start Date.,
Actual Hours,Actual Hours,
Actual Materials Cost,Actual Materials Cost,
Actual Start,Actual Start,
Actual Start Date,Fecha de inicio actual,
Actual date when setup work started.,Actual date when setup work started.,
Actual date when setup work was completed.,Actual date when setup work was completed.,
Actual materials cost incurred for this setup project.,Actual materials cost incurred for this setup project.,
Actual total cost incurred for this setup project.,Actual total cost incurred for this setup project.,
"Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.","Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.",
Affiliation / Organization,Affiliation / Organization,
All,Todos,
All instrument details live on Instrument,All instrument details live on Instrument,
Allow Anonymized Sharing,Allow Anonymized Sharing,
Amended From,Modificado desde,
Amount,Importe,
An Instrument Inspection already exists for this serial: {0},An Instrument Inspection already exists for this serial: {0},
An error occurred during automated record creation. Please check system logs or contact an administrator.,An error occurred during automated record creation. Please check system logs or contact an administrator.,
