API,API,
About,درباره,
Accepted,پذیرفته,
Accounts User,کاربر حسابداری,
Action,اقدام,
Actions,عملیات,
Activate,فعال کنید,
Active,فعال,
Actual Cost,هزینه واقعی,
Actual End Date,تاریخ واقعی پایان,
Actual Start Date,واقعی تاریخ شروع,
All,همه,
Amended From,اصلاح از,
Amount,مقدار,
Apps,برنامه ها,
Archive,بایگانی,
Archived,بایگانی شد,
Assigned To,اختصاص یافته به,
Attachments,فایل های پیوست,
Available,در دسترس,
Brand,مارک,
Buying Price List,لیست قیمت خرید,
Cancel,لغو,
Canceled,لغو شد,
Cancelled,لغو شد,
Category,دسته,
Category Name,نام بخش,
Check,بررسی,
Client,مشتری,
Close,ببند,
Closed,بسته,
Color,رنگ,
Comment,اظهار نظر,
Comments,نظرات,
Company,شرکت,
Complete,تکمیل,
Completed,تکمیل شده,
Component,مؤلفه,
Condition,شرط,
Contact,تماس,
Contact Email,تماس با ایمیل,
Contact Phone,تلفن تماس,
Conversion Rate,نرخ تبدیل,
Created On,ایجاد شد,
Currency,پول,
Current Status,وضعیت فعلی,
Custom,سفارشی,
Customer,مشتری,
Customer ID,شناسه مشتری,
Customer Name,نام مشتری,
Customer Type,نوع مشتری,
Data,داده ها,
Date,تاریخ,
Default,پیش فرض,
Default Company,شرکت پیش‌فرض,
Default Item Group,به طور پیش فرض مورد گروه,
Default Priority,اولویت پیش فرض,
Default Source Warehouse,انبار منبع پیش‌فرض,
Default Value,مقدار پیش فرض,
Defaults,پیش فرض,
Delayed,با تاخیر,
Delivered,تحویل,
Depends On,بستگی دارد به,
Description,شرح,
Discount (%),تخفیف (٪),
Discount Amount,مقدار تخفیف,
Discount Type,نوع تخفیف,
Document Name,نام سند,
Document Type,نوع سند,
Documentation,مستندات,
Draft,پیش نویس,
Due Date,تاریخ,
Email,پست الکترونیک,
Email Address,آدرس ایمیل,
Enabled,فعال,
Error,خطا,
Estimated Cost,هزینه تخمین زده شده,
Excellent,عالی,
Expected End Date,انتظار می رود تاریخ پایان,
Expected Start Date,انتظار می رود تاریخ شروع,
Expired,تمام شده,
Failed,شکست خورد,
Field Type,نوع فیلد,
First Name,نام,
Float,شناور,
Frappe Support,پشتیبانی Frappe,
From Date,از تاریخ,
Full Name,نام و نام خانوادگی,
Grand Total,بزرگ ها,
Hidden,پنهان شده,
High,زیاد,
Hold,نگه داشتن,
Hours,ساعت ها,
Idx,شناسه,
In List View,در نمای فهرست,
In Progress,در حال پیش رفت,
In Transit,در ترانزیت,
Inactive,غیر فعال,
Inspected By,بازرسی توسط,
Inspection Type,نوع بازرسی,
Int,عدد صحیح,
Inventory,فهرست,
Is Active,فعال است,
Is Group,گروه,
Issue,موضوع,
Issued,صادر,
Item,بخش,
Item Code,کد مورد,
Item Name,نام آیتم,
Items,اقلام,
Key,کلید,
Keyboard Shortcuts,میانبرهای صفحه کلید,
Lab Technician,تکنیسین آزمایشگاه,
Last Active,آخرین فعالیت,
Last Name,نام خانوادگی,
Location,محل,
Log Entries,ثبت‌های لاگ,
Log out,خروج,
Logs,لاگ ها,
Lost,از دست رفته,
Low,کم,
Maintenance,نگهداری,
Manufacturer,سازنده,
Medium,متوسط,
Meta,متا,
Method,روش,
Model,مدل,
Modified By,تغییر داده شده توسط,
My Profile,نمایه من,
My Settings,تنظیمات من,
Name,نام,
Naming Series,نامگذاری سری,
New,جدید,
Notes,یادداشت,
OK,خوب,
On Hold,در حال برگزاری,
Open,باز,
Operation,عمل,
Other,دیگر,
Overdue,سر رسیده,
Overview,بررسی اجمالی,
Owner,مالک,
Parameter,پارامتر,
Parent Task,وظیفه والدین,
Passed,گذشت,
Paused,مکث کرد,
Pending,در انتظار,
Pending Review,در انتظار نقد و بررسی,
Percentage,در صد,
Phone,تلفن,
Phone Number,شماره تلفن,
Planning,برنامه ریزی,
Portal,پرتال,
Posting Date,تاریخ ارسال,
Primary Email,ایمیل اصلی,
Primary Phone,تلفن اصلی,
Priority,اولویت,
Progress,پیشرفت,
Purchase,خرید,
Purchase Date,تاریخ خرید,
Purchase Order,سفارش خرید,
Purchase Receipt,رسید خرید,
Qty,تعداد,
Quantity,مقدار,
Rate,نرخ,
Rating,رتبه,
Read Only,فقط خواندنی,
Reason,دلیل,
Received,رسیده,
Reference,ارجاع,
Reference DocType,مرجع DocType,
Reference Doctype,Doctype مرجع,
Reference Name,نام مرجع,
Rejected,رد,
Reload,بارگذاری مجدد,
Remarks,سخنان,
Reopen,بازگشایی,
Repair,تعمیر,
Repair Details,جزئیات تعمیر,
Report an Issue,گزارش یک مشکل,
Resolve,برطرف کردن,
Resolved,حل شده,
Restore,بازگرداندن,
Returned,بازگشت,
Rounded Total,گرد مجموع,
Running,در حال اجرا,
SMS,پیامک,
Sales,فروش,
Sales Manager,مدیر فروش,
Sales User,فروش کاربر,
Scheduled,برنامه ریزی,
Scheduled Date,تاریخ برنامه ریزی شده,
Section,بخش,
Selling Price List,لیست قیمت فروش,
Serial No,شماره سریال,
Session Defaults,پیش‌فرض‌های نشست,
Setup,برپایی,
Shipping,حمل و نقل,
Signature,امضا,
Signed,امضاء شده,
Signed On,امضا شده,
Small Text,متن کوچک,
Sold,فروخته شده,
Source DocType,منبع DocType,
Source Warehouse,انبار منبع,
Standard,استاندارد,
Start,شروع,
Started At,آغاز شده در,
Status,وضعیت,
Stock Entry,سهام ورود,
Stock UOM,سهام UOM,
Student,دانشجو,
Subject,موضوع,
Submit,ثبت کردن,
Submitted,ارسال شده,
Subtotal,جمع جزء,
Suspended,تعطیل,
System Manager,سیستم مدیریت,
Task,وظیفه,
Task Description,شرح وظیفه,
Task Name,وظیفه نام,
Task Type,نوع کار,
Tasks,وظایف,
Tax Amount,مقدار مالیات,
Template Name,نام الگو,
Terms,شرایط,
Text,متن,
Timestamp,مهر زمان,
Title,عنوان,
To Date,به روز,
Toggle Full Width,تغییر وضعیت عرض کامل,
Toggle Theme,تغییر تم,
Tools,ابزار,
Total Cost,هزینه کل,
Totals,مجموع,
Type,نوع,
UOM,UOM,
Unit,واحد,
Unknown,ناشناخته,
Unverified,تایید نشده,
Urgent,فوری,
User Forum,انجمن کاربر,
Valid From,معتبر از,
Valid Till,تاخیر معتبر,
Valid Upto,معتبر تا,
Valuation Rate,نرخ ارزش‌گذاری,
Value,ارزش,
Verification,تأیید,
Verified By,تایید شده توسط,
Version,نسخه,
View Website,مشاهده وب سایت,
Warehouse,مخزن,
Warranty,گارانتی,
Workflow State,وضعیت گردش کار,
Working,کار,
