API,API,
About,A Propos,
Accepted,Accepté.e,
Action,Action,
Actions,Actions,
Activate,Activer,
Active,actif,
Actual Cost,Prix actuel,
Actual End Date,Date de Fin Réelle,
Actual Start Date,Date de Début Réelle,
All,Tout,
Amended From,Modifié Depuis,
Amount,Montant,
Archive,Archive,
Archived,Archivé,
Assigned To,Assigné À,
Attachments,Pièces jointes,
Available,Disponible,
Both,Tous les deux,
Brand,Marque,
Buying Price List,Liste de prix d'achat,
CRM,CRM,
Canceled,Annulé,
Cancelled,Annulé,
Category,Catégorie,
Category Name,Nom de la Catégorie,
Check,Vérifier,
Client,Client,
Close,Fermer,
Closed,Fermé,
Color,Couleur,
Comment,Commentaire,
Comments,Commentaires,
Company,Société,
Complete,Terminé,
Completed,Terminé,
Component,Composant,
Condition,Condition,
Contact,Contact,
Contact Email,Email du Contact,
Contact Phone,Numéro du contact,
Conversion Rate,Taux de Conversion,
Create,Créer,
Created On,Créé Le,
Currency,Devise,
Current Status,Statut Actuel,
Custom,Personnaliser,
Customer,Client,
Customer ID,N ° de client,
Customer Name,Nom du client,
Customer Type,Type de client,
Data,Données,
Date,Date,
Default,Par Défaut,
Default Item Group,Groupe d'Éléments par Défaut,
Default Priority,Priorité par défaut,
Default Value,Valeur par Défaut,
Defaults,Valeurs Par Défaut,
Delayed,Différé,
Delivered,Livré,
Depends On,Dépend De,
Description,Description,
Discount (%),Remise (%),
Discount Amount,Remise,
Discount Type,Type de remise,
Display,Afficher,
Document Name,Nom du Document,
Document Type,Type de Document,
Draft,Brouillon,
Due Date,Date d'Échéance,
Duration,Durée,
Email,Courriel,
Email Address,Email,
Error,Erreur,
Estimated Cost,Coût estimé,
Expected End Date,Date de fin prévue,
Expected Start Date,Date de début prévue,
Expired,Expiré,
Failed,Échoué,
Field Type,Type de Champ,
First Name,Prénom,
Float,Nombre Réel,
From Date,A partir du,
Full Name,Nom Complet,
Grand Total,Total TTC,
High,Haut,
Hold,Mettre en attente,
Hours,Heures,
In Progress,En cours,
In Transit,En transit,
Inactive,Inactif,
Inspected By,Inspecté Par,
Inspection Type,Type d'Inspection,
Inventory,Inventaire,
Is Active,Est Active,
Is Group,Est un Groupe,
Issue,Ticket,
Issued,Publié,
Item,Article,
Item Code,Code de l'Article,
Item Name,Nom de l'article,
Item {0} does not exist.,Article {0} n'existe pas.,
Items,Articles,
Key,Clé,
Keyboard Shortcuts,Raccourcis clavier,
Lab Technician,Technicien de laboratoire,
Last Active,Dernière Activité,
Last Name,Nom de Famille,
Location,Lieu,
Logs,Journaux,
Lost,Perdu,
Low,Bas,
Maintenance,Entretien,
