", some use 441–443 Hz.",", certains utilisent 441-443 Oui.",
<p><a href='{0}'>View your Intake record</a></p>,<p><a href='{0}'> Visualisez votre enregistrement d'entrée</a></p>,
<p>Great news! Your instrument has passed final checks and is ready for collection or shipment.</p>,Bonne nouvelle ! Votre instrument a fait l'objet de vérifications finales et est prêt pour la collecte ou l'expédition.</p>,
"<p>Hi {0},</p>","<p> Bonjour {0},</p>",
<p>Thank you for choosing Artisan Clarinets!</p>,<p> Merci de choisir Artisan Clarinets!</p>,
<p>We’ve logged your instrument into our system. You can track progress at any time using the link below.</p>,<p> Nous avons enregistré votre instrument dans notre système. Vous pouvez suivre les progrès à tout moment en utilisant le lien ci-dessous.</p>,
<p>Your instrument’s status has been updated to <strong>{0}</strong>.</p>,<p>Votre statut d'instrument a été mis à jour à <strong>{0}</strong>.</p>,
A,A,
A Clarinet,Un Clarinet,
A serial record with the same value already exists without an Instrument: {0},Un enregistrement série avec la même valeur existe déjà sans Instrument: {0},
A system error has occurred. Technical support has been notified. Please try again later.,Une erreur système s'est produite. Le soutien technique a été notifié. Veuillez réessayer plus tard.,
A4 reference (number),Référence A4 (numéro),
A4 reference (slider),Référence A4 (glisseur),
API,API,
About,A Propos,
Acceptance Source,Source d'acceptation,
Acceptance Status,État d'acceptation,
Accepted,Accepté.e,
Accepted By,Acceptée par,
Accepted On,Acceptée,
Accessories & Included Parts,Accessoires & inclus Pièces,
Accessory,Accessoire,
Accessory ID,ID accessoire,
Accessory description cannot be empty.,La description accessoire ne peut pas être vide.,
Acquired Date,Date d'acquisition,
Acquisition Cost,Coût d'acquisition,
Acquisition Source,Source d'acquisition,
Acquisition Type,Type d'acquisition,
Action,Action,
Action By,Mesures prises par,
Actions,Actions,
Activate,Activer,
Active,actif,
Actual Cost,Prix actuel,
Actual End,Fin réelle,
Actual End Date,Date de Fin Réelle,
Actual End Date cannot be before Actual Start Date.,La date de fin réelle ne peut être antérieure à la date de début réelle.,
Actual Hours,Heures réelles,
Actual Materials Cost,Coût réel des matériaux,
Actual Start,Début effectif,
Actual Start Date,Date de Début Réelle,
Actual date when setup work started.,Date réelle du début du travail de configuration.,
Actual date when setup work was completed.,Date réelle à laquelle les travaux d'installation ont été terminés.,
Actual materials cost incurred for this setup project.,Coût réel des matériaux engagés pour ce projet d'installation.,
Actual total cost incurred for this setup project.,Coût total réel encouru pour ce projet d'installation.,
"Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.","Avancé : modifier seulement si les comptes sont éteints. Pour la plupart des cas, laissez par défaut ou utilisez Auto Pixel Radius à partir de mm ci-dessous.",
Affiliation / Organization,Affiliation / Organisation,
All,Tout,
All instrument details live on Instrument,Tous les détails de l'instrument en direct sur Instrument,
Allow Anonymized Sharing,Permettre le partage anonyme,
Amended From,Modifié Depuis,
Amount,Montant,
An Instrument Inspection already exists for this serial: {0},Une inspection des instruments existe déjà pour cette série: {0},
An error occurred during automated record creation. Please check system logs or contact an administrator.,Une erreur s'est produite lors de la création automatisée d'enregistrements. Veuillez vérifier les registres du système ou contacter un administrateur.,
An error occurred while processing your request. Please contact support if this persists.,Une erreur s'est produite lors du traitement de votre demande. Veuillez contacter le support si cela persiste.,
Analysis complete,Analyse terminée,
Analyzing…,Analyse...,
Analyzing… (unstable pitch),Analyse...,
Another unlinked serial record exists with the same serial number: {0},Un autre enregistrement série non lié existe avec le même numéro de série: {0},
Applies exponential smoothing to pitch to stabilize the needle.,Applique un lissage exponentiel pour lancer pour stabiliser l'aiguille.,
Approve & Complete,Approuver et compléter,
Approved At,Approuvé à,
Approved Count,Nombre approuvé,
ArUco Dictionary,Dictionnaire ArUco,
Archive,Archive,
Archived,Archivé,
As stamped/engraved/printed on the instrument,Comme estampillé/gravé/imprimé sur l'instrument,
Assigned Technician,Technicien désigné,
Assigned To,Assigné À,
Associated pad map record for reference while performing the setup.,Carte de pad associée pour référence lors de l'exécution de la configuration.,
At,À,
Attachments,Pièces jointes,
Attack,Attaque,
Attack (ms),Attaque (ms),
Audio/Video Demos,Démos audio/vidéo,
Auto Pixel Radius From mm,Rayon Pixel automatique à partir de mm,
Auto count from image processing. Always verify against the Processed Preview before approving.,Compte automatique du traitement d'image. Toujours vérifier par rapport à l'aperçu traité avant d'approuver.,
Auto quality gate. Unchecked means blur/lighting/perspective are sub‑optimal—consider retaking the photo.,Portail de qualité automatique. Unchecked signifie que le flou/l'éclairage/perspective sont sous-optimaux – envisager de reprendre la photo.,
Auto-create Clarinet Initial Setup,Création automatique de la configuration initiale de Clarinet,
Auto-created Pad Map: {0},Carte de Pad créée automatiquement : {0},
Auto-populate Failed,Échec automatique de la population,
Auto-populate runs only when both pad tables are empty and the category is recognized (Soprano or Bass).,Auto-populate fonctionne seulement lorsque les deux tables sont vides et la catégorie est reconnue (Soprano ou Basse).,
Auto-synced from Instrument.current_status,Synchronisation automatique à partir de Instrument.current_status,
Auto-synced from Instrument.instrument_type or clarinet_type,Synchronisé automatiquement à partir de Instrument.instrument_type ou clarinette_type,
Autocorrelation (Cents),Autocorrélation (Cents),
Automatically generated unique Instrument ID,Création automatique d'un ID d'instrument unique,
Automatically generated unique Instrument Profile ID,Création automatique d'un ID unique de profil d'instrument,
Automation & Behavior,Automatisation et comportement,
Auto‑generated overlay showing detected pads. Review the green circles to confirm the count before approval.,Superposition générée automatiquement montrant les tampons détectés. Examiner les cercles verts pour confirmer le décompte avant l'approbation.,
Available,Disponible,
Average tuning offset and its short-term variability,contrebalancement de l'accord moyen et sa variabilité à court terme,
Awaiting Payment,En attente de paiement,
Axis,Axe,
Barcode / QR,Code à barres / QR,
Barcode Scan Entry,Entrée d'analyse du code-barres,
Barrel,Barrel,
Basic Information,Informations de base,
Bass Clarinet (B♭),Clarinette basse (B),
Benchmark / Target,Objectif,
Body Material,Matériau du corps,
Bore Inspection Notes,Notes d'inspection des pores,
Bore Measurement (mm),Mesure des pores (mm),
Bore Style,Style d'arête,
Bore Type / Size,Type d'arête / Taille,
Bore Visual Condition,État visuel,
Bore Ø (mm),Boîte Ø (mm),
Both,Tous les deux,
Bottom Joint Pads,Plaquettes d'articulation du bas,
Brand,Marque,
Brand Mapping Rules,Règles de cartographie des marques,
Brand Model • Serial,Modèle de marque • Série,
Buying Price List,Liste de prix d'achat,
By,Par,
B♭,B. B.,
B♭ Clarinet,B. Clarinette,
C,C,
CRM,CRM,
Calibrated By,Calibré par,
Calibration Date,Date d'étalonnage,
Canceled,Annulé,
Canceling a blocked operation is prohibited.,Il est interdit d'annuler une opération bloquée.,
Cancelled,Annulé,
"Cannot submit. The following items are incomplete:
{0}","Je ne peux pas me soumettre. Les éléments suivants sont incomplets:
{0}",
