API,API,
Accepted,સ્વીકારાયું,
Accounts User,વપરાશકર્તા એકાઉન્ટ્સ,
Action,ક્રિયા,
Actions,ક્રિયાઓ,
Active,સક્રિય,
Actual Cost,વાસ્તવિક કિંમત,
Actual End Date,વાસ્તવિક ઓવરને તારીખ,
Actual Start Date,વાસ્તવિક પ્રારંભ તારીખ,
All,બધા,
Amended From,સુધારો,
Amount,રકમ,
Approved,મંજૂર,
Archive,આર્કાઇવ,
Archived,પેટીવાળી,
Assigned To,સોંપેલ,
Attachments,જોડાણો,
Available,ઉપલબ્ધ,
Brand,બ્રાન્ડ,
Buying Price List,ભાવ યાદી ખરીદી,
Cancel,રદ કરો,
Canceled,રદ કર્યું,
Cancelled,રદ,
Category,શ્રેણી,
Category Name,કેટેગરી નામ,
Check,તપાસો,
Client,ક્લાઈન્ટ,
Close,બંધ કરો,
Closed,બંધ,
Color,રંગ,
Comment,ટિપ્પણી,
Comments,ટિપ્પણીઓ,
Company,કંપની,
Complete,પૂર્ણ,
Completed,પૂર્ણ,
Component,પુન,
Condition,કન્ડિશન,
Contact,સંપર્ક,
Contact Email,સંપર્ક ઇમેઇલ,
Contact Phone,સંપર્ક ફોન,
Conversion Rate,રૂપાંતરણ દર,
Created On,પર બનાવેલ,
Currency,કરન્સી,
Current Status,વર્તમાન સ્થિતિ,
Custom,કસ્ટમ,
Customer,ગ્રાહક,
Customer ID,ગ્રાહક ઓળખાણ પત્ર,
Customer Name,ગ્રાહક નું નામ,
Customer Type,ગ્રાહકનો પ્રકાર,
Data,ડેટા,
Date,તારીખ,
Default,મૂળભૂત,
Default Company,મૂળભૂત કંપની,
Default Item Group,મૂળભૂત વસ્તુ ગ્રુપ,
Default Priority,ડિફોલ્ટ પ્રાધાન્યતા,
Default Source Warehouse,મૂળભૂત સોર્સ વેરહાઉસ,
Default Value,મૂળભૂત કિંમત,
Defaults,ડિફૉલ્ટ્સ,
Delayed,વિલંબિત,
Delivered,વિતરિત,
Depends On,પર આધાર રાખે છે,
Description,વર્ણન,
Desk,ડેસ્ક,
Discount (%),ડિસ્કાઉન્ટ (%),
Discount Amount,ડિસ્કાઉન્ટ રકમ,
Discount Type,ડિસ્કાઉન્ટનો પ્રકાર,
Document Name,દસ્તાવેજ નામ,
Document Type,દસ્તાવેજ પ્રકારની,
Draft,ડ્રાફ્ટ,
Due Date,નિયત તારીખ,
Email,ઇમેઇલ,
Email Address,ઈ - મેઈલ સરનામું,
Enabled,સક્ષમ,
Error,ભૂલ,
Estimated Cost,અંદાજીત કિંમત,
Expected End Date,અપેક્ષિત ઓવરને તારીખ,
Expected Start Date,અપેક્ષિત પ્રારંભ તારીખ,
Expired,સમાપ્ત,
Failed,નિષ્ફળ,
Field Type,ફીલ્ડ પ્રકાર,
First Name,પ્રથમ નામ,
Float,ફ્લોટ,
From Date,તારીખ થી,
Full Name,આખુ નામ,
Grand Total,કુલ સરવાળો,
Hidden,છુપાયેલું,
High,હાઇ,
Hold,હોલ્ડ,
Hours,કલાકો,
Idx,IDX,
In List View,યાદી દૃશ્યમાં,
In Progress,પ્રગતિમાં,
In Transit,પરિવહનમાં,
Inactive,નિષ્ક્રિય,
Inspected By,દ્વારા પરીક્ષણ,
Inspection Type,નિરીક્ષણ પ્રકાર,
Int,ઈન્,
Inventory,ઈન્વેન્ટરી,
Is Active,સક્રિય છે,
Is Group,Is ગ્રુપ,
Issue,મુદ્દો,
Issued,જારી,
Item,વસ્તુ,
Item Code,વસ્તુ કોડ,
Item Name,વસ્તુનુ નામ,
Items,વસ્તુઓ,
Key,કી,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Lab Technician,લેબ ટેકનિશિયન,
Last Active,સક્રિય છેલ્લું,
Last Name,છેલ્લું નામ,
Location,સ્થાન,
Logs,લોગ,
Lost,લોસ્ટ,
Low,લો,
Maintenance,જાળવણી,
Manufacturer,ઉત્પાદક,
Medium,મધ્યમ,
Method,પદ્ધતિ,
Model,મોડલ,
Modified By,દ્વારા ફેરફાર,
Name,નામ,
Naming Series,નામકરણ સિરીઝ,
New,નવું,
Notes,નોંધો,
On Hold,હોલ્ડ પર,
Open,ઓપન,
Operation,ઓપરેશન,
Other,અન્ય,
Overdue,મુદતવીતી,
Owner,માલિક,
Parameter,પરિમાણ,
Parent Task,માતાપિતા કાર્ય,
Passed,પાસ થઈ,
Pending,બાકી,
Pending Review,બાકી સમીક્ષા,
Percent Complete,ટકા પૂર્ણ,
Percentage,ટકાવારી,
Phone,ફોન,
Phone Number,ફોન નંબર,
Planning,આયોજન,
Portal,પોર્ટલ,
Posting Date,પોસ્ટ તારીખ,
Priority,પ્રાધાન્યતા,
Progress,પ્રગતિ,
Purchase,ખરીદી,
Purchase Date,ખરીદ તારીખ,
Purchase Order,ખરીદી ઓર્ડર,
Purchase Receipt,ખરીદી રસીદ,
Qty,Qty,
Quantity,જથ્થો,
Rate,દર,
Rating,રેટિંગ,
Read Only,ફક્ત વાંચી,
Reason,કારણ,
Received,પ્રાપ્ત,
Reference,સંદર્ભ,
Reference DocType,સંદર્ભ ડોકટાઇપ,
Reference Doctype,સંદર્ભ Doctype,
Reference Name,સંદર્ભ નામ,
Rejected,નકારેલું,
Reload,ફરી લાવો,
Remarks,રીમાર્કસ,
Reopen,ફરીથી ખોલો,
Resolve,ઉકેલો,
Resolved,ઉકેલી,
Restore,પુનઃસ્થાપિત,
Rounded Total,ગોળાકાર કુલ,
SMS,એસએમએસ,
Sales,સેલ્સ,
Sales Manager,વેચાણ મેનેજર,
Sales User,સેલ્સ વપરાશકર્તા,
Scheduled,અનુસૂચિત,
Scheduled Date,અનુસૂચિત તારીખ,
Section,વિભાગ,
Selling Price List,વેચાણ કિંમત યાદી,
Serial No,સીરીયલ કોઈ,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Setup,સ્થાપના,
Shipping,વહાણ પરિવહન,
Signature,હસ્તાક્ષર,
Signed,સાઇન કરેલું,
Signed On,સાઇન કરેલું,
Small Text,નાની ટેક્સ્ટ,
Sold,વેચાઈ,
Source DocType,સોર્સ ડોક ટાઇપ,
Source Warehouse,સોર્સ વેરહાઉસ,
Standard,સ્ટાન્ડર્ડ,
Start,પ્રારંભ,
Status,સ્થિતિ,
Stock Entry,સ્ટોક એન્ટ્રી,
Stock UOM,સ્ટોક UOM,
Student,વિદ્યાર્થી,
Subject,વિષય,
Submit,સબમિટ,
Submitted,સબમિટ,
Subtotal,પેટાસરવાળો,
Suspended,નિલંબિત,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Task,ટાસ્ક,
Task Description,કાર્ય વર્ણન,
Task Name,ટાસ્ક નામ,
Task Type,કાર્ય પ્રકાર,
Tasks,કાર્યો,
Template Name,નમૂના નામ,
Terms,શરતો,
Text,લખાણ,
Timestamp,ટાઇમસ્ટેમ્પ,
Title,શીર્ષક,
To Date,આજ સુધી,
Tools,સાધનો,
Total Cost,કુલ ખર્ચ,
Totals,કૂલ,
Type,પ્રકાર,
UOM,UOM,
Unit,એકમ,
Unknown,અજ્ઞાત,
Unverified,ચકાસાયેલ,
Urgent,અર્જન્ટ,
Valid From,થી માન્ય,
Valid Till,સુધી માન્ય,
Valid Upto,માન્ય,
Valuation Rate,મૂલ્યાંકન દર,
Value,મૂલ્ય,
Verification,ચકાસણી,
Verified By,દ્વારા ચકાસવામાં,
Version,આવૃત્તિ,
View Website,વેબસાઇટ જુઓ,
Warehouse,વેરહાઉસ,
Warranty,વોરંટી,
Workflow State,વર્કફ્લો રાજ્ય,
