API,एपीआई,
Accepted,स्वीकार किया,
Action,कार्रवाई,
Actions,कार्य,
Active,सक्रिय,
Actual Cost,वास्तविक लागत,
Actual End Date,वास्तविक समाप्ति तिथि,
Actual Start Date,वास्तविक प्रारंभ दिनांक,
All,सब,
Amended From,से संशोधित,
Amount,राशि,
Approved,अनुमोदित,
Archive,संग्रह,
Archived,संग्रहीत,
Assigned To,को सौंपा,
Attachments,किए गए अनुलग्नकों के,
Available,उपलब्ध,
Both,दोनों,
Brand,ब्रांड,
Buying Price List,ख़रीदना मूल्य सूची,
CRM,सीआरएम,
Canceled,रद्द,
Cancelled,रद्द,
Category,श्रेणी,
Category Name,श्रेणी नाम,
Check,चेक,
Client,ग्राहक,
Close,बंद करें,
Closed,बंद,
Color,रंग,
Comment,टिप्पणी,
Comments,टिप्पणियां,
Company,कंपनी,
Complete,पूरा,
Completed,पूरा,
Component,अंग,
Condition,शर्त,
Contact,संपर्क,
Contact Email,संपर्क ईमेल,
Contact Phone,संपर्क दूरभाष,
Conversion Rate,रूपांतरण दर,
Create,बनाना,
Created On,पर बनाया,
Currency,मुद्रा,
Current Status,वर्तमान स्थिति,
Custom,रिवाज,
Customer,ग्राहक,
Customer ID,"ग्राहक आईडी, ग्राहक पहचान",
Customer Name,ग्राहक का नाम,
Customer Type,ग्राहक प्रकार,
Data,डेटा,
Date,तारीख,
Default,चूक,
Default Item Group,डिफ़ॉल्ट आइटम समूह,
Default Priority,डिफ़ॉल्ट प्राथमिकता,
Default Value,डिफ़ॉल्ट मान,
Defaults,डिफ़ॉल्ट्स,
Delayed,विलंबित,
Delivered,दिया गया,
Depends On,पर निर्भर करता है,
Description,विवरण,
Desk,डेस्क,
Discount (%),छूट (%),
Discount Amount,छूट राशि,
Discount Type,डिस्काउंट प्रकार,
Display,प्रदर्शन,
Document Name,दस्तावेज़ का नाम,
Document Type,दस्तावेज़ प्रकार,
Draft,प्रारूप,
Due Date,नियत तारीख,
Duration,अवधि,
Email,ईमेल,
Email Address,ईमेल पता,
Error,त्रुटि,
Estimated Cost,अनुमानित लागत,
Expected End Date,उम्मीद समाप्ति तिथि,
Expected Start Date,उम्मीद प्रारंभ दिनांक,
Expired,समय सीमा समाप्त,
Failed,विफल,
Field Type,फ़ील्ड प्रकार,
First Name,प्रथम नाम,
Float,नाव,
From Date,दिनांक से,
Full Name,पूरा नाम,
