API,API,
About,O,
Accepted,Prihvaćeno,
Accounts User,Korisnik Računa,
Action,Akcija,
Actions,Akcije,
Activate,Aktiviraj,
Active,Aktivan,
Actual Cost,Stvarna cijena,
Actual End Date,Stvarni datum završetka,
Actual Start Date,Stvarni datum početka,
All,svi,
Amended From,Izmijenjena Od,
Amount,Iznos,
Approved,Odobren,
Archive,Arhiva,
Archived,Arhivirano,
Assigned To,Dodijeljeno,
Attachments,Privitci,
Available,Dostupno,
Brand,Brend,
Buying Price List,Cjenik kupnje,
Cancel,Otkaži,
Canceled,otkazan,
Cancelled,OTKAZANO,
Category,Kategorija,
Category Name,Naziv kategorije,
Check,Ček,
Client,Klijent,
Close,Zatvoriti,
Closed,Zatvoreno,
Color,Boja,
Comment,Komentar,
Comments,Komentari,
Company,Društvo,
Complete,Kompletna,
Completed,Dovršen,
Component,sastavni dio,
Condition,Stanje,
Contact,Kontakt,
Contact Email,Kontakt email,
Contact Phone,Kontakt telefon,
Conversion Rate,Stopa pretvorbe,
Created On,Kreirano na,
Currency,Valuta,
Current Status,Trenutni status,
Custom,Prilagođeno,
Customer,kupac,
Customer ID,ID kupca,
Customer Name,Naziv klijenta,
Customer Type,Vrsta kupca,
Data,Podaci,
Date,Datum,
Default,Zadano,
Default Company,Standard Tvrtka,
Default Item Group,Zadana grupa proizvoda,
Default Priority,Zadani prioritet,
Default Source Warehouse,Standard Izvorno Skladište,
Default Value,Zadana vrijednost,
Defaults,Zadani,
Delayed,Odgođeno,
Delivered,Isporučeno,
Depends On,Ovisi o,
Description,Opis,
Desk,stol,
Discount (%),Popust (%),
Discount Amount,Iznos popusta,
Discount Type,Vrsta popusta,
Document Name,Dokument Naziv,
Document Type,Tip dokumenta,
Documentation,Dokumentacija,
Draft,Nacrt,
Due Date,Datum dospijeća,
Email,E-mail,
Email Address,Email adresa,
Enabled,Omogućeno,
Error,Pogreška,
Estimated Cost,Procjena cijene,
Expected End Date,Očekivani datum završetka,
Expected Start Date,Očekivani datum početka,
Expired,Istekla,
Failed,Neuspješno,
Field Type,Vrsta polja,
First Name,Ime,
Float,Plutati,
From Date,Od datuma,
Full Name,Ime i prezime,
Grand Total,Ukupno za platiti,
Hidden,Skriven,
High,Visok,
Hold,Zadrži,
Hours,Sati,
Idx,idx,
In List View,U prikazu popisa,
In Progress,U nastajanju,
In Transit,U tranzitu,
Inactive,neaktivan,
Inspected By,Pregledati,
Inspection Type,Inspekcija Tip,
Int,Interesi,
Inventory,Inventar,
Is Active,Je aktivan,
Is Group,Je grupe,
Issue,Izazov,
Issued,Izdano,
Item,Proizvod,
Item Code,Šifra proizvoda,
Item Name,Ime proizvoda,
Items,Proizvodi,
Key,Ključ,
Keyboard Shortcuts,Prečice na tipkovnici,
Lab Technician,Laboratorijski tehničar,
Last Active,Zadnja Aktivnost,
Last Name,Prezime,
Location,Lokacija,
Log Entries,Unosi Zapisa,
Logs,Dnevnici,
Lost,izgubljen,
Low,Nisko,
Maintenance,Održavanje,
Manufacturer,Proizvođač,
Medium,Srednji,
Method,Metoda,
Model,Model,
Modified By,Izmijenio,
Name,Ime,
Naming Series,Imenovanje serije,
New,Novi,
Notes,Zabilješke,
On Hold,Na čekanju,
Open,Otvoreno,
Operation,Operacija,
Other,Drugi,
Overdue,prezadužen,
Overview,Pregled,
Owner,vlasnik,
Parameter,Parametar,
Parent Task,Roditeljska zadaća,
Passed,Prošao,
Paused,Pauzirano,
