API,API,
Accepted,Elfogadva,
Action,Művelet,
Actions,Műveletek,
Active,Aktív,
Actual Cost,Tényleges költség,
Actual End Date,Tényleges befejezési dátum,
Actual Start Date,Tényleges kezdési dátum,
All,Összes,
Amended From,Módosított feladója,
Amount,Összeg,
Approved,Jóváhagyott,
Archive,Archív,
Archived,Archivált,
Assigned To,Felelős érte,
Attachments,Mellékletek,
Available,Elérhető,
Both,Mindkét,
Brand,Márka,
Buying Price List,Beszerzési árlista,
CRM,CRM,
Canceled,Törölve,
Cancelled,Törölve,
Category,Kategória,
Category Name,Kategória neve,
Check,Jelölje be,
Client,Ügyfél,
Close,Bezárás,
Closed,Lezárva,
Color,Szín,
Comment,Megjegyzés,
Comments,Hozzászólások,
Company,Vállalkozás,
Complete,teljes,
Completed,Befejezve,
Component,Összetevő,
Condition,Feltétel,
Contact,Kapcsolat,
Contact Email,Kapcsolattartó e-mailcíme,
Contact Phone,Kapcsolattartó telefon,
Conversion Rate,Konverziós arány,
Create,Létrehozás,
Created On,Létrehozva,
Currency,Pénznem,
Current Status,Aktuális állapot,
Custom,Egyedi,
Customer,Vevő,
Customer ID,Ügyfél-azonosító,
Customer Name,Vevő neve,
Customer Type,ügyféltípus,
Data,Adat,
Date,Dátum,
Default,Alapértelmezett,
Default Item Group,Alapértelmezett tételcsoport,
Default Priority,Alapértelmezett prioritás,
Default Value,Alapértelmezett érték,
Defaults,Alapértelmezések,
Delayed,Késedelem,
Delivered,Kiszállítva,
Depends On,Függés ettől,
Description,Leírás,
Desk,Íróasztal,
Discount (%),Kedvezmény (%),
Discount Amount,Kedvezmény összege,
Discount Type,Kedvezmény típusa,
Display,Képernyő,
Document Name,Dokumentum neve,
Document Type,Dokumentum típus,
Draft,vázlat,
Due Date,Határidő,
Duration,Tartam,
Email,Email,
Email Address,Email cím,
Error,Hiba,
Estimated Cost,Becsült költség,
Expected End Date,Várható befejezés dátuma,
Expected Start Date,Várható indulás dátuma,
Expired,Lejárt,
Failed,Sikertelen,
Field Type,Mező típusa,
First Name,Vezetéknév,
Float,Lebegőpontos,
From Date,Dátumtól,
Full Name,Teljes név,
Grand Total,Mindösszesen,
High,Nagy,
Hold,Tart,
Hours,Órák,
Idx,IDx,
Images,Képek,
In Progress,Folyamatban,
In Transit,Szállítás alatt,
Inactive,Inaktív,
Inspected By,Megvizsgálta,
Inspection Type,Vizsgálat típusa,
Int,Érd,
Inventory,Leltár,
Is Active,Ez aktív,
Is Group,Ez Csoport,
Issue,Probléma,
Issued,Kiadott Probléma,
Item,Tétel,
Item Code,Tételkód,
Item Name,Termék név,
Item {0} does not exist.,"Tétel: {0}, nem létezik.",
Items,Tételek,
Key,Mutató,
Keyboard Shortcuts,Gyorsbillentyűket,
Lab Technician,Laboratóriumi technikus,
Last Active,Utolsó Aktívitás,
Last Name,Keresztnév,
Location,Tartózkodási hely,
Logs,Naplók,
Lost,Elveszett,
Low,Alacsony,
Maintenance,Karbantartás,
Manufacturer,Gyártó,
Medium,Közepes,
Method,Módszer,
Model,Modell,
Modified By,Módosította,
Name,Név,
Naming Series,Elnevezési sorozatok,
New,Új,
Not permitted,Nem engedélyezett,
Notes,Jegyzetek,
On Hold,Feltartva,
Open,Megnyitva,
Operation,Üzemeltetés,
Other,Egyéb,
Overdue,Lejárt,
Owner,Tulajdonos,
Parameter,Paraméter,
Parent Task,Fő feladat,
Passed,Elhaladt,
Pending,Függő,
Pending Review,Ellenőrzésre vár,
Percent Complete,Százalék teljesítve,
Percentage,Százalék,
Phone,Telefon,
Phone Number,Telefonszám,
Planning,Tervezés,
Portal,Portál,
Preview,Előnézet,
Primary,Elsődleges,
Priority,Prioritás,
Progress,Előrehaladás,
Purchase,Beszerzés,
Purchase Date,Beszerzés dátuma,
Purchase Order,Beszerzési megrendelés,
Purchase Receipt,Beszerzési megrendelés nyugta,
Qty,Menny.,
Quantity,Mennyiség,
Rate,Arány,
Rating,Értékelés,
Reason,Ok,
Received,Beérkezett,
Reference,Hivatkozás,
Reference DocType,Referencia DocType,
Reference Doctype,Referencia Doctype,
Reference Name,Referencia név,
Rejected,Elutasítva,
Related,Kapcsolódó,
Reload,Reload,
Remarks,Megjegyzések,
Reopen,Újranyitása,
Reset,Visszaállítás,
Resolve,Elhatározás,
Resolved,Megoldva,
Restore,visszaállítás,
Rounded Total,Kerekített összeg,
SMS,SMS,
Sales,Értékesítés,
Sales Manager,Értékesítési manager,
Sales User,Értékesítési Felhasználó,
Scheduled,Ütemezett,
Scheduled Date,Ütemezett dátum,
Section,Szakasz,
Selling Price List,Értékesítési ár-lista,
Serial No,Széria sz.,
Session Defaults,Munkamenet alapértelmezései,
Settings,Beállítások,
Setup,Telepítés,
Shipping,Szállítás,
Signature,Aláírás,
Signed,Aláírt,
Signed On,Bejelentkezve,
Small Text,Kis szöveg,
Sold,Eladott,
Source Warehouse,Forrás raktár,
Standard,Általános,
Start,Kezdés,
Status,Állapot,
Stock Entry,Készlet bejegyzés,
Stock UOM,Készlet mértékegysége,
Stop,Megáll,
Student,Diák,
Subject,Tárgy,
Submit,Elküld,
Submitted,Benyújtva,
Subtotal,Részösszeg,
Suspended,Felfüggesztett,
System Manager,Rendszer menedzser,
Target,Cél,
Task,Feladat,
Task Description,Feladatleírás,
Task Name,Feladat neve,
Task Type,Feladat típusa,
Tasks,feladatok,
Template Name,Sablon neve,
Terms,Feltételek,
Text,Szöveg,
Timeline,Idővonal,
Timestamp,Időbélyeg,
Title,Cím,
To Date,Dátumig,
Tools,Eszközök,
Total Cost,Összköltség,
Totals,Az összesítések,
Type,Típus,
UOM,ME,
Unit,Egység,
Unknown,Ismeretlen,
Unverified,Nem ellenőrzött,
Urgent,Sürgős,
Valid From,Től érvényes,
Valid Till,Eddig érvényes,
Valid Upto,Érvényes,
Validation Error,Ellenőrzési hiba,
Value,Érték,
Verification,Igazolás,
Verified By,Ellenőrizte,
Version,Verzió,
View,Nézet,
View Website,Weboldal megtekintése,
Warehouse,Raktár,
Warranty,Garancia/szavatosság,
Workflow State,Munkafolyamat állapot,
Working,Folyamatban,
