API,API,
Accepted,Diterima,
Accounts User,Pengguna Akun,
Action,Tindakan,
Actions,Aksi,
Active,Aktif,
Actual Cost,Biaya Aktual,
Actual End Date,Tanggal Selesai Aktual,
Actual Start Date,Tanggal Mulai Aktual,
All,Semua,
Amended From,Diubah Dari,
Amount,Jumlah,
Approved,Disetujui,
Archive,arsip,
Archived,Diarsipkan,
Assigned To,Ditugaskan Kepada,
Attachments,Lampiran,
Available,Tersedia,
Brand,Brand,
Buying Price List,Daftar Harga Beli,
Cancel,Batalkan,
Canceled,Dibatalkan,
Cancelled,Dibatalkan,
Category,Kategori,
Category Name,Kategori Nama,
Check,Memeriksa,
Client,Client (Nasabah),
Close,Tutup,
Closed,Tertutup,
Color,Warna,
Comment,Komentar,
Comments,Komentar,
Company,Perusahaan,
Complete,Selesai,
Completed,Selesai,
Component,Komponen,
Condition,Kondisi,
Contact,Kontak,
Contact Email,Email Kontak,
Contact Phone,Hubungi Telepon,
Conversion Rate,Tingkat konversi,
Created On,Dibuat pada,
Currency,Mata Uang,
Current Status,Status saat ini,
Custom,Disesuaikan,
Customer,Pelanggan,
Customer ID,ID Pelanggan,
Customer Name,Nama Pelanggan,
Customer Type,Tipe pelanggan,
Data,Data,
Date,Tanggal,
Default,Default,
Default Company,Standar Perusahaan,
Default Item Group,Standar Item Grup,
Default Priority,Prioritas Default,
Default Source Warehouse,Standar Gudang Sumber,
Default Value,Nilai Awal,
Defaults,Standar,
Delayed,Terlambat,
Delivered,Dikirim,
Depends On,Tergantung Pada,
Description,Deskripsi,
Desk,Meja Belajar,
Discount (%),Diskon (%),
Discount Amount,Jumlah Diskon,
Discount Type,Jenis Diskon,
Document Name,Nama Dokumen,
Document Type,Tipe Dokumen,
Draft,Draf,
Due Date,Tanggal Jatuh Tempo,
Email,Surel,
Email Address,Alamat email,
Enabled,Diaktifkan,
Error,Galat,
Estimated Cost,Estimasi Biaya,
Expected End Date,Tanggal Target Selesai,
Expected Start Date,Tanggal Target Mulai,
Expired,Expired,
Failed,Gagal,
Field Type,Field Type,
First Name,Nama Depan,
Float,Mengapung,
From Date,Dari Tanggal,
Full Name,Nama Lengkap,
Grand Total,Nilai Jumlah Total,
Hidden,Tersembunyi,
High,Tinggi,
Hold,Ditahan,
Hours,Jam,
Idx,idx,
In List View,Dalam Daftar View,
In Progress,Sedang berlangsung,
In Transit,Sedang transit,
Inactive,Tidak aktif,
Inspected By,Diperiksa Oleh,
Inspection Type,Tipe Inspeksi,
Int,Int,
Inventory,Inventarisasi,
Is Active,Aktif,
Is Group,Apakah Group?,
Issue,Masalah / Isu,
Issued,Diterbitkan,
Item,Barang,
Item Code,Kode Item,
Item Name,Nama barang,
Items,Items,
Key,Kunci,
Keyboard Shortcuts,Pintasan keyboard,
Lab Technician,Teknisi laboratorium,
Last Active,Terakhir Aktif,
Last Name,Nama Belakang,
Location,Lokasi,
Logs,Log,
Lost,Kalah,
Low,Rendah,
Maintenance,Pemeliharaan,
Manufacturer,Pabrikasi,
Medium,Sedang,
Method,Metode,
Model,Model,
Modified By,dimodifikasi By,
Name,Nama,
Naming Series,Series Penamaan,
New,Baru,
Notes,Catatan,
OK,OK,
On Hold,Tertahan,
Open,Buka,
Operation,Operasi,
Other,Lain-lain,
Overdue,Terlambat,
Owner,Pemilik,
Parameter,Parameter,
Parent Task,Tugas orang tua,
Passed,Lulus,
Pending,Menunggu,
Pending Review,Pending Ulasan,
Percent Complete,Persen Lengkap,
Percentage,Persentase,
Phone,Telepon,
Phone Number,Nomor telepon,
Planning,Perencanaan,
Portal,Pintu gerbang,
Posting Date,Tanggal Posting,
Priority,Prioritas,
Progress,Kemajuan,
Purchase,Pembelian,
Purchase Date,Tanggal Pembelian,
Purchase Order,Purchase Order,
Purchase Receipt,Nota Penerimaan,
Qty,Kuantitas,
Quantity,Kuantitas,
Rate,Harga,
Rating,penilaian,
Read Only,Read Only,
Reason,Alasan,
Received,Diterima,
Reference,Referensi,
Reference DocType,Referensi DocType,
Reference Doctype,Referensi DocType,
Reference Name,nama referensi,
Rejected,Ditolak,
Reload,Mengisi kembali,
Remarks,Keterangan,
Reopen,Membuka lagi,
Resolve,Menyelesaikan,
Resolved,Terselesaikan,
Restore,Mengembalikan,
Rounded Total,Rounded Jumlah,
SMS,SMS,
Sales,Penjualan,
Sales Manager,Sales Manager,
Sales User,Penjualan Pengguna,
Scheduled,Dijadwalkan,
Scheduled Date,Dijadwalkan Tanggal,
Section,Bagian,
Selling Price List,Daftar Harga Jual,
Serial No,Serial ada,
Session Defaults,Default Sesi,
Setup,Pengaturan,
Shipping,pengiriman,
Signature,Tanda Tangan,
Signed,Tertanda,
Signed On,Masuk,
Small Text,Teks Kecil,
Sold,Terjual,
Source DocType,Sumber DocType,
Source Warehouse,Sumber Gudang,
Standard,Standar,
Start,Mulai,
Status,Status,
Stock Entry,Entri Persediaan,
Stock UOM,UOM Persediaan,
Student,Mahasiswa,
Subject,Perihal,
Submit,Kirim,
Submitted,Dikirim,
Subtotal,Subtotal,
Suspended,Tergantung,
System Manager,System Manager,
Task,Tugas,
Task Description,Deskripsi Tugas,
Task Name,Tugas Nama,
Task Type,Jenis Tugas,
Tasks,Tugas,
Template Name,Nama template,
Terms,Istilah,
Text,Teks,
Timestamp,Timestamp,
Title,Judul,
To Date,Untuk Tanggal,
Tools,Alat-alat,
Total Cost,Total Biaya,
Totals,Total,
Type,Jenis,
UOM,UOM,
Unit,Satuan,
Unknown,tidak diketahui,
Unverified,Tidak diverifikasi,
Urgent,Mendesak,
Valid From,Berlaku dari,
Valid Till,Berlaku sampai,
Valid Upto,Berlaku Hingga,
Valuation Rate,Tingkat Penilaian,
Value,Nilai,
Verification,Verifikasi,
Verified By,Diverifikasi oleh,
Version,Versi,
View Website,Lihat Situs Web,
Warehouse,Gudang,
Warranty,Jaminan,
Workflow State,Status Alur Kerja,
Working,Kerja,
