API,API,
Accepted,Samþykkt,
Action,aðgerð,
Actions,aðgerðir,
Active,virk,
Actual Cost,Raunverulegur kostnaður,
Actual End Date,Raunveruleg Lokadagur,
Actual Start Date,Raunbyrjunardagsetning,
All,Allt,
Amended From,breytt Frá,
Amount,upphæð,
Approved,samþykkt,
Archive,Skjalasafn,
Archived,Eldri,
Assigned To,Úthlutað til,
Attachments,viðhengi,
Available,Laus,
Both,Báðir,
Brand,vörumerki,
Buying Price List,Kaupverðskrá,
CRM,CRM,
Canceled,Hætt við,
Cancelled,Hætt við,
Category,Flokkur,
Category Name,Flokkur Nafn,
Check,Athugaðu,
Client,viðskiptavinur,
Close,Loka,
Closed,lokað,
Color,Litur,
Comment,Athugasemd,
Comments,Comments,
Company,fyrirtæki,
Complete,Complete,
Completed,lokið,
Component,Component,
Condition,Ástand,
Contact,Viltu samband við,
Contact Email,Netfang tengiliðar,
Contact Phone,Hafðu samband við síma,
Conversion Rate,Viðskiptahlutfallsbil,
Create,Búa,
Created On,búið On,
Currency,Gjaldmiðill,
Current Status,Núverandi staða,
Custom,Custom,
Customer,Viðskiptavinur,
Customer ID,Skilríki viðskiptavinar,
Customer Name,Nafn viðskiptavinar,
Customer Type,Tegund viðskiptavina,
Data,gögn,
Date,Dagsetning,
Default,Sjálfgefið,
Default Item Group,Sjálfgefið Item Group,
Default Priority,Sjálfgefið forgang,
Default Value,sjálfgefna gildið,
Defaults,vanskil,
Delayed,seinkað,
Delivered,Afhent,
Depends On,Veltur á,
Description,Lýsing,
Desk,Desk,
Discount (%),Afsláttur (%),
Discount Amount,afsláttur Upphæð,
Discount Type,Tegund afsláttar,
Display,Sýna,
Document Name,Document Name,
Document Type,Document Type,
Draft,Drög,
Due Date,Skiladagur,
Duration,Lengd,
Email,Tölvupóstur,
Email Address,Netfang,
Error,villa,
Estimated Cost,Áætlaður kostnaður,
Expected End Date,Væntanlegur lokadagur,
Expected Start Date,Væntanlegur Start Date,
Expired,útrunnið,
Failed,mistókst,
Field Type,reitur Tegund,
First Name,Fyrsta nafn,
Float,Float,
From Date,frá Dagsetning,
Full Name,Fullt nafn,
Grand Total,Grand Total,
High,Hár,
Hold,haldið,
Hours,Klukkustundir,
Idx,IDX,
Images,myndir,
In Progress,Í vinnslu,
In Transit,Í flutningi,
Inactive,Óvirkt,
Inspected By,skoðað með,
Inspection Type,skoðun Type,
Int,Int,
Inventory,Skrá,
Is Active,er Active,
Is Group,Er hópur,
Issue,Mál,
Issued,Útgefið,
Item,Item,
Item Code,Item Code,
Item Name,Nafn hlutar,
Items,atriði,
Key,Key,
Keyboard Shortcuts,Flýtilyklar,
Lab Technician,Lab Tæknimaður,
Last Active,Síðast virk,
Last Name,Eftirnafn,
Location,Staðsetning,
Logs,logs,
Lost,Lost,
Low,Low,
Maintenance,Viðhald,
Manufacturer,Framleiðandi,
Medium,Medium,
Method,aðferð,
Model,Model,
Modified By,breytt By,
Name,heiti,
Naming Series,nafngiftir Series,
New,Nýtt,
Not permitted,Ekki leyfilegt,
Notes,Skýringar,
On Hold,Á bið,
Open,Open,
Operation,Operation,
Other,Annað,
Overdue,Tímabært,
Owner,eigandi,
Parameter,Parameter,
Parent Task,Foreldraverkefni,
Passed,Samþykkt,
Pending,Bíður,
Pending Review,Bíður Review,
Percent Complete,Hlutfall lokið,
Percentage,Hlutfall,
Phone,Sími,
Phone Number,Símanúmer,
Planning,áætlanagerð,
Portal,Portal,
Preview,Preview,
Primary,Primary,
Priority,Forgangur,
Progress,progress,
Purchase,Kaup,
Purchase Date,kaupdegi,
Purchase Order,Pöntun,
Purchase Receipt,Kvittun,
Qty,Magn,
Quantity,Magn,
Rate,Gefa,
Rating,einkunn,
Reason,Ástæðan,
Received,fékk,
Reference,Tilvísun,
Reference DocType,Tilvísun DocType,
Reference Doctype,Tilvísun DOCTYPE,
Reference Name,Tilvísunarnafn,
Rejected,hafnað,
Related,Tengdar,
Reload,endurhlaða,
Remarks,Athugasemdir,
Reopen,Enduropna,
Reset,endurstilla,
Resolve,Leystu,
Resolved,Leyst,
