API,API,
Accepted,Accettato,
Action,Azione,
Actions,Azioni,
Active,Attivo,
Actual Cost,Costo attuale,
Actual End Date,Data di fine effettiva,
Actual Start Date,Data inizio effettiva,
All,Tutti,
Amended From,Corretto da,
Amount,Importo,
Approved,Approvato,
Archive,Archivio,
Archived,Archiviato,
Assigned To,Assegnato a,
Attachments,Allegati,
Available,Disponibile,
Both,Entrambi,
Brand,Identità,
Buying Price List,Listino prezzi acquisto,
CRM,CRM,
Canceled,Annullato,
Cancelled,Annullato,
Category,Categoria,
Category Name,Nome Categoria,
Check,Dai un&#39;occhiata,
Client,Intestatario,
Close,Chiudi,
Closed,Chiuso,
Color,Colore,
Comment,Commento,
Comments,Commenti,
Company,Azienda,
Complete,Completare,
Completed,Completato,
Component,Componente,
Condition,Condizione,
Contact,Contatto,
Contact Email,Email Contatto,
Contact Phone,Contatto telefonico,
Conversion Rate,Tasso di conversione,
Create,Crea,
Created On,Creato Il,
Currency,Valuta,
Current Status,Stato Corrente,
Custom,Personalizzato,
Customer,Cliente,
Customer ID,identificativo del cliente,
Customer Name,Nome Cliente,
Customer Type,tipo di cliente,
Data,Dati,
Date,Data,
Default,Predefinito,
Default Item Group,Gruppo Articoli Predefinito,
Default Priority,Priorità predefinita,
Default Value,Valore Predefinito,
Defaults,Valori Predefiniti,
Delayed,Ritardato,
Delivered,consegnato,
Depends On,Dipende da,
Description,Descrizione,
Desk,Scrivania,
Discount (%),Sconto (%),
Discount Amount,Importo sconto,
Discount Type,Tipo di sconto,
Display,Visualizza,
Document Name,Nome Documento,
Document Type,tipo di documento,
Draft,Bozza,
Due Date,Data di scadenza,
Duration,Durata,
Email,E-mail,
Email Address,Indirizzo email,
Error,Errore,
Estimated Cost,Costo stimato,
Expected End Date,Data di chiusura prevista,
Expected Start Date,Data di inizio prevista,
Expired,Scaduto,
Failed,Fatta,
Field Type,Tipo di Campo,
First Name,Nome di battesimo,
Float,Float,
From Date,Da Data,
Full Name,Nome e Cognome,
Grand Total,Somma totale,
High,Alto,
Hold,Mantieni,
Hours,Ore,
Idx,Idx,
Images,Immagini,
In Progress,In corso,
In Transit,In transito,
Inactive,Inattivo,
Inspected By,Verifica a cura di,
Inspection Type,Tipo di ispezione,
Int,Int.,
Inventory,Inventario,
Is Active,È attivo,
Is Group,E' un Gruppo,
Issue,Problema,
Issued,Emesso,
Item,Articolo,
Item Code,Codice articolo,
Item Name,Nome dell&#39;elemento,
Items,Articoli,
Key,Chiave,
Keyboard Shortcuts,Tasti rapidi,
Lab Technician,Tecnico di laboratorio,
Last Active,Ultimo attivo,
Last Name,Cognome,
Location,Luogo,
Logs,Registri,
Lost,Perso,
Low,Basso,
Maintenance,Manutenzione,
Manufacturer,Produttore,
Medium,Media,
Method,Metodo,
Model,Modello,
Modified By,Modificato da,
Name,Nome,
Naming Series,Denominazione Serie,
New,Nuovo,
Not permitted,Non consentito,
Notes,Note,
OK,Ok.,
On Hold,In attesa,
Open,Aperto,
Operation,Operazione,
Other,Altro,
Overdue,in ritardo,
Overview,Panoramica,
Owner,Proprietario,
Parameter,Parametro,
Parent Task,Attività padre,
Passed,Superato,
Paused,In pausa,
Pending,In attesa,
Pending Review,In attesa di validazione,
Percent Complete,Percentuale completa,
Percentage,Percentuale,
Phone,Telefono,
Phone Number,Numero di telefono,
Planning,Pianificazione,
Portal,Portale,
Preview,Anteprima,
Primary,Primaria,
Priority,Priorità,
Progress,Progresso,
Purchase,Acquisti,
Purchase Date,Data di acquisto,
Purchase Order,Ordine d'Acquisto,
Purchase Receipt,Ricevuta di Acquisto,
Qty,Qtà,
Quantity,Quantità,
Rate,Prezzo,
Rating,Valutazione,
Reason,Motivo,
Received,Ricevuto,
Reference,Riferimento,
Reference DocType,Riferimento DocType,
Reference Doctype,Riferimento DocType,
Reference Name,nome di riferimento,
Rejected,Rifiutato,
Related,Collegamento,
Reload,Aggiorna,
Remarks,Osservazioni,
Reopen,Riaprire,
Repair,Ripara,
Reset,Reset,
Resolve,Risolvere,
Resolved,Risolto,
Restore,Ristabilire,
Rounded Total,Totale arrotondato,
SMS,sms,
Sales,Vendite,
Sales Manager,Sales Manager,
Sales User,Utente Vendite,
Scheduled,Pianificate,
Scheduled Date,Data prevista,
Section,Sezione,
Selling Price List,Listino prezzi di vendita,
Serial No,Serial No,
Session Defaults,Sessioni predefinite,
Settings,Impostazioni,
Setup,Setup,
Shipping,spedizione,
Signature,Firma,
Signed,Firmato,
Signed On,Firmato,
Small Text,Testo piccolo,
Sold,Venduto,
Source Warehouse,Magazzino di provenienza,
Standard,Standard,
Start,Inizio,
Status,Stato,
Stock Entry,Movimento di magazzino,
Stock UOM,UdM Giacenza,
Stop,Stop,
Student,Alunno,
Subject,Oggetto,
Submit,Conferma,
Submitted,Confermato,
Subtotal,Sub Totale,
Suspended,Sospeso,
System Manager,System Manager,
Target,Destinazione,
Task,Attività,
Task Description,Descrizione del compito,
Task Name,Nome Attività,
Task Type,Tipo di attività,
Tasks,Attività,
Template Name,Nome modello,
Terms,Termini,
Text,Testo,
Timeline,Sequenza temporale,
Timestamp,Timestamp,
Title,Titolo,
To Date,A Data,
Tools,Strumenti,
Total Cost,Costo totale,
Totals,Totali,
Type,Tipo,
UOM,Unità di misura,
Unit,Unità,
Unknown,Sconosciuto,
Unverified,Non verificato,
