A,ツイート,
A Clarinet,クラリネット,
API,API,
Acceptance Source,受諾の源,
Acceptance Status,受諾ステータス,
Accepted,承認済,
Accepted By,受け入れられる,
Accepted On,受付中,
Accessories & Included Parts,付属品及び含まれている パーツ,
Accessory,アクセサリー,
Accessory ID,アクセサリーID,
Accounts User,会計ユーザー,
Acquired Date,取得日,
Acquisition Cost,取得コスト,
Acquisition Source,取得ソース,
Acquisition Type,取得タイプ,
Action,アクション,
Action By,アクションバイ,
Actions,アクション,
Activate,アクティブ化,
Active,アクティブ,
Actual Cost,実費,
Actual End,実際の終了,
Actual End Date,実際の終了日,
Actual Materials Cost,実際の材料費,
Actual Start,実際のスタート,
Actual Start Date,実際の開始日,
Actual date when setup work started.,セットアップ作業開始日,
Actual date when setup work was completed.,セットアップ作業が完了した日付,
Actual materials cost incurred for this setup project.,このセットアッププロジェクトに発生する実際の材料費。,
Actual total cost incurred for this setup project.,このセットアッププロジェクトで発生する実際の総費用。,
"Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.",上級:カウントがオフの場合のみ調整します。 ほとんどの場合、以下のmmからオートピクセル半径をデフォルトのままにして使用してください。,
Affiliation / Organization,所属機関・団体,
All,すべて,
All instrument details live on Instrument,器械の細部はすべてに住んでいます,
Allow Anonymized Sharing,匿名化された共有を許可する,
Amended From,修正元,
Amount,額,
Approved,承認済,
Approved At,公認会計士,
Approved Count,承認された計算,
ArUco Dictionary,ArUco辞書,
Archive,アーカイブ,
Archived,アーカイブ,
As stamped/engraved/printed on the instrument,器械で押された/刻まれた/印刷される,
Assigned Technician,技師の割り当て,
Assigned To,割当先,
Associated pad map record for reference while performing the setup.,セットアップをしている間参照のための関連したパッドの地図の記録。,
At,お問い合わせ,
Attachments,添付,
Audio/Video Demos,オーディオ/ビデオデモ,
Auto Pixel Radius From mm,mm からの自動ピクセル半径,
Auto count from image processing. Always verify against the Processed Preview before approving.,画像処理による自動カウント 承認する前に、プロセスされたプレビューに対して常に検証します。,
Auto quality gate. Unchecked means blur/lighting/perspective are sub‑optimal—consider retaking the photo.,自動質のゲート。 チェックを外すと、ブラー/ライト/パースペクティブがサブオプチャルで、写真を取り戻すコンサイダーです。,
Auto-create Clarinet Initial Setup,自動作成 クラリネット初期設定,
Auto-synced from Instrument.current_status,自動同期 計測器.current_status,
Auto-synced from Instrument.instrument_type or clarinet_type,Instrument.instrument_type または clarinet_type から自動同期,
Automatically generated unique Instrument ID,自動的に生成された独特な器械ID,
Automatically generated unique Instrument Profile ID,自動的に生成された独特な器械のプロフィールID,
Automation & Behavior,オートメーションと行動,
Auto‑generated overlay showing detected pads. Review the green circles to confirm the count before approval.,検出されたパッドを示す自動生成されたオーバーレイ。 承認前のカウントを確認するために緑の円を確認します。,
Available,利用可,
Awaiting Payment,お支払いをお待ちしています,
Barcode / QR,バーコード/QR,
Barcode Scan Entry,バーコードスキャンエントリー,
Barrel,バレル,
Basic Information,基本情報,
Benchmark / Target,ベンチマーク/ターゲット,
Body Material,ボディ材料,
Bore Inspection Notes,穴の点検ノート,
Bore Measurement (mm),穴の測定(mm),
Bore Style,穴様式,
Bore Type / Size,穴のタイプ/サイズ,
Bore Visual Condition,Boreの視覚状態,
Bore Ø (mm),穴 Ø (mm),
Bottom Joint Pads,ボトムジョイントパッド,
Brand,ブランド,
Brand Mapping Rules,ブランドマッピング規則,
Brand Model • Serial,ブランド モデル • シリアル,
Buying Price List,購入価格リスト,
By,によって,
B♭,バックナンバー,
B♭ Clarinet,クラリネット,
C,ツイート,
Calibrated By,カリブレーション,
Calibration Date,校正日,
Cancel,キャンセル,
Canceled,キャンセル,
Cancelled,キャンセル,
Canny high threshold for Hough pre‑processing. Raise to reduce noise; lower to detect faint edges.,十分な事前処理のためのキャニーの高いしきい値。 ノイズを低減する。 薄いエッジを検出するために下がります。,
Category,カテゴリー,
Category Name,カテゴリ名,
Check,チェック,
Check if all items pass QA and no critical issues remain.,すべての項目がQAを通過し、重要な問題が残らないかどうかを確認してください。,
Check if this tool requires periodic calibration.,このツールが定期的な校正を必要とするかどうかを確認してください。,
Checklist,チェックリスト,
Checklist Item,チェックリスト項目,
Checklist Items,チェックリスト アイテム,
"Checklist rows to pre-populate into Clarinet Initial Setup → Checklist (e.g., safety check, leak test).",チェックリストの行は、クラリネット初期設定→チェックリスト(例、安全チェック、漏れテスト)に事前に入力します。,
Child table storing predecessor tasks (dependencies) for a Clarinet Setup Task. Each row links to another task that must be Completed before the current task can proceed.,クラリネットセットアップタスク(依存関係)を格納する子テーブル。 各行は、現在のタスクが進む前に完了しなければならない別のタスクへのリンクをリンクします。,
Child table storing template-level task dependencies. Each row references another template task by sequence number that must be completed before the current template task can proceed.,テンプレートレベルのタスク依存関係を格納する子テーブル。 各行は、現在のテンプレートタスクが進む前に完了しなければならないシーケンス番号で別のテンプレートタスクを参照します。,
Child table that defines task templates within a Setup Template. Each row generates a real Clarinet Setup Task with expected schedule and priority when applied to a Clarinet Initial Setup.,セットアップテンプレート内でタスクテンプレートを定義する子テーブル。 各行は、Clarinet 初期設定に適用される予定と優先して、実際の Clarinet セットアップ タスクを生成します。,
"Child table used to record materials consumed during clarinet setup/repair. Each row captures item, quantity, unit, rate, and extended amount for costing and documentation.",クラリネットのセットアップ/修理の間に消費される材料を記録するのに使用される子供テーブル。 各行はアイテム、数量、単位、レート、およびコストとドキュメントの拡張量をキャプチャします。,
"Choose how stock should be adjusted: Increase (Material Receipt), Decrease (Material Issue), or No Change (for review only).","株式の調整方法を選択してください: 増加 (マテリアルレシート), 減少 (マテリアルの問題), または変更なし (レビューのみ).",
Clarinet Initial Setup,クラリネット初期設定,
Clarinet Intake,クラリネットインテーク,
Clarinet Model,クラリネットモデル,
Clarinet Pad Map,クラリネットパッドマップ,
Clarinet Setup Log,クラリネットセットアップログ,
Clarinet Setup Task,クラリネットセットアップタスク,
Client,クライアント,
Client Instrument Profile,顧客の器械のプロフィール,
Client Repair Preferences,クライアントの修理環境,
Close,閉じる,
Closed,クローズ,
Color,色,
Comment,コメント,
Comments,コメント,
Communication Preference,コミュニケーション環境,
Company,会社,
Company owning the selected Warehouse. Filled automatically.,選定倉庫を所有する会社 自動的に満たされて下さい。,
Complete,完了,
Completed,完了,
Component,成分,
"Component Ref (Tone Hole, Key, etc.)",コンポーネント Ref(トーンホール、キーなど),
Condition,条件,
Condition & Inspection,条件及び点検,
Condition / Finding,条件/発見,
Condition Images,条件イメージ,
Condition Logs,条件ログ,
Condition Notes,条件のノート,
Consent Content,一貫したコンテンツ,
Consent Form,一貫した形態,
Consent Log,一貫性のあるログ,
Consent Template,一貫性のあるテンプレート,
Consent Type,一貫したタイプ,
Contact,連絡先,
Contact Email,連絡先 メール,
Contact Phone,電話番号,
Controlled Environment Confirmed,制御された環境 確認される,
Conversion Rate,変換速度,
Cork Condition,コルク条件,
Count Logs,カウントログ,
Created From,作成から,
Created On,作成,
Created To,作成する,
Currency,通貨,
Current Accessories Log,現在の付属品 ログイン,
Current Location,現在の場所,
Current Status,現在のステータス,
Current lifecycle state of the tool. Managed by workflow automation.,ツールの現在のライフサイクル状態。 ワークフローの自動化で管理,
Current state of the task within the setup workflow.,セットアップワークフロー内のタスクの現在の状態。,
Current status of this setup project.,このセットアッププロジェクトの現状,
Current workflow state of this service plan. Managed by workflow automation.,このサービスプランの現在のワークフロー状態。 ワークフローの自動化で管理,
