API,API,
Accepted,បានទទួលយក,
Action,សកម្មភាព,
Actions,ការប្រព្រឹត្ដ,
Active,សកម្ម,
Actual Cost,ការចំណាយជាក់ស្តែង។,
Actual End Date,ជាក់ស្តែកាលបរិច្ឆេទបញ្ចប់,
Actual Start Date,កាលបរិច្ឆេទពិតប្រាកដចាប់ផ្តើម,
All,ទាំងអស់,
Amended From,ធ្វើវិសោធនកម្មពី,
Amount,ចំនួនទឹកប្រាក់,
Approved,បានអនុម័ត,
Archive,បណ្ណសារ,
Archived,ទុកក្នុងប័ណ្ណសារ,
Assigned To,បានផ្ដល់តម្លៃទៅ,
Attachments,ឯកសារភ្ជាប់,
Available,ដែលអាចប្រើបាន,
Both,ទាំងពីរ,
Brand,ម៉ាក,
Buying Price List,ការទិញបញ្ជីតំលៃ,
CRM,CRM,
Canceled,បោះបង់។,
Cancelled,បានកាត់បន្ថយ,
Category,ប្រភេទ,
Category Name,ប្រភេទឈ្មោះ,
Check,ពិនិត្យ,
Client,ម៉ាស៊ីនភ្ញៀវ,
Close,បិទការ,
Closed,បានបិទ,
Color,ពណ៌,
Comment,វិចារ,
Comments,យោបល់,
Company,ក្រុមហ៊ុន,
Complete,ពេញលេញ,
Completed,បានបញ្ចប់,
Component,សមាសភាគ,
Condition,លក្ខខណ្ឌ,
Contact,ការទំនាក់ទំនង,
Contact Email,ទំនាក់ទំនងតាមអ៊ីមែល,
Contact Phone,ទូរស័ព្ទទំនាក់ទំនង។,
Conversion Rate,អត្រាការប្រែចិត្តជឿ,
Create,បង្កើត,
Created On,បង្កើតនៅ,
Currency,រូបិយប័ណ្ណ,
Current Status,ស្ថានភាពបច្ចុប្បន្ន,
Custom,ផ្ទាល់ខ្លួន,
Customer,អតិថិជន,
Customer ID,លេខសម្គាល់អតិថិជន,
Customer Name,ឈ្មោះអតិថិជន,
Customer Type,ប្រភេទអតិថិជន,
Data,ទិន្នន័យដែលបាន,
Date,កាលបរិច្ឆេទ,
Default,លំនាំដើម,
Default Item Group,លំនាំដើមក្រុមមុខទំនិញ,
Default Priority,អាទិភាពលំនាំដើម។,
Default Value,តម្លៃលំនាំដើម,
Defaults,លំនាំដើម,
Delayed,បានពន្យាពេល,
Delivered,បានបញ្ជូន,
Depends On,អាស្រ័យទៅលើ,
Description,ការពិពណ៌នាសង្ខេប,
Desk,តុ,
Discount (%),បញ្ចុះតម្លៃ (%),
Discount Amount,ចំនួនការបញ្ចុះតំលៃ,
Discount Type,ប្រភេទបញ្ចុះតំលៃ។,
Display,អេក្រង់បង្ហាញ,
Document Name,ឈ្មោះឯកសារ,
Document Type,ប្រភេទឯកសារ,
Draft,សេចក្តីព្រាង,
Due Date,កាលបរិច្ឆេទដល់កំណត់,
Duration,រយៈពេល,
Email,អេមមីល,
Email Address,អាស័យដ្ឋានអ៊ីម៉េល,
Error,កំហុសក្នុងការ,
Estimated Cost,តំលៃ,
Expected End Date,គេរំពឹងថានឹងកាលបរិច្ឆេទបញ្ចប់,
Expected Start Date,គេរំពឹងថានឹងចាប់ផ្តើមកាលបរិច្ឆេទ,
Expired,ផុតកំណត់,
Failed,បានបរាជ័យ,
Field Type,ប្រភេទវាល,
First Name,ឈ្មោះជាលើកដំបូង,
Float,ទសភាគ,
From Date,ពីកាលបរិច្ឆេទ,
Full Name,ឈ្មោះពេញ,
Grand Total,តំលៃបូកសរុប,
High,ឧត្តម,
Hold,សង្កត់,
Hours,ម៉ោង,
Idx,Idx,
Images,រូបភាព,
In Progress,កំពុងដំណើរការ,
In Transit,នៅក្នុងដំណើរឆ្លងកាត់។,
Inactive,អសកម្ម,
Inspected By,បានត្រួតពិនិត្យដោយ,
Inspection Type,ប្រភេទអធិការកិច្ច,
Int,int,
Inventory,សារពើភ័ណ្ឌ,
Is Active,គឺជាសកម្ម,
Is Group,គឺជាក្រុម,
Issue,បញ្ហា,
Issued,ចេញផ្សាយ,
Item,ធាតុ,
Item Code,ក្រមធាតុ,
Item Name,ឈ្មោះធាតុ,
Items,មុខទំនិញ,
