A,·,
A Clarinet,클라리넷,
API,API,
Acceptance Source,회사연혁,
Acceptance Status,합격 상태,
Accepted,허용,
Accepted By,에 의해,
Accepted On,자주 묻는 질문,
Accessories & Included Parts,부속품 & 포함 부품 번호,
Accessory,관련 기사,
Accessory ID,액세서리 ID,
Accounts User,회계시용자,
Acquired Date,인증현황,
Acquisition Cost,취득비용,
Acquisition Source,관련 자료,
Acquisition Type,공급 유형,
Action,수행,
Action By,행동으로,
Actions,팟캐스트,
Activate,이름 *,
Active,활성화,
Actual Cost,실제 비용,
Actual End,실제 끝,
Actual End Date,실제 종료 날짜,
Actual Materials Cost,실제 재료 비용,
Actual Start,실제 시작,
Actual Start Date,실제 시작 날짜,
Actual date when setup work started.,설정이 시작될 때 실제 날짜.,
Actual date when setup work was completed.,설정 작업이 완료되면 실제 날짜.,
Actual materials cost incurred for this setup project.,이 설정 프로젝트에 대해 실제 재료 비용.,
Actual total cost incurred for this setup project.,이 설정 프로젝트에 대한 실제 총 비용.,
"Advanced: tweak only if counts are off. For most cases, leave defaults or use Auto Pixel Radius from mm below.","고급 : 카운트가 꺼지면 tweak 만. 대부분의 경우, 기본을 떠나거나 아래 mm에서 Auto Pixel Radius를 사용하십시오.",
Affiliation / Organization,Affiliation / 조직,
All,모두,
All instrument details live on Instrument,모든 악기 세부 사항 악기에 살고,
Allow Anonymized Sharing,익명화 공유,
Amended From,개정,
Amount,양,
Approved,인가 된,
Approved At,관련 기사,
Approved Count,승인된 조사,
ArUco Dictionary,ArUco 사전,
Archive,아카이브,
Archived,보관,
As stamped/engraved/printed on the instrument,계기에 각인된/주조되는/printed로,
Assigned Technician,기술 지원,
Assigned To,담당자,
Associated pad map record for reference while performing the setup.,설정 실행을 수행하는 동안 참조에 대한 준거 된 패드 맵 레코드.,
At,으로,
Attachments,첨부,
Audio/Video Demos,Audio/Video 데모,
Auto Pixel Radius From mm,자동 화소 반경 mm에서,
Auto count from image processing. Always verify against the Processed Preview before approving.,이미지 처리에서 자동 조사. 항상 approving 전에 Processed Preview에 대해 확인합니다.,
