API,API,
Accepted,ຮັບການຍອມຮັບ,
Action,ການປະຕິບັດ,
Actions,ການກະທໍາ,
Active,ການເຄື່ອນໄຫວ,
Actual Cost,ຄ່າໃຊ້ຈ່າຍຕົວຈິງ,
Actual End Date,ຕົວຈິງວັນທີ່ສິ້ນສຸດ,
Actual Start Date,ຕົວຈິງວັນທີ່,
All,ທັງ ໝົດ,
Amended From,ສະບັບປັບປຸງຈາກ,
Amount,ຈໍານວນ,
Approved,ການອະນຸມັດ,
Archive,Archive,
Archived,ທີ່ຜ່ານມາ,
Assigned To,ການມອບຫມາຍໃຫ້,
Attachments,ໄຟລ໌ແນບ,
Available,ສາມາດໃຊ້ໄດ້,
Both,ທັງສອງ,
Brand,ຍີ່ຫໍ້,
Buying Price List,ຊື້ລາຄາລາຍະການ,
CRM,CRM,
Canceled,ຍົກເລີກ,
Cancelled,ຫຼຸດລົງ,
Category,ປະເພດ,
Category Name,ປະເພດຂອງຊື່,
Check,ກວດເບິ່ງ,
Client,ລູກຄ້າ,
Close,ປິດ,
Closed,ປິດ,
Color,ສີ,
Comment,ຄຳ ເຫັນ,
Comments,ຄວາມຄິດເຫັນ,
Company,ບໍລິສັດ,
Complete,ສົມບູນ,
Completed,ສໍາເລັດ,
Component,ອົງປະກອບ,
Condition,ສະພາບ,
Contact,ການຕິດຕໍ່,
Contact Email,ການຕິດຕໍ່,
Contact Phone,ໂທລະສັບຕິດຕໍ່,
Conversion Rate,ອັດຕາການປ່ຽນແປງ,
Create,ສ້າງ,
Created On,ຂຽນເມື່ອຫລາຍກ່ຽວກັບ,
Currency,ສະກຸນເງິນ,
Current Status,ສະຖານະພາບໃນປັດຈຸບັນ,
Custom,Custom,
Customer,ລູກຄ້າ,
Customer ID,ບັດປະ ຈຳ ຕົວຂອງລູກຄ້າ,
Customer Name,ຊື່ຂອງລູກຄ້າ,
Customer Type,ປະເພດລູກຄ້າ,
Data,ຂໍ້ມູນ,
Date,ວັນທີ່ສະຫມັກ,
Default,ມາດຕະຖານ,
Default Item Group,ກຸ່ມສິນຄ້າມາດຕະຖານ,
Default Priority,ບູລິມະສິດໃນຕອນຕົ້ນ,
Default Value,ຄ່າເລີ່ມຕົ້ນ,
Defaults,ຄ່າເລີ່ມຕົ້ນ,
Delayed,ຊັກຊ້າ,
Delivered,ສົ່ງ,
Depends On,ຂຶ້ນກັບ,
Description,ລາຍລະອຽດ,
Desk,desk,
Discount (%),ຫຼຸດລາຄາ (%),
Discount Amount,ຈໍານວນສ່ວນລົດ,
Discount Type,ປະເພດຫຼຸດລາຄາ,
Display,ການສະແດງ,
Document Name,ຊື່ເອກະສານ,
Document Type,ປະເພດເອກະສານ,
Draft,Draft,
Due Date,ວັນຄົບກໍານົດ,
Duration,ໄລຍະເວລາ,
Email,ອີເມລ,
Email Address,ທີ່ຢູ່ອີເມວ,
Error,Error,
Estimated Cost,ຕົ້ນທຶນຄາດຄະເນ,
Expected End Date,ຄາດວ່າສິ້ນສຸດວັນທີ່,
Expected Start Date,ຄາດວ່າຈະເລີ່ມວັນທີ່,
Expired,ຫມົດອາຍຸແລ້ວ,
Failed,ສົບຜົນສໍາເລັດ,
Field Type,ປະເພດພາກສະຫນາມ,
First Name,ຊື່ແທ້,
Float,ເລື່ອນ,
From Date,ຈາກວັນທີ່,
Full Name,ຊື່ເຕັມ,
Grand Total,ລວມທັງຫມົດ,
High,ສູງ,
Hold,ຖື,
Hours,ຊົ່ວໂມງ,
Idx,Idx,
Images,ຮູບພາບ,
In Progress,ໃນຄວາມຄືບຫນ້າ,
In Transit,ໃນການຂົນສົ່ງ,
Inactive,Inactive,
Inspected By,ການກວດກາໂດຍ,
Inspection Type,ປະເພດການກວດກາ,
Int,Int,
Inventory,ສິນຄ້າຄົງຄັງ,
Is Active,ເປັນກິດຈະກໍາ,
Is Group,ກຸ່ມດັ່ງກ່າວແມ່ນ,
Issue,ບັນຫາ,
Issued,ອອກ,
Item,ລາຍການ,
Item Code,ລະຫັດສິນຄ້າ,
Item Name,ຊື່ສິນຄ້າ,
Items,ລາຍການ,
Key,ທີ່ສໍາຄັນ,
Keyboard Shortcuts,ຄີບອດ,
Lab Technician,Lab Technician,
Last Active,ໃຊ້ວຽກຫຼ້າສຸດ,
Last Name,ນາມສະກຸນ,
Location,ສະຖານທີ່,
Logs,ຂໍ້ມູນບັນທຶກ,
Lost,ການສູນເສຍ,
Low,ຕ່ໍາ,
Maintenance,ບໍາລຸງຮັກສາ,
Manufacturer,ຜູ້ຜະລິດ,
Medium,ຂະຫນາດກາງ,
Method,ວິທີການ,
Model,ຮູບແບບ,
Modified By,ຖືກແກ້ໄຂໂດຍ,
Name,ຊື່,
Naming Series,ການຕັ້ງຊື່ Series,
New,ໃຫມ່,
Not permitted,ບໍ່ອະນຸຍາດ,
Notes,ອ່ືນ,
On Hold,On Hold,
Open,ເປີດ,
Operation,ການດໍາເນີນງານ,
Other,ອື່ນ ໆ,
Overdue,ຄ້າງຊໍາລະ,
Owner,ເຈົ້າຂອງ,
Parameter,ພາລາມິເຕີ,
Parent Task,Task Parent,
Passed,ຜ່ານໄປ,
Pending,ທີ່ຍັງຄ້າງ,
