API,API,
Accepted,Прифатени,
Accounts User,Кориснички сметки,
Action,Акција,
Actions,Активности,
Active,Активен,
Actual Cost,Вистинска цена,
Actual End Date,Крај Крај Датум,
Actual Start Date,Старт на проектот Датум,
All,Сите,
Amended From,Изменет Од,
Amount,Износ,
Approved,Одобрени,
Archive,Архива,
Archived,Архивирани,
Assigned To,Доделени,
Attachments,Додатоци,
Available,Достапни,
Brand,Бренд,
Buying Price List,Купување на ценовник,
Cancel,Откажи,
Canceled,Откажано,
Cancelled,Откажано,
Category,Категорија,
Category Name,Име на категоријата,
Check,Провери,
Client,Клиентот,
Close,Затвори,
Closed,Затвори,
Color,Боја,
Comment,Коментар,
Comments,Коментари,
Company,Компанијата,
Complete,Заврши,
Completed,Завршено,
Component,компонента,
Condition,Состојба,
Contact,Контакт,
Contact Email,Контакт E-mail,
Contact Phone,Контакт телефон,
Conversion Rate,конверзии,
Created On,Креирано на,
Currency,Валута,
Current Status,Моментален статус,
Custom,Прилагодено,
Customer,Клиент,
Customer ID,ID на клиент,
Customer Name,Име на Клиент,
Customer Type,Вид на купувач,
Data,Податоци,
Date,Датум,
Default,Стандардно,
Default Company,Стандардно компанијата,
Default Item Group,Стандардно Точка група,
Default Priority,Стандарден приоритет,
Default Source Warehouse,Стандардно Извор Магацински,
Default Value,Основна вредност,
Defaults,Стандардни,
Delayed,Одложен,
Delivered,Дадени,
Depends On,Зависи,
Description,Опис,
Desk,Биро,
Discount (%),Попуст (%),
Discount Amount,Износ попуст,
Discount Type,Тип на попуст,
Document Name,Документ Име,
Document Type,Тип на документ,
Draft,Нацрт,
Due Date,Поради Датум,
Email,Е-пошта,
Email Address,И-мејл адреса,
Enabled,Овозможено,
Error,Грешка,
Estimated Cost,Проценетите трошоци,
Expected End Date,Се очекува Крај Датум,
Expected Start Date,Се очекува Почеток Датум,
Expired,Истечен,
Failed,Не успеа,
Field Type,Тип поле,
First Name,Име,
Float,Носете,
From Date,Од Датум,
Full Name,Целосно име,
Grand Total,Сѐ Вкупно,
Hidden,скриени,
High,Високо,
Hold,Задржете,
Hours,Часови,
Idx,IDX,
In List View,Во List View,
In Progress,Во тек,
In Transit,Во транзит,
Inactive,Неактивен,
Inspected By,Прегледано од страна на,
Inspection Type,Тип на инспекцијата,
Int,Int,
Inventory,Инвентар,
Is Active,Е активен,
Is Group,Е група,
Issue,Прашање,
Issued,Издадени,
Item,Точка,
Item Code,Точка законик,
Item Name,Име на предметот,
Items,Теми,
Key,Клучни,
Keyboard Shortcuts,Кратенки на тастатурата,
Lab Technician,Лаборант,
Last Active,Последно активен,
Last Name,Презиме,
Location,Локација,
Logs,Логови,
Lost,Си ја заборавивте,
Low,Ниски,
Maintenance,Одржување,
Manufacturer,Производител,
Mappings,Мапингс,
Medium,Медиум,
Method,Метод,
Model,Модел,
Modified By,Изменето од,
Name,Име,
Naming Series,Именување Серија,
New,Ново,
Notes,Белешки,
On Hold,На чекање,
Open,Отворен,
Operation,Работа,
Other,Други,
Overdue,Задоцнета,
Owner,Сопственикот,
Parameter,Параметар,
Parent Task,Родителска задача,
Passed,Помина,
Pending,Во очекување,
Pending Review,Во очекување Преглед,
Percent Complete,Процент е комплетен,
Percentage,Процент,
Phone,Телефон,
Phone Number,Телефонски број,
Planning,Планирање,
Portal,Порталот,
Posting Date,Датум на објавување,
Priority,Приоритет,
Progress,напредок,
Purchase,Купување,
Purchase Date,Дата на продажба,
Purchase Order,Нарачката,
Purchase Receipt,Купување Потврда,
Qty,Количина,
Quantity,Кол,
Rate,Цена,
Rating,Рејтинг,
Read Only,Само за читање,
Reason,Причината,
Received,Доби,
Reference,Референтен,
Reference DocType,Референтен DocType,
Reference Doctype,Референтен DOCTYPE,
Reference Name,Име на референца,
Rejected,Одбиени,
Reload,Вчитај ја страната повторно,
Remarks,Забелешки,
Reopen,Повторно отворање,
Resolve,Реши,
Resolved,Решено,
Restore,Враќање,
Rounded Total,Вкупно заокружено,
SMS,порака,
Sales,Продажба,
Sales Manager,Менаџер за продажба,
Sales User,Продажбата пристап,
Scheduled,Закажана,
Scheduled Date,Закажаниот датум,
Section,Дел,
Selling Price List,Продажба на ценовник,
Serial No,Сериски Не,
Session Defaults,Сесија стандардно,
Setup,Подесување,
Shipping,Испорака,
Signature,Потпис,
Signed,Потпишан,
Signed On,Потпишан на,
Small Text,Мал текст,
Sold,продаден,
Source DocType,Извор DocType,
Source Warehouse,Извор Магацински,
Standard,Стандард,
Start,Почеток,
Status,Статус,
Stock Entry,Акции Влегување,
Stock UOM,Акции UOM,
Student,Студент,
Subject,Предмет,
Submit,Поднесе,
Submitted,Поднесени,
Subtotal,субтотална,
Suspended,Суспендирани,
System Manager,Систем за менаџер,
Task,Задача,
Task Description,Опис на задачата,
Task Name,Име на задачата,
Task Type,Тип на задача,
Tasks,Задачи,
Template Name,шаблон Име,
Terms,Услови,
Text,Текст,
Timestamp,Временска ознака,
Title,Наслов,
To Date,Датум,
Tools,Алатки,
Total Cost,Вкупно Трошоци,
Totals,Вкупни вредности,
Type,Тип,
UOM,UOM,
Unit,Единица,
Unknown,Непознат,
Unverified,Непроверено,
Urgent,Итно,
Valid From,Важи од,
Valid Till,Валидно до,
Valid Upto,Важи до,
Valuation Rate,Вреднување стапка,
Value,Вредност,
Verification,Верификација,
Verified By,Заверена од,
Version,Верзија,
View Website,Преглед на веб-страница,
Warehouse,Магацин,
Warranty,Гаранција,
Workflow State,Работното држава,
Working,Работната,
