API,API,
Accepted,स्वीकारले,
Accounts User,वापरकर्ता खाती,
Action,क्रिया,
Actions,क्रिया,
Active,सक्रिय,
Actual Cost,वास्तविक किंमत,
Actual End Date,वास्तविक अंतिम तारीख,
Actual Start Date,वास्तविक प्रारंभ तारीख,
All,सर्व,
Amended From,पासून दुरुस्ती,
Amount,रक्कम,
Approved,मंजूर,
Archive,संग्रहण,
Archived,संग्रहित,
Assigned To,नियुक्त,
Attachments,संलग्नक,
Available,उपलब्ध,
Brand,ब्रँड,
Buying Price List,खरेदी किंमत सूची,
Cancel,रद्द करा,
Canceled,रद्द केले,
Cancelled,रद्द केले,
Category,वर्ग,
Category Name,वर्गवारी नाव,
Check,तपासा,
Client,क्लायंट,
Close,बंद करा,
Closed,बंद,
Color,रंग,
Comment,टिप्पणी,
Comments,टिप्पण्या,
Company,कंपनी,
Complete,पूर्ण,
Completed,पूर्ण,
Component,घटक,
Condition,अट,
Contact,संपर्क,
Contact Email,संपर्क ईमेल,
Contact Phone,संपर्क फोन,
Conversion Rate,रूपांतरण दर,
Created On,तयार,
Currency,चलन,
Current Status,सद्य स्थिती,
Custom,सानुकूल,
Customer,ग्राहक,
Customer ID,ग्राहक आयडी,
Customer Name,ग्राहक नाव,
Customer Type,ग्राहक प्रकार,
Data,डेटा,
Date,तारीख,
Default,मुलभूत,
Default Company,मुलभूत कंपनी,
Default Item Group,मुलभूत आयटम गट,
Default Priority,डीफॉल्ट अग्रक्रम,
Default Source Warehouse,मुलभूत स्रोत कोठार,
Default Value,डीफॉल्ट मूल्य,
Defaults,मुलभूत,
Delayed,विलंब,
Delivered,वितरित केले,
Depends On,अवलंबून असते,
Description,वर्णन,
Desk,डेस्क,
Discount (%),सवलत (%),
Discount Amount,सवलत रक्कम,
Discount Type,सवलतीच्या प्रकार,
Document Name,दस्तऐवज नाव,
Document Type,दस्तऐवज प्रकार,
Draft,मसुदा,
Due Date,देय तारीख,
Email,ई-मेल,
Email Address,ईमेल पत्ता,
Enabled,सक्षम,
Error,त्रुटी,
Estimated Cost,अंदाजे खर्च,
Expected End Date,अपेक्षित शेवटची तारीख,
Expected Start Date,अपेक्षित प्रारंभ तारीख,
Expired,कालबाह्य,
Failed,अयशस्वी,
Field Type,फील्ड प्रकार,
First Name,प्रथम नाव,
Float,फ्लोट,
From Date,तारखेपासून,
Full Name,पूर्ण नाव,
Grand Total,एकूण,
Hidden,लपवलेले,
High,उच्च,
Hold,धरा,
Hours,तास,
Idx,Idx,
In List View,सूची पहा,
In Progress,प्रगतीपथावर,
In Transit,पारगमन मध्ये,
Inactive,निष्क्रिय,
Inspected By,करून पाहणी केली,
Inspection Type,तपासणी प्रकार,
Int,Int,
Inventory,सूची,
Is Active,सक्रिय आहे,
Is Group,गट आहे,
Issue,अंक,
Issued,जारी,
Item,आयटम,
Item Code,आयटम कोड,
Item Name,आयटम नाव,
Items,आयटम,
Key,की,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Lab Technician,लॅब तंत्रज्ञ,
Last Active,सक्रिय गेल्या,
Last Name,गेल्या नाव,
Location,स्थान,
Logs,नोंदी,
Lost,गमावले,
Low,कमी,
Maintenance,देखभाल,
Manufacturer,निर्माता,
Mappings,मॅपिंग,
Medium,मध्यम,
Method,पद्धत,
Model,मॉडेल,
Modified By,सुधारित केलेल्या,
Name,नाव,
Naming Series,नामांकन मालिका,
New,नवीन,
Notes,नोट्स,
On Hold,होल्ड वर,
Open,ओपन,
Operation,ऑपरेशन,
Other,इतर,
Overdue,मुदत संपलेला,
Owner,मालक,
Parameter,मापदंड,
Parent Task,पालक कार्य,
Passed,उत्तीर्ण,
Pending,प्रलंबित,
Pending Review,प्रलंबित पुनरावलोकन,
Percent Complete,पूर्ण टक्के,
Percentage,टक्केवारी,
Phone,फोन,
Phone Number,फोन नंबर,
Planning,नियोजन,
Portal,पोर्टल,
Posting Date,पोस्टिंग तारीख,
Priority,प्राधान्य,
Progress,प्रगती,
Purchase,खरेदी,
Purchase Date,खरेदी दिनांक,
Purchase Order,खरेदी ऑर्डर,
Purchase Receipt,खरेदी पावती,
Qty,Qty,
Quantity,प्रमाण,
Rate,दर,
Rating,रेटिंग,
Read Only,केवळ वाचनीय,
Reason,कारण,
Received,प्राप्त,
Reference,संदर्भ,
Reference DocType,संदर्भ डॉकटाइप,
Reference Doctype,संदर्भ DocType,
Reference Name,संदर्भ नाव,
Rejected,नाकारल्याचे,
Reload,रीलोड करा,
Remarks,शेरा,
Reopen,पुन्हा उघडा,
Resolve,निराकरण करा,
Resolved,निराकरण केले,
Restore,पुनर्संचयित करा,
Rounded Total,गोळाबेरीज एकूण,
SMS,एसएमएस,
Sales,विक्री,
Sales Manager,विक्री व्यवस्थापक,
Sales User,विक्री सदस्य,
Scheduled,अनुसूचित,
Scheduled Date,अनुसूचित तारीख,
Section,विभाग,
Selling Price List,किंमत सूची विक्री,
Serial No,सिरियल नाही,
Session Defaults,सत्र डीफॉल्ट,
Setup,सेटअप,
Shipping,शिपिंग,
Signature,स्वाक्षरी,
Signed,स्वाक्षरी,
Signed On,साइन इन केले,
Small Text,लहान मजकूर,
Sold,विक्री,
Source DocType,स्रोत डॉकप्रकार,
Source Warehouse,स्त्रोत कोठार,
Standard,मानक,
Start,प्रारंभ,
Status,स्थिती,
Stock Entry,शेअर प्रवेश,
Stock UOM,शेअर UOM,
Student,विद्यार्थी,
Subject,विषय,
Submit,सादर करा,
Submitted,सबमिट,
Subtotal,एकूण,
Suspended,निलंबित,
System Manager,प्रणाली व्यवस्थापक,
Task,कार्य,
Task Description,कार्य वर्णन,
Task Name,कार्य नाव,
Task Type,कार्य प्रकार,
Tasks,कार्ये,
Template Name,साचा नाव,
Terms,अटी,
Text,मजकूर,
Timestamp,शिक्का,
Title,शीर्षक,
To Date,तारीख करण्यासाठी,
Tools,साधने,
Total Cost,एकूण खर्च,
Totals,एकूण,
Type,प्रकार,
UOM,UOM,
Unit,युनिट,
Unknown,अज्ञात,
Unverified,असत्यापित,
Urgent,त्वरित,
Valid From,पासून वैध,
Valid Till,पर्यंत वैध,
Valid Upto,पर्यंत वैध,
Valuation Rate,मूल्यांकन दर,
Value,मूल्य,
Verification,पडताळणी,
Verified By,द्वारा सत्यापित केली,
Version,आवृत्ती,
View Website,वेबसाइट पहा,
Warehouse,कोठार,
Warranty,हमी,
Workflow State,कार्यपद्धत राज्य,
Working,कार्यरत आहे,
