API,API,
Accepted,Diterima,
Accounts User,pengguna Akaun-akaun,
Action,Tindakan,
Actions,Tindakan-tindakan,
Active,Aktif,
Actual Cost,Kos sebenar,
Actual End Date,Tarikh Akhir Sebenar,
Actual Start Date,Tarikh Mula Sebenar,
All,Semua,
Amended From,Pindaan Dari,
Amount,Jumlah,
Approved,Diluluskan,
Archive,Arkib,
Archived,Arkib,
Assigned To,Ditugaskan Untuk,
Attachments,Lampiran,
Available,Tersedia,
Brand,Jenama,
Buying Price List,Membeli Senarai Harga,
Cancel,Batal,
Canceled,Dibatalkan,
Cancelled,Dibatalkan,
Category,Kategori,
Category Name,Kategori Nama,
Check,Semak,
Client,Pelanggan,
Close,Tutup,
Closed,Ditutup,
Color,Warna,
Comment,Komen,
Comments,Comments,
Company,Syarikat,
Complete,Lengkap,
Completed,Siap,
Component,komponen,
Condition,Keadaan,
Contact,Hubungi,
Contact Email,Hubungi E-mel,
Contact Phone,Hubungi Telefon,
Conversion Rate,Kadar penukaran,
Created On,Dicipta,
Currency,Mata Wang,
Current Status,Status semasa,
Custom,Custom,
Customer,Pelanggan,
Customer ID,ID pelanggan,
Customer Name,Nama Pelanggan,
Customer Type,Jenis Pelanggan,
Data,Data,
Date,Tarikh,
Default,Default,
Default Company,Syarikat Default,
Default Item Group,Default Perkara Kumpulan,
Default Priority,Keutamaan lalai,
Default Source Warehouse,Default Sumber Gudang,
Default Value,Nilai lalai,
Defaults,Lalai,
Delayed,Lambat,
Delivered,Dihantar,
Depends On,Bergantung Pada,
Description,Penerangan,
Desk,Meja,
Discount (%),Diskaun (%),
Discount Amount,Jumlah diskaun,
Discount Type,Jenis Diskaun,
Document Name,Dokumen Nama,
Document Type,Jenis dokumen,
Draft,Draf,
Due Date,Tarikh Akhir,
Email,E-mel,
Email Address,Alamat emel,
Enabled,Membolehkan,
Error,Ralat,
Estimated Cost,Anggaran kos,
Expected End Date,Tarikh Jangkaan Tamat,
Expected Start Date,Jangkaan Tarikh Mula,
Expired,Tamat,
Failed,Gagal,
Field Type,Jenis bidang,
First Name,Nama Pertama,
Float,Float,
From Date,Dari Tarikh,
Full Name,Nama Penuh,
Grand Total,Jumlah Besar,
Hidden,Tersembunyi,
High,Tinggi,
Hold,Pegang,
Hours,Jam,
Idx,IDX,
In List View,Dalam Senarai Lihat,
In Progress,Dalam Kemajuan,
In Transit,Dalam Transit,
Inactive,Tidak aktif,
Inspected By,Diperiksa oleh,
Inspection Type,Jenis Pemeriksaan,
Int,Int,
Inventory,Inventori,
Is Active,Adalah aktif,
Is Group,Adakah Kumpulan,
Issue,Isu,
Issued,Isu,
Item,Perkara,
Item Code,Kod Item,
Item Name,Nama barang,
Items,Item,
Key,Utama,
Keyboard Shortcuts,Pintasan papan kekunci,
Lab Technician,Juruteknik makmal,
Last Active,Terakhir Aktif,
Last Name,Nama Akhir,
Location,Lokasi,
Logs,Balak,
Lost,Hilang,
Low,Rendah,
Maintenance,Penyelenggaraan,
Manufacturer,Pengeluar,
Mappings,Mappings,
Medium,Sederhana,
Method,Kaedah,
Model,Model,
Modified By,Diubah Suai Oleh,
Name,Nama,
Naming Series,Menamakan Siri,
New,Baru,
Notes,Nota,
On Hold,Tunggu,
Open,Terbuka,
Operation,Operasi,
Other,Lain-lain,
Overdue,Tertunggak,
Owner,Pemilik,
Parameter,Parameter,
Parent Task,Tugas Ibu Bapa,
Passed,Lulus,
Pending,Sementara menunggu,
Pending Review,Sementara menunggu Review,
Percent Complete,Peratus Selesai,
Percentage,peratus,
Phone,Telefon,
Phone Number,Nombor telefon,
Planning,Perancangan,
Portal,Portal,
Posting Date,Penempatan Tarikh,
Priority,Keutamaan,
Progress,kemajuan,
Purchase,Pembelian,
Purchase Date,Tarikh Pembelian,
Purchase Order,Pesanan Pembelian,
Purchase Receipt,Resit Pembelian,
Qty,Qty,
Quantity,Kuantiti,
Rate,Kadar,
Rating,Rating,
Read Only,Baca Sahaja,
Reason,Sebab,
Received,Diterima,
Reference,Rujukan,
Reference DocType,Jenis Dokumen Rujukan,
Reference Doctype,Rujukan DOCTYPE,
Reference Name,Nama Rujukan,
Rejected,Ditolak,
Reload,Muat semula,
Remarks,Catatan,
Reopen,Buka semula,
Resolve,Selesaikan,
Resolved,Diselesaikan,
Restore,Simpan semula,
Rounded Total,Bulat Jumlah,
SMS,SMS,
Sales,Jualan,
Sales Manager,Pengurus Jualan,
Sales User,Jualan Pengguna,
Scheduled,Berjadual,
Scheduled Date,Tarikh yang dijadualkan,
Section,Bahagian,
Selling Price List,Senarai Harga Jualan,
Serial No,No siri,
Session Defaults,Default Sesi,
Setup,Persediaan,
Shipping,penghantaran,
Signature,Tandatangan,
Signed,Ditandatangani,
Signed On,Ditandatangani,
Small Text,Teks Kecil,
Sold,Dijual,
Source DocType,DocType Sumber,
Source Warehouse,Sumber Gudang,
Standard,Standard,
Start,Mula,
Status,Status,
Stock Entry,Saham Entry,
Stock UOM,Saham UOM,
Student,Pelajar,
Subject,Tertakluk,
Submit,Hantar,
Submitted,Dihantar,
Subtotal,jumlah kecil,
Suspended,Digantung,
System Manager,Pengurus Sistem,
Task,Petugas,
Task Description,Penerangan Petugas,
Task Name,Petugas Nama,
Task Type,Jenis Petugas,
Tasks,Tugas,
Template Name,Nama template,
Terms,Syarat,
Text,Teks,
Timestamp,Cap Masa,
Title,Tajuk,
To Date,Tarikh,
Tools,Tools,
Total Cost,Jumlah Kos,
Totals,Jumlah,
Type,Jenis,
UOM,UOM,
Unit,Unit,
Unknown,Tidak diketahui,
Unverified,Tidak dapat disahkan,
Urgent,Segera,
Valid From,Sah dari,
Valid Till,Sah sehingga,
Valid Upto,Upto Sah,
Valuation Rate,Kadar Penilaian,
Value,Nilai,
Verification,Pengesahan,
Verified By,Disahkan oleh,
Version,Versi,
View Website,Lihat Laman Web,
Warehouse,Gudang,
Warranty,jaminan,
Workflow State,Negeri aliran kerja,
Working,Kerja,
