API,API,
Accepted,Akseptert,
Accounts User,Regnskap User,
Action,Handling,
Actions,Handlinger,
Active,Aktiv,
Actual Cost,Faktiske kostnader,
Actual End Date,Selve sluttdato,
Actual Start Date,Faktisk startdato,
All,Alle,
Amended From,Endret Fra,
Amount,Beløp,
Approved,Godkjent,
Archive,Arkiv,
Archived,Arkivert,
Assigned To,Tilordnet,
Attachments,vedlegg,
Available,Tilgjengelig,
Brand,Brand,
Buying Price List,Kjøpe prisliste,
Cancel,Avbryt,
Canceled,avbrutt,
Cancelled,avbrutt,
Category,Kategori,
Category Name,Category Name,
Check,Kryss av,
Client,Client,
Close,Lukk,
Closed,Stengt,
Color,Farge,
Comment,Kommentar,
Comments,Kommentarer,
Company,Selskap,
Complete,Fullstendig,
Completed,fullført,
Component,Komponent,
Condition,Tilstand,
Contact,Kontakt,
Contact Email,Kontakt Epost,
Contact Phone,kontakt telefon,
Conversion Rate,konverterings~~POS=TRUNC,
Created On,Opprettet den,
Currency,Valuta,
Current Status,Nåværende status,
Custom,Custom,
Customer,Kunde,
Customer ID,Kunde ID,
Customer Name,Kundenavn,
Customer Type,Kundetype,
Data,Data,
Date,Dato,
Default,Standard,
Default Company,Standard selskapet,
Default Item Group,Standard varegruppe,
Default Priority,Standard prioritet,
Default Source Warehouse,Standardkilde Warehouse,
Default Value,Standardverdi,
Defaults,Mislighold,
Delayed,Forsinket,
Delivered,Levert,
Depends On,Kommer An På,
Description,Beskrivelse,
Desk,Skrivebord,
Discount (%),Rabatt (%),
Discount Amount,Rabattbeløp,
Discount Type,Rabatttype,
Document Name,Dokumentnavn,
Document Type,Document Type,
Draft,utkast,
Due Date,Tidsfrist,
Email,e-post,
Email Address,Epostadresse,
Enabled,Aktivert,
Error,Feil,
Estimated Cost,anslått pris,
Expected End Date,Forventet sluttdato,
Expected Start Date,Tiltredelse,
Expired,Utløpt,
Failed,Mislyktes,
Field Type,Felttype,
First Name,Fornavn,
Float,Float,
From Date,Fra Dato,
Full Name,Fullt Navn,
Grand Total,Grand Total,
Hidden,skjult,
High,Høy,
Hold,Hold,
Hours,timer,
Idx,idx,
In List View,I listevisning,
In Progress,I prosess,
In Transit,I transitt,
Inactive,inaktiv,
Inspected By,Inspisert av,
Inspection Type,Inspeksjon Type,
Int,Int,
Inventory,Inventar,
Is Active,Er Aktiv,
Is Group,Is Gruppe,
Issue,Problem,
Issued,Utstedt,
Item,Sak,
Item Code,Sak Kode,
Item Name,Gjenstandsnavn,
Items,elementer,
Key,Nøkkel,
Keyboard Shortcuts,Tastatursnarveier,
Lab Technician,Lab tekniker,
Last Active,Sist aktiv,
Last Name,Etternavn,
Location,Beliggenhet,
Logs,Logger,
Lost,Mistet,
Low,Lav,
Maintenance,Vedlikehold,
Manufacturer,Produsent,
Mappings,kartlegginger,
Medium,Medium,
Method,Metode,
Model,Modell,
Modified By,endret av,
Name,Navn,
Naming Series,Navngi Series,
New,Ny,
Notes,Notater,
On Hold,På vent,
Open,Åpen,
Operation,Operasjon,
Other,Andre,
Overdue,Forfalt,
Owner,Eier,
Parameter,Parameter,
Parent Task,Foreldreoppgave,
Passed,Bestått,
Pending,Avventer,
Pending Review,Avventer omtale,
Percent Complete,Prosent fullført,
Percentage,Prosentdel,
Phone,Telefon,
Phone Number,Telefonnummer,
Planning,Planlegging,
Portal,Portal,
Posting Date,Publiseringsdato,
Priority,Prioritet,
Progress,Framgang,
Purchase,Kjøp,
Purchase Date,Kjøpsdato,
Purchase Order,Bestilling,
Purchase Receipt,Kvitteringen,
Qty,Antall,
Quantity,Antall,
Rate,Rate,
Rating,Vurdering,
Read Only,Read Only,
Reason,Reason,
Received,Mottatt,
Reference,Referanse,
Reference DocType,Referanse DocType,
Reference Doctype,Referanse DOCTYPE,
Reference Name,referansenavn,
Rejected,Avvist,
Reload,Last,
Remarks,Bemerkninger,
Reopen,Gjenåpne,
Resolve,Løse,
Resolved,Løst,
Restore,Restaurere,
Rounded Total,Avrundet Total,
SMS,tekstmelding,
Sales,Salgs,
Sales Manager,Salgssjef,
Sales User,Salg User,
Scheduled,Planlagt,
Scheduled Date,Planlagt dato,
Section,Seksjon,
Selling Price List,Selge prisliste,
Serial No,Serial No,
Session Defaults,Økt mislighold,
Setup,Setup,
Shipping,Shipping,
Signature,Signatur,
Signed,signert,
Signed On,Signert på,
Small Text,Liten tekst,
Sold,selges,
Source DocType,Kilde DocType,
Source Warehouse,Kilde Warehouse,
Standard,Standard,
Start,Start,
Status,Status,
Stock Entry,Stock Entry,
Stock UOM,Stock målenheter,
Student,Student,
Subject,Emne,
Submit,Send inn,
Submitted,Sendt inn,
Subtotal,delsum,
Suspended,suspendert,
System Manager,System Manager,
Task,Task,
Task Description,Oppgavebeskrivelse,
Task Name,Task Name,
Task Type,Oppgavetype,
Tasks,Oppgaver,
Template Name,Malnavn,
Terms,Vilkår,
Text,Tekst,
Timestamp,Tidsstempel,
Title,Tittel,
To Date,To Date,
Tools,Verktøy,
Total Cost,Totalkostnad,
Totals,Totals,
Type,Type,
UOM,målenheter,
Unit,Enhet,
Unknown,Ukjent,
Unverified,ubekreftet,
Urgent,Haster,
Valid From,Gyldig fra,
Valid Till,Gyldig til,
Valid Upto,Gyldig Upto,
Valuation Rate,Verdivurdering Rate,
Value,Verdi,
Verification,Bekreftelse,
Verified By,Verified by,
Version,Versjon,
View Website,Vis nettstedet,
Warehouse,Warehouse,
Warranty,Garanti,
Workflow State,Arbeidsflyt State,
Working,Arbeids,
