API,API,
Accepted,Przyjęte,
Accounts User,Konta Użytkownika,
Action,Działanie,
Actions,działania,
Active,Aktywny,
Actual Cost,Aktualna cena,
Actual End Date,Rzeczywista Data Zakończenia,
Actual Start Date,Rzeczywista data rozpoczęcia,
All,Wszystko,
Amended From,Zmodyfikowany od,
Amount,Wartość,
Approved,Zatwierdzono,
Archive,Archiwum,
Archived,W archiwum,
Assigned To,Przypisano do,
Attachments,Załączniki,
Available,Dostępny,
Brand,Marka,
Buying Price List,Kupowanie cennika,
Cancel,Anuluj,
Canceled,Anulowany,
Cancelled,Anulowany,
Category,Kategoria,
Category Name,Nazwa kategorii,
Check,Czek,
Client,Klient,
Close,Zamknij,
Closed,Zamknięte,
Color,Kolor,
Comment,Komentarz,
Comments,Komentarze,
Company,Firma,
Complete,Kompletny,
Completed,Zakończono,
Component,Składnik,
Condition,Stan,
Contact,Kontakt,
Contact Email,E-mail kontaktu,
Contact Phone,telefon kontaktowy,
Conversion Rate,Współczynnik konwersji,
Created On,Utworzono,
Currency,Waluta,
Current Status,Bieżący status,
Custom,Niestandardowy,
Customer,Klient,
Customer ID,Identyfikator klienta,
Customer Name,Nazwa klienta,
Customer Type,typ klienta,
Data,Dane,
Date,Data,
Default,Domyślny,
Default Company,Domyślna Firma,
Default Item Group,Domyślna grupa elementów,
Default Priority,Domyślny priorytet,
Default Source Warehouse,Domyślny magazyn źródłowy,
Default Value,Domyślna wartość,
Defaults,Wartości domyślne,
Delayed,Opóźniony,
Delivered,Dostarczono,
Depends On,Zależny od,
Description,Opis,
Desk,Biurko,
Discount (%),Zniżka (%),
Discount Amount,Wartość zniżki,
Discount Type,Typ rabatu,
Document Name,Nazwa dokumentu,
Document Type,Typ Dokumentu,
Draft,Wersja robocza,
Due Date,Termin,
Email,E-mail,
Email Address,Adres e-mail,
Enabled,Aktywny,
Error,Błąd,
Estimated Cost,Szacowany koszt,
Expected End Date,Spodziewana data końcowa,
Expected Start Date,Spodziewana data startowa,
Expired,Upłynął,
Failed,Nieudane,
Field Type,Typ pola,
First Name,Imię,
Float,Float,
From Date,Od daty,
Full Name,Imię i nazwisko,
Grand Total,Suma Całkowita,
Hidden,Ukryty,
High,Wysoki,
Hold,Trzymaj,
Hours,godziny,
Idx,idx,
In List View,W widoku listy,
In Progress,W trakcie,
In Transit,W tranzycie,
Inactive,Nieaktywny,
Inspected By,Skontrolowane przez,
Inspection Type,Typ kontroli,
Int,Int,
Inventory,Inwentarz,
Is Active,Jest aktywny,
Is Group,Czy Grupa,
Issue,Zdarzenie,
Issued,Wydany,
Item,Asortyment,
Item Code,Kod identyfikacyjny,
Item Name,Nazwa przedmiotu,
Items,Produkty,
Key,Klucz,
Keyboard Shortcuts,Skróty klawiszowe,
Lab Technician,Technik laboratoryjny,
Last Active,Czas ostatniej aktywności,
Last Name,Nazwisko,
Location,Lokacja,
Logs,Dzienniki,
Lost,Straty,
Low,Niski,
Maintenance,Konserwacja,
Manufacturer,Producent,
Mappings,Mapowania,
Medium,Średni,
Method,Metoda,
Model,Model,
Modified By,Modyfikowane przez,
Name,Nazwa,
Naming Series,Seria nazw,
New,Nowy,
Notes,Notatki,
On Hold,W oczekiwaniu,
Open,otwarty,
