API,API,
Accepted,منل,
Accounts User,جوړوي کارن,
Action,کړنه,
Actions,کړنې,
Active,د فعالو,
Actual Cost,اصل لګښت,
Actual End Date,واقعي د پای نیټه,
Actual Start Date,واقعي د پیل نیټه,
All,ټول,
Amended From,تعدیل له,
Amount,اندازه,
Approved,تصویب شوې,
Archive,آرشیف,
Archived,ارشیف,
Assigned To,ته ګمارل شوي,
Attachments,ضم,
Available,شته,
Brand,دتوليد,
Buying Price List,د نرخ لیست,
Cancel,لغوه کړه,
Canceled,لغوه شوی,
Cancelled,لغوه شوی,
Category,کټه ګورۍ,
Category Name,کټه ګورۍ نوم,
Check,وګوره,
Client,د مراجع,
Close,بندول,
Closed,تړل,
Color,رنګ,
Comment,څرګندونه,
Comments,تبصرې,
Company,شرکت,
Complete,بشپړ,
Completed,بشپړ شوي,
Component,برخه,
Condition,حالت,
Contact,تماس,
Contact Email,تماس دبرېښنا ليک,
Contact Phone,د اړیکې تلیفون,
Conversion Rate,conversion Rate,
Created On,ايجاد د,
Currency,د اسعارو,
Current Status,د اوسني وضعیت,
Custom,د ګمرکونو,
Customer,پيرودونکو,
Customer ID,د پیرودونکي پیژند,
Customer Name,پیریدونکي نوم,
Customer Type,د پیرودونکي ډول,
Data,د معلوماتو د,
Date,نېټه,
Default,default,
Default Company,default شرکت,
Default Item Group,Default د قالب ګروپ,
Default Priority,لومړیتوب لومړیتوب,
Default Source Warehouse,Default سرچینه ګدام,
Default Value,تلواله ارزښت,
Defaults,افتراضیو,
Delayed,وځنډید,
Delivered,تحویلوونکی,
Depends On,اړه لري پر,
Description,Description,
Desk,مېز,
Discount (%),تخفیف (٪),
Discount Amount,تخفیف مقدار,
Discount Type,د تخفیف ډول,
Document Name,سند نوم,
Document Type,سند ډول,
Draft,مسوده,
Due Date,د تاریخ په مطابق,
Email,بریښنالیک,
Email Address,بریښنالیک,
Enabled,وتوانول شوه,
Error,تېروتنه,
Estimated Cost,اټکل شوی لګښت,
Expected End Date,د تمی د پای نیټه,
Expected Start Date,د تمی د پیل نیټه,
Expired,تېر شوی,
Failed,کې پاتې راغی,
Field Type,ساحوي ډول,
First Name,اول نوم,
Float,ثاب,
From Date,له نېټه,
Full Name,پوره نوم,
Grand Total,ستره مجموعه,
Hidden,پټ,
High,د عالي,
Hold,ونیسئ,
Hours,ساعتونه,
Idx,Idx,
In List View,په لست کی View,
In Progress,د پرمختګ په حال کې,
In Transit,په لیږد کې,
Inactive,غیر فعال,
Inspected By,تفتیش By,
Inspection Type,تفتیش ډول,
Int,اینټ,
Inventory,موجودي,
Is Active,آیا د فعالو,
Is Group,دی ګروپ,
Issue,Issue,
Issued,صادر شوی,
Item,د قالب,
Item Code,د قالب کوډ,
Item Name,د توکي نوم,
Items,توکي,
Key,کلیدي,
Keyboard Shortcuts,کيلي لنډلار,
Lab Technician,د لابراتوار تخنیکین,
Last Active,تېره فعاله,
Last Name,کورنۍ نوم,
Location,د ځای,
