API,API,
Accepted,Aceito,
Accounts User,Usuário de Contas,
Action,Ação,
Actions,Ações,
Active,Ativo,
Actual Cost,Custo Real,
Actual End Date,Data Final Real,
Actual Start Date,Data de Início Real,
All,Todos,
Amended From,Alterado De,
Amount,Montante,
Approved,Aprovado,
Archive,Arquivar,
Archived,Arquivada,
Assigned To,Atribuído A,
Attachments,Anexos,
Available,Disponível,
Brand,Marca,
Buying Price List,Lista de Preços de Compra,
Cancel,Cancelar,
Canceled,Cancelado,
Cancelled,Cancelado,
Category,Categoria,
Category Name,Nome da Categoria,
Check,Verifica,
Client,Cliente,
Close,Fechar,
Closed,Fechado,
Color,Cor,
Comment,Comentário,
Comments,Comentários,
Company,Empresa,
Complete,Concluído,
Completed,Concluído,
Component,Componente,
Condition,Condição,
Contact,Contato,
Contact Email,Email de Contato,
Contact Phone,telefone de contato,
Conversion Rate,Taxa de Conversão,
Created On,Criado em,
Currency,Moeda,
Current Status,Status Atual,
Custom,Personalizado,
Customer,Cliente,
Customer ID,Identificação do Cliente,
Customer Name,Nome do Cliente,
Customer Type,Tipo de Cliente,
Data,Dados,
Date,Data,
Default,Padrão,
Default Company,Empresa Padrão,
Default Item Group,Grupo de Itens Padrão,
Default Priority,Prioridade Padrão,
Default Source Warehouse,Armazém de Origem Padrão,
Default Value,Valor padrão,
Defaults,Padrões,
Delayed,Atrasado,
Delivered,Entregue,
Depends On,Depende de,
Description,Descrição,
Desk,Mesa,
Discount (%),Desconto (%),
Discount Amount,Valor do Desconto,
Discount Type,Tipo de Desconto,
Document Name,Nome do Documento,
Document Type,Tipo de Documento,
Draft,Rascunho,
Due Date,Data de Vencimento,
Email,Email,
Email Address,Endereço de Email,
Enabled,Ativado,
Error,Erro,
Estimated Cost,Custo Estimado,
Expected End Date,Data Prevista de Término,
Expected Start Date,Data Prevista de Início,
Expired,Expirado,
Failed,Falhou,
Field Type,Tipo de Campo,
First Name,Nome,
Float,Float,
From Date,Data De,
Full Name,Nome Completo,
Grand Total,Total Geral,
Hidden,Escondido,
High,Alto,
Hold,Segurar,
Hours,Horas,
Idx,Idx,
In List View,Mostrar na Visualização da Lista,
In Progress,Em Progresso,
In Transit,Em Trânsito,
Inactive,Inativo,
Inspected By,Inspecionado Por,
Inspection Type,Tipo de Inspeção,
Int,Inteiro,
Inventory,Inventário,
Is Active,É Ativo,
