API,API-ul,
Accepted,Acceptat,
Accounts User,Conturi de utilizator,
Action,Acțiune:,
Actions,Acțiuni,
Active,Activ,
Actual Cost,Costul actual,
Actual End Date,Data efectiva de finalizare,
Actual Start Date,Dată Efectivă de Început,
All,Toate,
Amended From,Modificat din,
Amount,Sumă,
Approved,Aprobat,
Archive,Arhiva,
Archived,Arhivat,
Assigned To,Atribuit pentru,
Attachments,Ataşamente,
Available,Disponibil,
Brand,Marca,
Buying Price List,Achiziționarea listei de prețuri,
Cancel,Anulează,
Canceled,Anulat,
Cancelled,Anulat,
Category,Categorie,
Category Name,Nume Categorie,
Check,Verifica,
Client,Client,
Close,Închideți,
Closed,Închis,
Color,Culoare,
Comment,cometariu,
Comments,Comentarii,
Company,Compania,
Complete,Complet,
Completed,Finalizat,
Component,component,
Condition,Condiție,
Contact,Persoana de Contact,
Contact Email,Email Persoana de Contact,
Contact Phone,Telefon de Contact,
Conversion Rate,Rata de conversie,
Created On,Creat pe,
Currency,Valută,
Current Status,Starea curentă a armatei,
Custom,Personalizat,
Customer,Client,
Customer ID,Număr de înregistrare client,
Customer Name,Nume client,
Customer Type,tip de client,
Data,Date,
Date,Dată,
Default,Implicit,
Default Company,Companie Implicită,
Default Item Group,Group Articol Implicit,
Default Priority,Prioritate implicită,
Default Source Warehouse,Depozit Sursa Implicit,
Default Value,Valoare implicită,
Defaults,Implicite,
Delayed,Întârziat,
Delivered,Livrat,
Depends On,Depinde,
Description,Descriere,
Desk,Birou,
Discount (%),Reducere (%),
Discount Amount,Reducere Suma,
Discount Type,Tipul reducerii,
Document Name,Document Nume,
Document Type,Tip Document,
Draft,Proiect,
Due Date,Data Limita,
Email,E-mail,
Email Address,Adresa de email,
Enabled,Activat,
Error,Eroare,
Estimated Cost,Cost estimat,
Expected End Date,Data de Incheiere Preconizata,
Expected Start Date,Data de Incepere Preconizata,
Expired,Expirat,
Failed,A eșuat,
Field Type,Tip de câmp,
First Name,Prenume,
Float,Plutitor,
From Date,Din data,
Full Name,Nume complet,
Grand Total,Total general,
Hidden,Ascuns,
High,Ridicat,
Hold,Păstrarea / Ţinerea / Deţinerea,
Hours,ore,
Idx,IDX,
In List View,În Vizualizare listă,
In Progress,In progres,
In Transit,În trecere,
Inactive,Inactiv,
Inspected By,Inspectat de,
Inspection Type,Inspecție Tip,
Int,Int,
Inventory,Inventarierea,
Is Active,Este activ,
Is Group,Is Group,
Issue,Problema,
Issued,Emis,
Item,Obiect,
Item Code,Cod articol,
Item Name,Numele articolului,
Items,Articole,
Key,Cheie,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Lab Technician,Tehnician de laborator,
Last Active,Ultimul activ,
Last Name,Nume,
Location,Închiriere,
Logs,Busteni,
Lost,Pierdut,
Low,Scăzut,
Maintenance,Mentenanţă,
Manufacturer,Producător,
Mappings,mapări,
Medium,Medie,
Method,Metoda,
Model,Model,
Modified By,Modificat de catre,
Name,Nume,
Naming Series,Naming Series,
New,Nou,
Notes,Observații,
On Hold,In asteptare,
Open,Deschide,
Operation,Operație,
Other,Altul,
Overdue,întârziat,
Owner,Proprietar,
Parameter,Parametru,
Parent Task,Activitatea părintească,
Passed,A trecut,
Pending,În așteptarea,
Pending Review,Revizuirea în curs,
Percent Complete,Procentul complet,
Percentage,Procent,
Phone,Telefon,
Phone Number,Numar de telefon,
Planning,Planificare,
Portal,Portal,
Posting Date,Dată postare,
Priority,Prioritate,
Progress,progres,
Purchase,Cumpărarea,
Purchase Date,Data cumpărării,
Purchase Order,Comandă de aprovizionare,
Purchase Receipt,Primirea de cumpărare,
Qty,Cantitate,
Quantity,Cantitate,
Rate,Rată,
Rating,evaluare,
Read Only,Doar Citire,
Reason,Motiv,
Received,Primit,
Reference,Referință,
Reference DocType,DocType de referință,
Reference Doctype,DocType referință,
Reference Name,nume de referinta,
Rejected,Respinse,
Reload,Reîncarcă,
Remarks,Remarci,
Reopen,Redeschide,
Resolve,Rezolva,
Resolved,S-a rezolvat,
Restore,Restabilire,
Rounded Total,Rotunjite total,
SMS,mesaj,
Sales,Vânzări,
Sales Manager,Director De Vânzări,
Sales User,Vânzări de utilizare,
Scheduled,Programat,
Scheduled Date,Data programată,
Section,Secțiune,
Selling Price List,Listă Prețuri de Vânzare,
Serial No,Nr. serie,
Session Defaults,Valorile implicite ale sesiunii,
Setup,Configurare,
Shipping,Transport,
Signature,Semnătura,
Signed,Semnat,
Signed On,Signed On,
Small Text,Mic Text,
Sold,Vândut,
Source DocType,Sursa DocType,
Source Warehouse,Depozit Sursă,
Standard,Standard,
Start,Început(Pornire),
Status,Status,
Stock Entry,Stoc de intrare,
Stock UOM,Stoc UOM,
Student,Student,
Subject,Subiect,
Submit,Trimite,
Submitted,Inscrisa,
Subtotal,subtotală,
Suspended,Suspendat,
System Manager,System Manager,
Task,Sarcină,
Task Description,Descrierea sarcinii,
Task Name,Sarcina Nume,
Task Type,Tipul sarcinii,
Tasks,Sarcini,
Template Name,Numele de șablon,
Terms,Termeni,
Text,Text,
Timestamp,Timestamp,
Title,Titlu,
To Date,La Data,
Tools,Instrumente,
Total Cost,Cost total,
Totals,Totaluri,
Type,Tip,
UOM,UOM,
Unit,Unitate,
Unknown,Necunoscut,
Unverified,neverificat,
Urgent,De urgență,
Valid From,Valabil din,
Valid Till,Valabil până la,
Valid Upto,Valid pana la,
Valuation Rate,Rata de evaluare,
Value,Valoare,
Verification,Verificare,
Verified By,Verificate de,
Version,Versiune,
View Website,Vezi site-ul,
Warehouse,Depozit,
Warranty,garanţie,
Workflow State,Stare flux de lucru,
Working,De lucru,
