API,API,
About,О системе,
Accepted,Принято,
Accounts User,Пользователь Счетов,
Action,Действие,
Actions,Меры,
Active,Активен,
Actual Cost,Действительная цена,
Actual End Date,Факт. дата окончания,
Actual Start Date,Фактическая дата начала,
All,Все,
Amended From,Измененный С,
Amount,Сумма,
Approved,Утверждено,
Archive,Архив,
Archived,Архивные,
Assigned To,Назначено для,
Attachments,Приложения,
Available,Доступно,
Brand,Бренд,
Buying Price List,Ценовой список покупок,
Cancel,Отмена,
Canceled,Отменен,
Cancelled,Отменен,
Category,Категория,
Category Name,Название категории,
Check,Проверьте,
Client,Клиент,
Close,Закрыть,
Closed,Закрыт,
Color,Цвет,
Comment,Комментарий,
Comments,Комментарии,
Company,Организация,
Complete,Завершенно,
Completed,Завершенно,
Component,Компонент,
Condition,Условия,
Contact,Контакты,
Contact Email,Эл.почта для связи,
Contact Phone,Контактный телефон,
Conversion Rate,Коэффициент конверсии,
Created On,Дата создания,
Currency,Валюта,
Current Status,Текущее состояние,
Custom,Пользовательские,
Customer,Клиент,
Customer ID,Пользовательский ID,
Customer Name,Имя клиента,
Customer Type,Тип клиента,
Data,Данные,
Date,Дата,
Default,По умолчанию,
Default Company,Компания по умолчанию,
Default Item Group,Продуктовая группа по умолчанию,
Default Priority,Приоритет по умолчанию,
Default Source Warehouse,По умолчанию склад сырья,
Default Value,Значение по умолчанию,
Defaults,Значения по умолчанию,
Delayed,Задерживается,
Delivered,Доставлено,
Depends On,Зависит от,
Description,Описание,
Desk,Рабочий стол,
Discount (%),Скидка (%),
Discount Amount,Сумма скидки,
Discount Type,Тип скидки,
Document Name,Название документа,
Document Type,Тип документа,
Documentation,Документация,
Draft,Черновик,
Due Date,Дата выполнения,
Email,Эл. адрес,
Email Address,Адрес электронной почты,
Enabled,Разрешено,
Error,ошибка,
Estimated Cost,Ориентировочная стоимость,
Expected End Date,Ожидаемая дата завершения,
Expected Start Date,Ожидаемая дата начала,
Expired,Истек срок действия,
Failed,неудачник,
Field Type,Тип поля,
First Name,Имя,
Float,Дробное,
From Date,С даты,
Full Name,Полное имя,
Grand Total,Общий итог,
Hidden,Скрытый,
High,Высокий,
Hold,Удержание,
Hours,Часов,
In List View,Отображать в списке,
In Progress,Выполняется,
In Transit,Доставляется,
Inactive,Неактивный,
Inspected By,Проверено,
Inspection Type,Тип контроля,
Int,Интервал,
Inventory,Товарный запас,
Is Active,Активен,
Is Group,Группа,
Issue,Запрос,
Issued,Запрошено,
Item,Продукт,
Item Code,Код продукта,
Item Name,Название продукта,
Items,Продукты,
Key,Ключ,
Keyboard Shortcuts,Горячие клавиши,
Lab Technician,Лаборант,
Last Active,Последнее посещение,
Last Name,Фамилия,
Location,Местоположение,
Logs,Журналы,
Lost,Поражений,
Low,Низкий,
Maintenance,Обслуживание,
Manufacturer,Производитель,
Medium,Средний,
Method,Метод,
Model,Модель,
Modified By,Модифицирован,
My Profile,Мой профиль,
My Settings,Мои настройки,
Name,Имя,
Naming Series,Идентификация по имени,
New,Новый,
Notes,Заметки,
OK,Хорошо.,
On Hold,На удерживании,
Open,Открыт,
Operation,Операция,
Other,Другое,
Overdue,Просрочено,
Owner,Владелец,
Parameter,Параметр,
Parent Task,Родительская задача,
Passed,Прошло,
Pending,В ожидании,
Pending Review,В ожидании отзыва,
Percent Complete,Процент завершен,
Percentage,Процент,
Phone,Телефон,
Phone Number,Телефонный номер,
Planning,Планирование,
Portal,Портал,
Posting Date,Дата публикации,
Priority,Приоритет,
Progress,Готовность,
Purchase,Купить,
Purchase Date,Дата покупки,
Purchase Order,Заказ на покупку,
Purchase Receipt,Квитанция о покупке,
Qty,Кол-во,
Quantity,Количество,
Rate,Цена,
Rating,Рейтинг,
Read Only,Только чтение,
Reason,Причина,
Received,Получено,
Reference,Справка,
Reference DocType,Ссылка DocType,
Reference Doctype,Ссылка DocType,
Reference Name,Имя ссылки,
Rejected,Отклоненные,
Reload,Обновить страницу,
Remarks,Примечания,
Reopen,Возобновить,
Report an Issue,Сообщить об ошибке,
Resolve,Разрешить,
Resolved,Решено,
Restore,Восстановить,
Rounded Total,Итого с округлением,
SMS,SMS,
Sales,Продажи,
Sales Manager,Менеджер продаж,
Sales User,Продавец,
Scheduled,Запланированно,
Scheduled Date,Запланированная дата,
Section,Раздел,
Selling Price List,Продажа прайс-листа,
Serial No,Серийный номер,
Session Defaults,Сеансы по умолчанию,
Setup,Настройки,
Shipping,Доставка,
Signature,Подпись,
Signed,подписанный,
Signed On,Подписано,
Small Text,Маленьикий текст,
Sold,Продан,
Source DocType,Источник DocType,
Source Warehouse,Склад источник,
Standard,Стандартный,
Start,Начать,
Status,Статус,
Stock Entry,Движения на складе,
Stock UOM,Единица измерения запасов,
Student,Студент,
Subject,Тема,
Submit,Утвердить,
Submitted,Утвержден,
Subtotal,Промежуточный итог,
Suspended,Приостановленный,
System Manager,Менеджер системы,
Task,Задача,
Task Description,Описание задания,
Task Name,Название задачи,
Task Type,Тип задачи,
Tasks,Задачи,
Template Name,Название шаблона,
Terms,Условия,
Text,Текст,
Timestamp,Временная отметка,
Title,Заголовок,
To Date,До,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Tools,Инструменты,
Total Cost,Общая стоимость,
Totals,Всего,
Type,Тип,
UOM,Единица измерения,
Unit,Единица,
Unknown,Неизвестный,
Unverified,Непроверенный,
Urgent,Важно,
User Forum,Форум пользователей,
Valid From,Действителен с,
Valid Till,Годен до,
Valid Upto,Действителен до,
Valuation Rate,Оценка,
Value,Значение,
Verification,Верификация,
Verified By,Утверждено,
Version,Версия,
View Website,Посмотреть сайт,
Warehouse,Склад,
Warranty,Гарантия,
Workflow State,Состояние рабочего процесса,
Working,В работе,
