API,API,
Accepted,Byemewe,
Accounts User,Umukoresha Konti,
Action,Igikorwa,
Actions,Ibikorwa,
Active,Bikora,
Actual Cost,Igiciro nyacyo,
Actual End Date,Itariki yo kurangiriraho,
Actual Start Date,Itariki yo Gutangiriraho,
All,Byose,
Amended From,Yahinduwe Kuva,
Amount,Umubare,
Approved,Byemejwe,
Archive,Ububiko,
Archived,Yabitswe,
Assigned To,Yashinzwe Kuri,
Attachments,Umugereka,
Available,Birashoboka,
Brand,Ikirango,
Buying Price List,Kugura Urutonde,
Cancel,Kureka,
Canceled,Yahagaritswe,
Cancelled,Yahagaritswe,
Category,Icyiciro,
Category Name,Izina ry&#39;icyiciro,
Check,Reba,
Client,Umukiriya,
Close,Funga,
Closed,Gufunga,
Color,Ibara,
Comment,Igitekerezo,
Comments,Ibitekerezo,
Company,Isosiyete,
Complete,Byuzuye,
Completed,Byarangiye,
Component,Ibigize,
Condition,Imiterere,
Contact,Twandikire,
Contact Email,Menyesha imeri,
Contact Phone,Menyesha Terefone,
Conversion Rate,Igipimo cyo Guhindura,
Created On,Byaremewe,
Currency,Ifaranga,
Current Status,Imiterere y&#39;ubu,
Custom,Custom,
Customer,Umukiriya,
Customer ID,Indangamuntu,
Customer Name,Izina ryabakiriya,
Customer Type,Ubwoko bw&#39;abakiriya,
Data,Amakuru,
Date,Itariki,
Default,Mburabuzi,
Default Company,Isosiyete isanzwe,
Default Item Group,Itsinda ryibintu bisanzwe,
Default Priority,Ibisanzwe,
Default Source Warehouse,Ububiko busanzwe,
Default Value,Agaciro gasanzwe,
Defaults,Mburabuzi,
Delayed,Gutinda,
Delivered,Yatanzwe,
Depends On,Biterwa,
Description,Ibisobanuro,
Desk,Ibiro,
Discount (%),Kugabanuka (%),
Discount Amount,Amafaranga yagabanutse,
Discount Type,Ubwoko bwo Kugabanuka,
Document Name,Izina ry&#39;inyandiko,
Document Type,Ubwoko bw&#39;inyandiko,
Draft,Inyandiko,
Due Date,Itariki ntarengwa,
Email,Imeri,
Email Address,Aderesi ya imeri,
Enabled,Gushoboza,
Error,Ikosa,
Estimated Cost,Ikigereranyo,
Expected End Date,Biteganijwe Itariki Yanyuma,
Expected Start Date,Biteganijwe Itariki yo Gutangiriraho,
Expired,Byarangiye,
Failed,Kunanirwa,
Field Type,Ubwoko bwumurima,
First Name,Izina,
Float,Kureremba,
From Date,Kuva Itariki,
Full Name,Izina ryuzuye,
Grand Total,Igiteranyo Cyinshi,
Hidden,Hihishe,
High,Hejuru,
Hold,Komeza,
Hours,Amasaha,
Idx,Idx,
In List View,Kurutonde Reba,
In Progress,Iterambere,
In Transit,Muri Transit,
Inactive,Kudakora,
Inspected By,Kugenzurwa na,
Inspection Type,Ubwoko bw&#39;Ubugenzuzi,
Int,Int,
Inventory,Ibarura,
Is Active,Nibikorwa,
Is Group,Ni Itsinda,
Issue,Ikibazo,
Issued,Yatanzwe,
Item,Ingingo,
Item Code,Kode y&#39;Ikintu,
Item Name,Izina ryikintu,
Items,Ibintu,
Key,Urufunguzo,
Keyboard Shortcuts,Amahinanzira ya Mwandikisho,
Lab Technician,Umutekinisiye wa Laboratoire,
Last Active,Igikorwa Cyanyuma,
Last Name,Izina ryanyuma,
Location,Aho biherereye,
Logs,Ibiti,
Lost,Yatakaye,
Low,Hasi,
Maintenance,Kubungabunga,
Manufacturer,Uruganda,
Mappings,Ikarita,
Medium,Hagati,
Method,Uburyo,
Model,Icyitegererezo,
Modified By,Byahinduwe na,
Name,Izina,
Naming Series,Urukurikirane rw&#39;izina,
New,Gishya,
Notes,Inyandiko,
On Hold,Hagarara,
Open,Fungura,
Operation,Igikorwa,
Other,Ibindi,
Overdue,Igihe kirenze,
Owner,Nyirubwite,
Parameter,Parameter,
Parent Task,Inshingano y&#39;ababyeyi,
Passed,Yararenganye,
Pending,Bitegereje,
Pending Review,Gutegereza Isubiramo,
Percent Complete,Ijanisha ryuzuye,
Percentage,Ijanisha,
Phone,Terefone,
Phone Number,Numero ya terefone,
Planning,Igenamigambi,
Portal,Urubuga,
Posting Date,Itariki yoherejwe,
Priority,Ibyingenzi,
Progress,Iterambere,
Purchase,Kugura,
Purchase Date,Itariki yo Kugura,
Purchase Order,Kugura,
Purchase Receipt,Inyemezabwishyu,
Qty,Qty,
Quantity,Umubare,
Rate,Igipimo,
Rating,Urutonde,
Read Only,Soma gusa,
Reason,Impamvu,
Received,Yakiriwe,
Reference,Reba,
Reference DocType,Reba Inyandiko,
Reference Doctype,Reba Inyandiko,
Reference Name,Izina,
Rejected,Yanze,
Reload,Ongera usubiremo,
Remarks,Ijambo,
Reopen,Fungura,
Resolve,Kemura,
Resolved,Byakemutse,
Restore,Kugarura,
Rounded Total,Bose hamwe,
SMS,SMS,
Sales,Kugurisha,
Sales Manager,Umuyobozi ushinzwe kugurisha,
Sales User,Umukoresha,
Scheduled,Gahunda,
Scheduled Date,Itariki Yateganijwe,
Section,Icyiciro,
Selling Price List,Kugurisha Ibiciro Urutonde,
Serial No,Urutonde No.,
Session Defaults,Isomo risanzwe,
Setup,Gushiraho,
Shipping,Kohereza,
Signature,Umukono,
Signed,Yasinywe,
Signed On,Byashyizweho umukono,
Small Text,Inyandiko nto,
Sold,Igurishwa,
Source DocType,Inkomoko,
Source Warehouse,Ububiko bw&#39;isoko,
Standard,Bisanzwe,
Start,Tangira,
Status,Imiterere,
Stock Entry,Kwinjira mu bubiko,
Stock UOM,Ubike UOM,
Student,Umunyeshuri,
Subject,Ingingo,
Submit,Tanga,
Submitted,Yatanzwe,
Subtotal,Subtotal,
Suspended,Yahagaritswe,
