API,API,
Accepted,පිළිගත්තා,
Accounts User,ගිණුම් පරිශීලක,
Action,කටයුතු,
Actions,ක්රියා,
Active,ක්රියාකාරී,
Actual Cost,තථ්ය පිරිවැය,
Actual End Date,සැබෑ අවසානය දිනය,
Actual Start Date,සැබෑ ඇරඹුම් දිනය,
All,සෑම,
Amended From,සංශෝධිත වන සිට,
Amount,ප්රමාණය,
Approved,අනුමත,
Archive,සංරක්ෂිත,
Archived,සංරක්ෂණය,
Assigned To,කිරීම සඳහා පවරා,
Attachments,ඇමුණුම්,
Available,ඇත,
Brand,වෙළඳ නාමය,
Buying Price List,මිලට ගැනීමේ මිල ලැයිස්තුව,
Cancel,අවලංගු කරන්න,
Canceled,අවලංගු කළා,
Cancelled,අවලංගු කළා,
Category,වර්ගය,
Category Name,ප්රවර්ගය නම,
Check,චෙක් පත,
Client,සේවාලාභියා,
Close,සමීප,
Closed,වසා,
Color,වර්ණ,
Comment,අදහස් දක්වන්න,
Comments,අදහස්,
Company,සමාගම,
Complete,සම්පූර්ණ,
Completed,සම්පූර්ණ කරන ලද,
Component,සංරචකය,
Condition,තත්වය,
Contact,අමතන්න,
Contact Email,අප අමතන්න විද්යුත්,
Contact Phone,දුරකථනය අමතන්න,
Conversion Rate,පරිවර්තන අනුපාතය,
Created On,දා නිර්මාණය,
Currency,මුදල්,
Current Status,දැනට පවතින තත්වය,
Custom,රේගු,
Customer,පාරිභෝගික,
Customer ID,පාරිභෝගික හැඳුනුම් පත,
Customer Name,පාරිභෝගිකයාගේ නම,
Customer Type,පාරිභෝගික වර්ගය,
Data,දත්ත,
Date,දිනය,
Default,පෙරනිමි,
Default Company,පෙරනිමි සමාගම,
Default Item Group,පෙරනිමි අයිතමය සමූහ,
Default Priority,පෙරනිමි ප්‍රමුඛතාවය,
Default Source Warehouse,පෙරනිමි ප්රභවය ගබඩාව,
Default Value,පෙරනිමි අගය,
Defaults,පෙරනිමි,
Delayed,ප්රමාද,
Delivered,පාවා,
Depends On,මත රඳා පවතී,
Description,විස්තර,
Desk,මේසය,
Discount (%),වට්ටම් (%),
Discount Amount,වට්ටමක් මුදල,
Discount Type,වට්ටම් වර්ගය,
Document Name,ලේඛන නම,
Document Type,ලේඛන වර්ගය,
Draft,කෙටුම්පත,
Due Date,ගෙවිය යුතු දිනය,
Email,විද්යුත් තැපෑල,
Email Address,විද්යුත් තැපැල් ලිපිනය,
Enabled,සක්රීය,
Error,දෝෂ,
Estimated Cost,තක්සේරු කළ පිරිවැය,
Expected End Date,අපේක්ෂිත අවසානය දිනය,
Expected Start Date,අපේක්ෂිත ඇරඹුම් දිනය,
Expired,කල් ඉකුත්,
Failed,අසමත්,
Field Type,ක්ෂේත්ර වර්ගය,
First Name,මුල් නම,
Float,පාවෙන,
From Date,දින සිට,
Full Name,සම්පූර්ණ නම,
Grand Total,මුලු එකතුව,
Hidden,සඟවා ඇත,
High,අධි,
Hold,පැවැත්වීමට,
Hours,පැය,
Idx,Idx,
In List View,ලැයිස්තුව දැක්වීම,
In Progress,ප්රගතියේ,
In Transit,ප්රවාහනයේ,
Inactive,අක්රියයි,
Inspected By,පරීක්ෂා කරන ලද්දේ,
Inspection Type,පරීක්ෂා වර්ගය,
Int,int,
Inventory,බඩු තොග,
Is Active,ක්රියාකාරී වේ,
Is Group,"සමූහය,",
Issue,නිකුත් කිරීම,
Issued,නිකුත් කල,
Item,අයිතමය,
Item Code,අයිතමය සංග්රහයේ,
Item Name,භාණ්ඩයෙ නම,
Items,අයිතම,
Key,යතුර,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Lab Technician,විද්යාගාරය,
Last Active,පසුගිය ක්රියාකාරී,
Last Name,අවසන් නම,
Location,ස්ථානය,
Logs,සටහන්,
Lost,අහිමි,
Low,අඩු,
Maintenance,නඩත්තු,
Manufacturer,නිෂ්පාදක,
Mappings,තාප්පින්ස්,
Medium,මධ්යම,
Method,ක්රමය,
Model,ආදර්ශ,
Modified By,කිරීම නවීකරණය කරන ලද,
Name,නම,
Naming Series,ශ්රේණි අනුප්රාප්තිකයා නම් කිරීම,
New,අලුත්,
Notes,සටහන්,
On Hold,රඳවා ගත්,
Open,විවෘත,
Operation,මෙහෙයුම්,
Other,වෙනත්,
Overdue,කල් පසු වු,
Owner,හිමිකරු,
Parameter,පරාමිතිය,
Parent Task,මාපිය කාර්යය,
Passed,සමත් විය,
Pending,විභාග,
Pending Review,විභාග සමාලෝචන,
Percent Complete,සම්පූර්ණයි,
Percentage,ප්‍රතිශතය,
Phone,දුරකථන,
Phone Number,දුරකතන අංකය,
Planning,සැලසුම්,
Portal,ද්වාරය,
Posting Date,"ගිය තැන, දිනය",
Priority,ප්රමුඛ,
Progress,ප්රගතිය,
Purchase,මිලදී,
Purchase Date,මිලදීගත් දිනය,
Purchase Order,ගැණුම් ඇණවුම,
Purchase Receipt,මිලදී ගැනීම කුවිතාන්සිය,
Qty,යවන ලද,
Quantity,ප්රමාණය,
Rate,අනුපාතය,
Rating,ශ්රේණිගත,
Read Only,පමණක් කියවන්න,
Reason,හේතුව,
Received,ලැබී,
Reference,විමර්ශන,
Reference DocType,යොමු ලේඛනය,
Reference Doctype,විමර්ශන DocType,
Reference Name,යොමු නම,
Rejected,ප්රතික්ෂේප,
Reload,රීලෝඩ්,
Remarks,සටහන්,
Reopen,යළි විවෘත,
Resolve,විසඳන්න,
Resolved,විසඳා ඇත,
Restore,නැවත,
Rounded Total,වටකුරු මුළු,
SMS,කෙටි පණිවිඩ,
Sales,විකුණුම්,
Sales Manager,අලෙවි කළමනාකරු,
Sales User,විකුණුම් පරිශීලක,
Scheduled,නියමිත,
Scheduled Date,නියමිත දිනය,
Section,අංශය,
Selling Price List,විකුණුම් මිල ලැයිස්තුව,
Serial No,අනුක්රමික අංකය,
Session Defaults,සැසි පෙරනිමි,
Setup,පිහිටුවීම,
Shipping,නාවික,
Signature,අත්සන,
Signed,අත්සන්,
Signed On,අත්සන් කර ඇත,
Small Text,කුඩා පෙළ,
Sold,අලෙවි,
Source DocType,මූලාශ්ර DocType,
Source Warehouse,මූලාශ්රය ගබඩාව,
Standard,සම්මත,
Start,ආරම්භය,
Status,තත්ත්වය,
Stock Entry,කොටස් සටහන්,
Stock UOM,කොටස් UOM,
Student,ශිෂ්ය,
Subject,විෂය,
Submit,ඉදිරිපත්,
Submitted,ඉදිරිපත්,
Subtotal,උප ශීර්ෂයට,
Suspended,අත්හිටුවන ලදි,
System Manager,පද්ධතිය කළමනාකරු,
Task,කාර්ය,
Task Description,කාර්ය විස්තරය,
Task Name,කාර්ය සාධක නම,
Task Type,කාර්ය වර්ගය,
Tasks,කාර්යයන්,
Template Name,සැකිල්ල නම,
Terms,කොන්දේසි,
Text,පෙළ,
Timestamp,අවකාශය ඇත්තේ පාලකයන්ට,
Title,ශීර්ෂය,
To Date,අදට,
Tools,මෙවලම්,
Total Cost,මුළු වියදම,
Totals,එකතූන්,
Type,වර්ගය,
UOM,UOM,
Unit,ඒකකය,
Unknown,නොදන්නා,
Unverified,තහවුරු කර නොමැත,
Urgent,හදිසි,
Valid From,සිට වලංගු වේ,
Valid Till,වලංගු ටී,
Valid Upto,දක්වා වලංගු වේ,
Valuation Rate,තක්සේරු අනුපාත,
Value,වටිනාකම,
Verification,සත්‍යාපනය,
Verified By,වන විට තහවුරු කර,
Version,පිටපත,
View Website,දැක්ම වෙබ් අඩවිය,
Warehouse,පොත් ගබඩාව,
Warranty,වගකීම්,
Workflow State,කාර්ය ප්රවාහ රාජ්ය,
Working,කම්කරු,
