API,API,
Accepted,Přijato,
Accounts User,Uživatel Účtů,
Action,Akce,
Actions,Akcie,
Active,Aktívny,
Actual Cost,Skutočné náklady,
Actual End Date,Skutečné datum ukončení,
Actual Start Date,Skutečné datum zahájení,
All,ALL,
Amended From,Platném znění,
Amount,Částka,
Approved,Schválený,
Archive,Archív,
Archived,Archivovaných,
Assigned To,Priradené (komu),
Attachments,Přílohy,
Available,K dispozici,
Brand,značka,
Buying Price List,Nákupný cenník,
Cancel,Zrušit,
Canceled,zrušený,
Cancelled,ZRUŠENÉ,
Category,Kategória,
Category Name,Názov kategórie,
Check,check,
Client,Klient,
Close,Zavrieť,
Closed,Zavreté,
Color,Farba,
Comment,komentár,
Comments,Komentáre,
Company,Spoločnosť,
Complete,Hotovo,
Completed,Dokončeno,
Component,komponentov,
Condition,Podmienka,
Contact,Kontakt,
Contact Email,Kontaktný e-mail,
Contact Phone,Kontaktujte telefón,
Conversion Rate,Konverzný kurz,
Created On,Vytvorené (kedy),
Currency,Mena,
Current Status,Aktuální stav,
Custom,Zvyk,
Customer,zákazník,
Customer ID,ID zákazníka,
Customer Name,Meno zákazníka,
Customer Type,Typ zákazníka,
Data,Údaje,
Date,Dátum,
Default,Východzie,
Default Company,Predvolená spoločnosť,
Default Item Group,Predvolená skupina položiek,
Default Priority,Predvolená priorita,
Default Source Warehouse,Výchozí zdroj Warehouse,
Default Value,Výchozí hodnota,
Defaults,Predvolené,
Delayed,Oneskorené,
Delivered,Dodané,
Depends On,Závisí na,
Description,popis,
Desk,Plocha,
Discount (%),Zľava (%),
Discount Amount,Čiastka zľavy,
Discount Type,Typ zľavy,
Document Name,Názov dokumentu,
Document Type,typ dokumentu,
Draft,Návrh,
Due Date,Datum splatnosti,
Email,e-mail,
Email Address,Emailová adresa,
Enabled,Zapnuto,
Error,Chyba,
Estimated Cost,Odhadované náklady,
Expected End Date,Očekávané datum ukončení,
Expected Start Date,Očekávané datum zahájení,
Expired,Vypršela,
Failed,Nepodarilo,
Field Type,Typ pole,
First Name,Meno,
Float,Desetinné číslo,
From Date,Od data,
Full Name,Celé meno/názov,
Grand Total,Celkem,
Hidden,skrytý,
High,Vysoké,
Hold,Držet,
Hours,hodiny,
Idx,idx,
In List View,V zozname,
In Progress,Pokrok,
In Transit,V preprave,
Inactive,neaktívne,
Inspected By,Zkontrolován,
Inspection Type,Kontrola Type,
Int,Celé číslo,
Inventory,inventár,
Is Active,Je Aktívny,
Is Group,Is Group,
Issue,Problém,
Issued,Vydané,
Item,položka,
Item Code,Kód položky,
Item Name,Názov položky,
Items,Položky,
Key,Kľúč,
Keyboard Shortcuts,Klávesové skratky,
Lab Technician,Laboratórny technik,
Last Active,Naposledy aktívny,
Last Name,Priezvisko,
Location,Místo,
Logs,Záznamy,
Lost,Ztracený,
Low,Nízké,
Maintenance,údržba,
Manufacturer,Výrobca,
Mappings,mapovanie,
Medium,Střední,
Method,Metoda,
Model,Modelka,
Modified By,pozmenená,
Name,Meno,
Naming Series,Číselné rady,
New,Nový,
Notes,Poznámky,
On Hold,Podržanie,
Open,Otvoriť,
Operation,Operace,
Other,Ostatní,
Overdue,Zpožděný,
Owner,Majitel,
Parameter,Parametr,
Parent Task,Rodičovská úloha,
Passed,Prešiel,
Pending,Čakajúce,
Pending Review,Čeká Review,
Percent Complete,Percento dokončené,
Percentage,percento,
Phone,Telefón,
Phone Number,Telefónne číslo,
Planning,Plánování,
Portal,Portál,
Posting Date,Dátum pridania,
Priority,Priorita,
Progress,pokrok,
Purchase,nákup,
Purchase Date,Dátum nákupu,
Purchase Order,Nákupná objednávka,
Purchase Receipt,Příjemka,
Qty,množstvo,
Quantity,množstvo,
Rate,Sadzba,
Rating,Rating,
