API,API,
Accepted,Sprejeto,
Accounts User,Računi uporabnikov,
Action,Dejanje,
Actions,Dejanja,
Active,Aktivno,
Actual Cost,Dejanski stroški,
Actual End Date,Dejanski končni datum,
Actual Start Date,Dejanski datum začetka,
All,Vse,
Amended From,Spremenjeni Od,
Amount,Znesek,
Approved,Odobreno,
Archive,Arhiv,
Archived,Arhivirano,
Assigned To,Dodeljeno,
Attachments,Priponke,
Available,Na voljo,
Brand,Brand,
Buying Price List,Nakupni cenik,
Cancel,Prekliči,
Canceled,Prekinjeno,
Cancelled,Prekinjeno,
Category,Kategorija,
Category Name,Ime kategorije,
Check,Preveri,
Client,Client,
Close,Zapri,
Closed,Zaprto,
Color,Barva,
Comment,Komentar,
Comments,Komentarji,
Company,Podjetje,
Complete,Končaj,
Completed,Končano,
Component,Komponenta,
Condition,Pogoj,
Contact,Kontakt,
Contact Email,Kontakt E-pošta,
Contact Phone,Kontaktni telefon,
Conversion Rate,Stopnja konverzije,
Created On,Ustvarjeno,
Currency,Valuta,
Current Status,Trenutni status,
Custom,Po meri,
Customer,Stranka,
Customer ID,identifikacijska številka stranke,
Customer Name,Ime stranke,
Customer Type,Vrsta stranke,
Data,Podatki,
Date,Datum,
Default,Privzeto,
Default Company,Privzeto Podjetje,
Default Item Group,Privzeto Element Group,
Default Priority,Privzeta prioriteta,
Default Source Warehouse,Privzeto Vir Skladišče,
Default Value,Privzeta vrednost,
Defaults,Privzete,
Delayed,Zapoznelo,
Delivered,Dostavljeno,
Depends On,Odvisno od,
Description,Opis,
Desk,Desk,
Discount (%),Popust (%),
Discount Amount,Popust Količina,
Discount Type,Vrsta popusta,
Document Name,Ime dokument,
Document Type,Vrsta dokumenta,
Draft,Osnutek,
Due Date,Datum zapadlosti,
Email,E-naslov,
Email Address,Email naslov,
Enabled,Omogočeno,
Error,Napaka,
Estimated Cost,Ocenjeni strošek,
Expected End Date,Pričakovani datum zaključka,
Expected Start Date,Pričakovani datum začetka,
Expired,Potekel,
Failed,Ni uspelo,
Field Type,Polje Tip,
First Name,Ime,
Float,Float,
From Date,Od datuma,
Full Name,Polno ime,
Grand Total,Skupna vsota,
Hidden,skrito,
High,Visoka,
Hold,Drži,
Hours,Ure,
Idx,IDX,
In List View,V pogledu seznama,
In Progress,V delu,
In Transit,V tranzitu,
Inactive,Neaktivno,
Inspected By,Pregledal,
Inspection Type,Tip pregleda,
Int,Int,
Inventory,Popis,
Is Active,Je aktiven,
Is Group,Is Group,
Issue,Težava,
Issued,Izdala,
Item,Postavka,
Item Code,Oznaka,
Item Name,Ime predmeta,
Items,Predmeti,
Key,Ključ,
Keyboard Shortcuts,Bližnjice na tipkovnici,
Lab Technician,Laboratorijski tehnik,
Last Active,Zadnja aktivnost,
Last Name,Priimek,
Location,Kraj,
Logs,Dnevniki,
Lost,Lost,
Low,Nizka,
Maintenance,Vzdrževanje,
Manufacturer,Proizvajalec,
Mappings,Mapping,
Medium,Medium,
Method,Metoda,
Model,Model,
Modified By,Spremenil,
Name,Name,
Naming Series,Poimenovanje zaporedja,
New,Novo,
Notes,Opombe,
On Hold,Na čakanju,
Open,Odprto,
Operation,Delovanje,
Other,Drugi,
Overdue,Zapadle,
Owner,Lastnik,
Parameter,Parameter,
Parent Task,Naloga staršev,
Passed,Uspešno,
Pending,V teku,
Pending Review,Dokler Pregled,
Percent Complete,Percent Complete,
Percentage,Odstotek,
Phone,Telefon,
Phone Number,Telefonska številka,
Planning,Načrtovanje,
Portal,Portal,
Posting Date,Napotitev Datum,
Priority,Prednost,
Progress,napredek,
Purchase,Nakup,
Purchase Date,Datum nakupa,
Purchase Order,Naročilnica,
Purchase Receipt,Potrdilo o nakupu,
Qty,Kol.,
Quantity,Količina,
Rate,Stopnja,
Rating,Ocena,
Read Only,Le za branje,
Reason,Razlog,
Received,Prejetih,
Reference,Sklicevanje,
Reference DocType,Referenčni DocType,
Reference Doctype,Referenčna DOCTYPE,
Reference Name,Referenčno ime,
Rejected,Zavrnjeno,
Reload,Osveži,
Remarks,Opombe,
Reopen,Ponovno odpre,
Resolve,Reši,
Resolved,Razrešeno,
Restore,Obnovitev,
Rounded Total,Zaokroženo skupaj,
SMS,SMS,
Sales,Prodaja,
Sales Manager,Vodja prodaje,
Sales User,Prodaja Uporabnik,
Scheduled,Načrtovano,
Scheduled Date,Načrtovano Datum,
Section,Oddelek,
Selling Price List,Prodajni cenik,
Serial No,Zaporedna številka,
Session Defaults,Privzete seje,
Setup,Nastavitve,
Shipping,Dostava,
Signature,Podpis,
Signed,Podpisano,
Signed On,Podpisano,
Small Text,Mala Besedilo,
Sold,Prodano,
Source DocType,Vir DocType,
Source Warehouse,Vir Skladišče,
Standard,Standardni,
Start,Začetek,
Status,Stanje,
Stock Entry,Stock Začetek,
Stock UOM,Stock UOM,
Student,Študent,
Subject,Predmet,
Submit,Submit,
Submitted,Predložen,
Subtotal,Vmesni seštevek,
Suspended,Suspendirano,
System Manager,System Manager,
Task,Naloga,
Task Description,Opis naloge,
Task Name,Ime naloga,
Task Type,Vrsta naloge,
Tasks,Naloge,
Template Name,Predloga Ime,
Terms,Pogoji,
Text,Besedilo,
Timestamp,Časovni žig,
Title,Naziv,
To Date,Če želite Datum,
Tools,Orodja,
Total Cost,Skupni stroški,
Totals,Pri zaokrožanju,
Type,Tip,
UOM,UOM,
Unit,Enota,
Unknown,Neznan,
Unverified,Nepreverjeno,
Urgent,Nujna,
Valid From,Velja od,
Valid Till,Veljavno do,
Valid Upto,Velja do,
Valuation Rate,Oceni Vrednotenje,
Value,Vrednost,
Verification,Preverjanje,
Verified By,Verified by,
Version,Različica,
View Website,View Website,
Warehouse,Skladišče,
Warranty,Garancija,
Workflow State,Workflow država,
Working,Delovna,
