API,API,
About,О,
Accepted,Прихваћено,
Accounts User,Књиговођа,
Action,Радња,
Actions,Радње,
Activate,Активирај,
Active,Активан,
Actual Cost,Стварни трошак,
Actual End Date,Стварни датум завршетка,
Actual Start Date,Стварни датум почетка,
All,Све,
Amended From,Измењено из,
Amount,Износ,
Approved,Одобрено,
Apps,Апликације,
Archive,Архивирај,
Archived,Архивирано,
Assigned To,Додељено,
Attachments,Прилози,
Available,Доступно,
Brand,Бренд,
Buying Price List,Ценовник набавке,
Cancel,Откажи,
Canceled,Отказано,
Cancelled,Отказано,
Category,Категорија,
Category Name,Назив категорије,
Check,Означи,
Client,Клијент,
Close,Затвори,
Closed,Затворено,
Color,Боја,
Comment,Коментар,
Comments,Коментари,
Company,Компанија,
Complete,Завршено,
Completed,Завршено,
Component,Компонента,
Condition,Услов,
Contact,Контакт,
Contact Email,Контакт имејл,
Contact Phone,Контакт телефон,
Conversion Rate,Стопа конверзије,
Created On,Креирано на,
Currency,Валута,
Current Status,Тренутни статус,
Custom,Прилагођено,
Customer,Купац,
Customer ID,идентификација купца,
Customer Name,Назив купца,
Customer Type,Врста купца,
Data,Подаци,
Date,Датум,
Default,Подразумевано,
Default Company,Подразумевана компанија,
Default Item Group,Подразумевана група ставки,
Default Priority,Подразумевани приоритет,
Default Source Warehouse,Подразумевано изворно складиште,
Default Value,Подразумевана вредност,
Defaults,Подразумевања подешавања,
Delayed,Кашњење,
Delivered,Испоручено,
Depends On,Зависи од,
Description,Опис,
Desk,Сто,
Discount (%),Попуст (%),
Discount Amount,Износ попуста,
Discount Type,Врста попуста,
Document Name,Назив документа,
Document Type,Врста документа,
Documentation,Документација,
Draft,Нацрт,
Due Date,Датум доспећа,
Email,Имејл,
Email Address,Имејл адреса,
Enabled,Омогућено,
Error,Грешка,
Estimated Cost,Процена трошкова,
Excellent,Одлично,
Expected End Date,Очекивани датум завршетка,
Expected Start Date,Очекивани датум почетка,
Expired,Истекло,
Failed,Неуспешно,
Field Type,Врста поља,
First Name,Име,
Float,Децимални број,
Frappe Support,Frappe подршка,
From Date,Датум почетка,
Full Name,Пуно име,
Grand Total,Укупно,
Hidden,Сакривено,
High,Висок,
Hold,Стави на чекање,
Hours,Часови,
Idx,Idx,
In List View,У приказу листе,
In Progress,У току,
In Transit,У транзиту,
Inactive,Неактиван,
Inspected By,Инспекцију извршио,
Inspection Type,Врста инспекције,
Int,Цео број,
Inventory,Инвентар,
Is Active,Активно,
Is Group,Група,
Issue,Издавање,
Issued,Издато,
Item,Ставка,
Item Code,Шифра ставке,
Item Name,Назив ставке,
Items,Ставке,
Key,Кључ,
Keyboard Shortcuts,Пречице на тастатури,
Lab Technician,Лаборант,
Last Active,Последња активност,
Last Name,Презиме,
Location,Локација,
Log Entries,Евиденција уноса,
Log out,Ођавите се,
Logs,Евиденције,
Lost,Изгубљено,
Low,Низак,
Maintenance,Одржавање,
Manufacturer,Произвођач,
Mappings,Маппингс,
Medium,Средње,
Meta,Мета,
Method,Метода,
Model,Модел,
Modified By,Измењено од стране,
My Settings,Moja podešavanja,
Name,Име,
Naming Series,Серија именовања,
New,Нови,
Notes,Напомене,
On Hold,На чекању,
Open,Отворено,
Operation,Операција,
Other,Остало,
Overdue,Прекорачено,
Overview,Преглед,
Owner,Власник,
Parameter,Параметар,
Parent Task,Матични задатак,
Passed,Задовољава,
Paused,Паузирано,
Pending,На чекању,
Pending Review,Преглед на чекању,
Percent Complete,Перцент Цомплете,
Percentage,Проценат,
Phone,Телефон,
Phone Number,Број телефона,
Planning,Планирање,
Portal,Портал,
Posting Date,Датум књижења,
Primary Email,Примарни имејл,
Primary Phone,Примарни телефон,
Priority,Приоритет,
Progress,Напредак,
Purchase,Набавка,
Purchase Date,Датум набавке,
Purchase Order,Набавна поруџбина,
Purchase Receipt,Пријемница набавке,
Qty,Количина,
Quantity,Количина,
Rate,Јединична цена,
Rating,Оцена,
Read Only,Увид,
Reason,Разлог,
Received,Примљено,
Reference,Референца,
Reference DocType,DocType Референца,
Reference Doctype,DocType Референца,
Reference Name,Назив референце,
Rejected,Одбијено,
Reload,Поновно учитавање,
Remarks,Напомене,
Reopen,Поново отвори,
Repair,Поправка,
Report an Issue,Пријави проблем,
Resolve,Решити,
Resolved,Решено,
Restore,Врати,
Returned,Враћено,
Rounded Total,Заокружени укупни износ,
Running,Покренуто,
SMS,SMS,
Sales,Продаја,
Sales Manager,Менаџер продаје,
Sales User,Корисник продаје,
Scheduled,Заказано,
Scheduled Date,Заказани датум,
