API,API,
About,Om,
Accepted,Godkänd,
Accounts User,Bokföring Användare,
Action,Åtgärd,
Actions,Åtgärder,
Activate,Aktivera,
Active,Aktiv,
Actual Cost,Faktisk Kostnad,
Actual End Date,Faktisk Slut Datum,
Actual Start Date,Faktisk Start Datum,
All,Alla,
Amended From,Ändrad Från,
Amount,Belopp,
Approved,Godkänd,
Apps,Appar,
Archive,Arkiv,
Archived,Arkiverad,
Assigned To,Tilldelad Till,
Attachments,Bilagor,
Available,Tillgängliga,
Brand,Märke,
Buying Price List,Inköp Prislista,
Cancel,Annullera,
Canceled,Annullerad,
Cancelled,Annullerad,
Category,Kategori,
Category Name,Kategori Namn,
Check,Check,
Client,Klient,
Close,Stäng,
Closed,Stängd,
Color,Färg,
Comment,Kommentar,
Comments,Kommentarer,
Company,Bolag,
Complete,Klar,
Completed,Klar,
Component,Komponent,
Condition,Villkor,
Contact,Kontakt,
Contact Email,Kontakt E-post,
Contact Phone,Kontakt Telefon,
Conversion Rate,Konvertering Sats,
Created On,Skapad,
Currency,Valuta,
Current Status,Aktuell Status,
Custom,Anpassad,
Customer,Kund,
Customer ID,Kundnummer,
Customer Name,Kund Namn,
Customer Type,Kund Typ,
Data,Data,
Date,Datum,
Default,Standard,
Default Company,Standard Bolag,
Default Item Group,Standard Artikel Grupp,
Default Priority,Standard Prioritet,
Default Source Warehouse,Standard Från Lager,
Default Value,Standard Värde,
Defaults,Standard,
Delayed,Försenad,
Delivered,Levererad,
Depends On,Beror På,
Description,Beskrivning,
Desk,Skrivbord,
Discount (%),Rabatt (%),
Discount Amount,Rabatt Belopp,
Discount Type,Rabatt Typ,
Document Name,Dokument Namn,
Document Type,DocType,
Documentation,Dokumentation,
Draft,Utkast,
Due Date,Förfallo Datum,
Email,E-post,
Email Address,E-post,
Enabled,Aktiverad,
Error,Fel,
Estimated Cost,Beräknad Kostnad,
Excellent,Utmärkt,
Expected End Date,Förväntad Slut Datum,
Expected Start Date,Förväntad Start Datum,
Expired,Utgången,
Failed,Misslyckad,
Field Type,Fält Typ ,
First Name,Förnamn,
Float,Flyttal,
Frappe Support,Frappe Support,
From Date,Från Datum,
Full Name,Namn,
Grand Total,Totalt Belopp,
Hidden,Dold ,
High,Hög,
Hold,Spärra,
Hours,Timmar,
Idx,Idx,
In List View,I Lista Vy,
In Progress,Pågående,
In Transit,I Transit,
Inactive,Inaktiv,
Inspected By,Kontrollerad Av,
Inspection Type,Kontroll Typ,
Int,Heltal,
Inventory,Lager,
Is Active,Är Aktiv,
Is Group,Är Grupp,
Issue,Ärende,
Issued,Utfärdad,
Item,Artikel,
Item Code,Artikel Kod,
Item Name,Artikel Namn,
Items,Artiklar,
Key,Nyckel,
Keyboard Shortcuts,Kort Kommando,
Lab Technician,Labbtekniker,
Last Active,Senast Aktiv,
Last Name,Efternamn,
Location,Plats,
Log Entries,Logg Poster,
Log out,Logga Ut,
Logs,Loggar,
Lost,Förlorad,
Low,Låg,
Maintenance,Service,
Manufacturer,Producent,
Mappings,avbildningar,
Medium,Medium,
Meta,Meta,
Method,Metod,
Model,Modell,
Modified By,Modifierad Av,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Name,Namn,
Naming Series,Namngivning Serie,
New,Ny,
Notes,Anteckningar,
OK,OK,
On Hold,Spärrad,
Open,Öppen,
Operation,Åtgärd,
Other,Annat,
Overdue,Försenad,
Overview,Recension ,
Owner,Ansvarig,
Parameter,Parameter,
Parent Task,Överordnad Uppgift,
Passed,Godkänd,
Paused,Pausad,
Pending,Pågående,
Pending Review,Väntar på Recension ,
Percent Complete,Procent Slutförd,
Percentage,Procent,
Phone,Telefon,
Phone Number,Telefon Nummer,
Planning,Planering,
Portal,Portal,
Posting Date,Registrering Datum,
Primary Email,Primär E-post,
Primary Phone,Primär Telefon,
Priority,Prioritet,
Progress,Framsteg,
Purchase,Inköp,
Purchase Date,Inköp Datum,
Purchase Order,Inköp Order,
Purchase Receipt,Inköp Följesedel,
Qty,Kvantitet,
Quantity,Kvantitet,
Rate,Pris,
Rating,Bedömning,
Read Only,Skrivskyddat,
Reason,Anledning,
Received,Mottaget,
Reference,Referens,
Reference DocType,Referens DocType,
Reference Doctype,Referens DocType,
Reference Name,Referens Namn,
Rejected,Avvisad,
Reload,Ladda om,
Remarks,Anmärkningar,
Reopen,Återöppna,
Repair,Reparera,
Repair Details,Reparation Detaljer,
Report an Issue,Rapportera Ärende,
Resolve,Lös,
Resolved,Löst,
Restore,Återställ,
Returned,Retur,
Rounded Total,Avrundad Totalt,
Running,Behandlar,
SMS,SMS,
Sales,Försäljning,
Sales Manager,Försäljning Ansvarig,
Sales User,Försäljning Användare,
Scheduled,Schemalagd,
Scheduled Date,Förväntad Datum,
Section,Sektion,
Selling Price List,Försäljning Prislista,
Serial No,Serie Nummer,
Session Defaults,Session Inställningar,
Setup,Inställning,
Shipping,Leverans,
Signature,Signatur,
Signed,Undertecknad,
Signed On,Undertecknad,
Small Text,Smal Text,
Sold,Såld,
Source DocType,Käll DocType,
Source Warehouse,Från Lager,
Standard,Standard,
Start,Start,
Started At,Startade,
Status,Status,
Stock Entry,Lager Post,
Stock UOM,Lager Enhet,
Student,Elev,
Subject,Ämne,
Submit,Godkänn,
Submitted,Godkänd,
Subtotal,Delsumma,
Suspended,Avstängd,
System Manager,System Ansvarig,
Task,Uppgift,
Task Description,Uppgift Beskrivning,
Task Name,Uppgift Namn,
Task Type,Uppgift Typ,
Tasks,Uppgifter,
Tax Amount,Momspliktig Belopp,
Template Name,Mall Namn,
Terms,Villkor,
Text,Text,
Timestamp,Tid Stämpel,
Title,Benämning,
To Date,Till Datum,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Tools,Verktyg,
Total Cost,Totalt Kostnad,
Totals,Totalt,
Type,Typ,
UOM,Enhet,
Unit,Enhet,
Unknown,Okänd,
Unverified,Obekräftad,
Urgent,Brådskande,
User Forum,Användare Forum,
Valid From,Gäller Från,
Valid Till,Giltig Till,
Valid Upto,Giltig till,
Valuation Rate,Grund Pris,
Value,Värde,
Verification,Verifiering,
Verified By,Verifierad Av,
Version,Version,
View Website,Visa Webbplats,
Warehouse,Lager,
Warranty,Garanti,
Workflow State,Arbetsflöde Tillstånd,
Working,Arbetande ,
