API,API,
Accepted,Imekubaliwa,
Accounts User,Mtumiaji wa Akaunti,
Action,Hatua,
Actions,Vitendo,
Active,Active,
Actual Cost,Gharama halisi,
Actual End Date,Tarehe ya mwisho ya mwisho,
Actual Start Date,Tarehe ya Kwanza ya Kuanza,
All,ZOTE,
Amended From,Imebadilishwa Kutoka,
Amount,Kiasi,
Approved,Imekubaliwa,
Archive,Sakinisha,
Archived,Imehifadhiwa,
Assigned To,Iliyopewa,
Attachments,Viambatisho,
Available,Inapatikana,
Brand,Brand,
Buying Price List,Kununua Orodha ya Bei,
Cancel,Futa,
Canceled,Imefutwa,
Cancelled,Kuweza,
Category,Jamii,
Category Name,Jina la Jamii,
Check,Angalia,
Client,Mteja,
Close,Funga,
Closed,Ilifungwa,
Color,Rangi,
Comment,Maoni,
Comments,Maoni,
Company,Kampuni,
Complete,Jaza,
Completed,Imekamilishwa,
Component,Kipengele,
Condition,Hali,
Contact,Wasiliana,
Contact Email,Mawasiliano ya barua pepe,
Contact Phone,Simu ya Mawasiliano,
Conversion Rate,Kiwango cha Kubadilisha,
Created On,Imeundwa Kwenye,
Currency,Fedha,
Current Status,Hali ya Sasa,
Custom,Desturi,
Customer,Wateja,
Customer ID,Kitambulisho cha Mteja,
Customer Name,Jina la Wateja,
Customer Type,Aina ya Wateja,
Data,Takwimu,
Date,Tarehe,
Default,Kwa kawaida,
Default Company,Kampuni ya Kichwa,
Default Item Group,Kikundi cha Kichwa cha Kichwa,
Default Priority,Kipaumbele Cha msingi,
Default Source Warehouse,Ghala la Chanzo cha Chanzo,
Default Value,Thamani ya Hitilafu,
Defaults,Hifadhi,
Delayed,Imechelewa,
Delivered,Imetolewa,
Depends On,Inategemea na,
Description,Maelezo,
Desk,Desk,
Discount (%),Punguzo (%),
Discount Amount,Kiasi cha Punguzo,
Discount Type,Aina ya Punguzo,
Document Name,Jina la Hati,
Document Type,Aina ya Hati,
Draft,Rasimu,
Due Date,Tarehe ya kukamilisha,
Email,Barua pepe,
Email Address,Barua pepe,
Enabled,Imewezeshwa,
Error,Hitilafu,
Estimated Cost,Gharama zilizohesabiwa,
Expected End Date,Tarehe ya Mwisho Inayotarajiwa,
Expected Start Date,Tarehe ya Mwanzo Inayotarajiwa,
Expired,Imekufa,
Failed,Imeshindwa,
Field Type,Aina ya Shamba,
First Name,Jina la kwanza,
Float,Fungua,
From Date,Kutoka Tarehe,
Full Name,Jina kamili,
Grand Total,Jumla ya Jumla,
Hidden,Siri,
High,Juu,
Hold,Weka,
Hours,Masaa,
Idx,Idx,
In List View,Katika Orodha ya Orodha,
In Progress,Inaendelea,
In Transit,Katika usafiri,
Inactive,Haikufanya kazi,
Inspected By,Iliyotambuliwa na,
Inspection Type,Aina ya Ukaguzi,
