API,ஏபிஐ,
Accepted,ஏற்கப்பட்டது,
Accounts User,பயனர் கணக்குகள்,
Action,செயல்,
Actions,செயல்கள்,
Active,செயலில்,
Actual Cost,சரியான விலை,
Actual End Date,உண்மையான முடிவு தேதி,
Actual Start Date,உண்மையான தொடக்க தேதி,
All,எல்லாம்,
Amended From,முதல் திருத்தப்பட்ட,
Amount,தொகை,
Approved,ஏற்பளிக்கப்பட்ட,
Archive,காப்பகம்,
Archived,காப்பகப்படுத்தியவை,
Assigned To,ஒதுக்கப்படும்,
Attachments,இணைப்புகள்,
Available,கிடைக்கக்கூடிய,
Brand,பிராண்ட்,
Buying Price List,கொள்முதல் விலைப் பட்டியல்,
Cancel,ரத்து,
Canceled,ரத்து,
Cancelled,ரத்து செய்யப்பட்டது,
Category,பகுப்பு,
Category Name,வகை பெயர்,
Check,சரிபார்க்கவும்,
Client,வாடிக்கையாளர்,
Close,மூடவும்,
Closed,மூடப்பட்ட,
Color,நிறம்,
Comment,கருத்து,
Comments,கருத்துகள்,
Company,நிறுவனம்,
Complete,முழுமையான,
Completed,நிறைவு,
Component,கூறு,
Condition,நிபந்தனை,
Contact,தொடர்பு,
Contact Email,மின்னஞ்சல் தொடர்பு,
Contact Phone,தொலைபேசியைத் தொடர்பு கொள்ளுங்கள்,
Conversion Rate,மாற்றம் விகிதம்,
Created On,அன்று உருவாக்கப்பட்டது,
Currency,நாணய,
Current Status,தற்போதைய நிலை,
Custom,விருப்ப,
Customer,வாடிக்கையாளர்,
Customer ID,வாடிக்கையாளர் ஐடி,
Customer Name,வாடிக்கையாளர் பெயர்,
Customer Type,வாடிக்கையாளர் வகை,
Data,தரவு,
Date,தேதி,
Default,இயல்புநிலை,
Default Company,முன்னிருப்பு நிறுவனத்தின்,
Default Item Group,இயல்புநிலை பொருள் குழு,
Default Priority,இயல்புநிலை முன்னுரிமை,
Default Source Warehouse,முன்னிருப்பு மூல கிடங்கு,
Default Value,முன்னிருப்பு மதிப்பு,
Defaults,இயல்புநிலைக்கு,
Delayed,தாமதமாக,
Delivered,வழங்கினார்,
Depends On,பொறுத்தது,
Description,விளக்கம்,
Desk,டெஸ்க்,
Discount (%),தள்ளுபடி (%),
Discount Amount,தள்ளுபடி தொகை,
Discount Type,தள்ளுபடி வகை,
Document Name,ஆவண பெயர்,
Document Type,ஆவண வகை,
Draft,வரைவு,
Due Date,காரணம் தேதி,
Email,மின்னஞ்சல்,
Email Address,மின்னஞ்சல் முகவரி,
Enabled,இயலுமைப்படுத்த,
Error,பிழை,
Estimated Cost,விலை மதிப்பீடு,
Expected End Date,எதிர்பார்க்கப்படுகிறது முடிவு தேதி,
Expected Start Date,எதிர்பார்க்கப்படுகிறது தொடக்க தேதி,
Expired,காலாவதியான,
Failed,தோல்வி,
Field Type,புலம் வகை,
First Name,முதல் பெயர்,
Float,மிதப்பதற்கு,
From Date,தேதி,
Full Name,முழு பெயர்,
Grand Total,ஆக மொத்தம்,
Hidden,மறைத்து,
High,உயர்,
Hold,பிடி,
Hours,மணி,
Idx,அச்சுக்கோப்புகளை வாசிக்க,
In List View,பட்டியல் பார்வை,
In Progress,முன்னேற்றம்,
In Transit,நடு வழியில்,
Inactive,செயல்படா,
Inspected By,மூலம் ஆய்வு,
Inspection Type,ஆய்வு அமைப்பு,
