API,API,
Accepted,Accepted,
Accounts User,యూజర్ ఖాతాలను,
Action,యాక్షన్,
Actions,చర్యలు,
Active,Active,
Actual Cost,అసలు ఖరీదు,
Actual End Date,వాస్తవిక ముగింపు తేదీ,
Actual Start Date,వాస్తవ ప్రారంభ తేదీ,
All,ALL,
Amended From,సవరించిన,
Amount,మొత్తం,
Approved,ఆమోదించబడింది,
Archive,ఆర్కైవ్,
Archived,బధ్రపరచబడింది,
Assigned To,కేటాయించిన,
Attachments,అటాచ్మెంట్లు,
Available,అందుబాటులో,
Brand,బ్రాండ్,
Buying Price List,ధర జాబితా కొనుగోలు,
Cancel,రద్దు,
Canceled,రద్దు,
Cancelled,రద్దు,
Category,వర్గం,
Category Name,వర్గం పేరు,
Check,తనిఖీ,
Client,క్లయింట్,
Close,Close,
Closed,ముగించబడినది,
Color,రంగు,
Comment,వ్యాఖ్య,
Comments,వ్యాఖ్యలు,
Company,కంపెనీ,
Complete,పూర్తి,
Completed,పూర్తయింది,
Component,కాంపోనెంట్,
Condition,కండిషన్,
Contact,సంప్రదించండి,
Contact Email,సంప్రదించండి ఇమెయిల్,
Contact Phone,ఫోన్‌ను సంప్రదించండి,
Conversion Rate,మారకపు ధర,
Created On,న రూపొందించబడింది,
Currency,కరెన్సీ,
Current Status,ప్రస్తుత స్థితి,
Custom,కస్టమ్,
Customer,కస్టమర్,
Customer ID,కస్టమర్ ఐడి,
Customer Name,వినియోగదారుని పేరు,
Customer Type,కస్టమర్ పద్ధతి,
Data,సమాచారం,
Date,తేదీ,
Default,డిఫాల్ట్,
Default Company,డిఫాల్ట్ కంపెనీ,
Default Item Group,డిఫాల్ట్ అంశం గ్రూప్,
Default Priority,డిఫాల్ట్ ప్రాధాన్యత,
Default Source Warehouse,డిఫాల్ట్ మూల వేర్హౌస్,
Default Value,డిఫాల్ట్ విలువ,
Defaults,అప్రమేయం,
Delayed,ఆలస్యం,
Delivered,పంపిణీ,
Depends On,ఆధారపడి,
Description,వివరణ,
Desk,డెస్క్,
Discount (%),డిస్కౌంట్ (%),
Discount Amount,డిస్కౌంట్ మొత్తం,
Discount Type,డిస్కౌంట్ రకం,
Document Name,డాక్యుమెంట్ పేరు,
Document Type,డాక్యుమెంట్ టైప్,
Draft,డ్రాఫ్ట్,
Due Date,గడువు తేదీ,
Email,ఇమెయిల్,
Email Address,ఇమెయిల్ చిరునామా,
Enabled,ప్రారంభించబడ్డ,
Error,లోపం,
Estimated Cost,అంచనా వ్యయం,
Expected End Date,ఊహించినది ముగింపు తేదీ,
Expected Start Date,ఊహించిన ప్రారంభ తేదీ,
Expired,గడువు,
Failed,విఫలమైంది,
Field Type,క్షేత్ర రకం,
First Name,మొదటి పేరు,
Float,ఫ్లోట్,
From Date,తేదీ నుండి,
Full Name,పూర్తి పేరు,
Grand Total,సంపూర్ణ మొత్తము,
Hidden,దాగి,
High,హై,
Hold,హోల్డ్,
Hours,గంటలు,
Idx,IDX,
In List View,జాబితా వీక్షణ లో,
In Progress,ప్రోగ్రెస్లో ఉంది,
In Transit,రవాణాలో,
Inactive,క్రియారహిత,
Inspected By,తనిఖీలు,
Inspection Type,ఇన్స్పెక్షన్ టైప్,
Int,Int,
Inventory,ఇన్వెంటరీ,
Is Active,చురుకుగా ఉంది,
Is Group,సమూహ,
Issue,సమస్య,
Issued,జారి చేయబడిన,
Item,అంశం,
Item Code,Item కోడ్,
Item Name,వస్తువు పేరు,
Items,అంశాలు,
Key,కీ,
Keyboard Shortcuts,కీబోర్డ్ సత్వరమార్గాలు,
Lab Technician,ల్యాబ్ టెక్నీషియన్,
Last Active,సక్రియ చివరి,
Last Name,చివరి పేరు,
Location,నగర,
Logs,చిట్టాలు,
Lost,లాస్ట్,
Low,తక్కువ,
Maintenance,నిర్వహణ,
Manufacturer,తయారీదారు,
Mappings,మాపింగ్లు,
Medium,మీడియం,
Method,విధానం,
Model,మోడల్,
Modified By,ద్వారా సవరించబడింది,
Name,పేరు,
Naming Series,నామకరణ సిరీస్,
New,న్యూ,
Notes,గమనికలు,
On Hold,హోల్డ్ ఆన్,
Open,ఓపెన్,
Operation,ఆపరేషన్,
Other,ఇతర,
Overdue,మీరిన,
Owner,యజమాని,
Parameter,పరామితి,
Parent Task,మాతృ టాస్క్,
Passed,ఉత్తీర్ణత,
Pending,పెండింగ్,
Pending Review,సమీక్ష పెండింగ్లో,
Percent Complete,శాతం పూర్తయింది,
Percentage,శాతం,
Phone,ఫోన్,
Phone Number,ఫోను నంబరు,
Planning,ప్లానింగ్,
Portal,పోర్టల్,
Posting Date,పోస్ట్ చేసిన తేదీ,
Priority,ప్రాధాన్య,
Progress,ప్రోగ్రెస్,
Purchase,కొనుగోలు,
Purchase Date,కొనిన తేదీ,
Purchase Order,కొనుగోలు ఆర్డర్,
Purchase Receipt,కొనుగోలు రసీదులు,
Qty,ప్యాక్ చేసిన అంశాల,
Quantity,పరిమాణం,
Rate,రేటు,
Rating,రేటింగ్,
Read Only,చదవడానికి మాత్రమే,
Reason,కారణము,
Received,స్వీకరించిన,
Reference,సూచన,
Reference DocType,రిఫరెన్స్ డాక్ టైప్,
Reference Doctype,సూచన DOCTYPE,
Reference Name,సూచన పేరు,
Rejected,తిరస్కరించబడిన,
Reload,Reload,
Remarks,విశేషాంశాలు,
Reopen,మళ్ళీ తెరువు,
Resolve,పరిష్కరించండి,
Resolved,పరిష్కరించబడింది,
Restore,పునరుద్ధరించు,
Rounded Total,నున్నటి మొత్తం,
SMS,SMS,
Sales,సేల్స్,
Sales Manager,అమ్మకాల నిర్వాహకుడు,
Sales User,సేల్స్ వాడుకరి,
Scheduled,షెడ్యూల్డ్,
Scheduled Date,షెడ్యూల్డ్ తేదీ,
Section,విభాగం,
