API,API,
Accepted,ได้รับการยอมรับแล้ว,
Accounts User,ผู้ใช้งานบัญชี,
Action,ดำเนินการ,
Actions,การดำเนินการ,
Active,ใช้งาน,
Actual Cost,ต้นทุนที่แท้จริง,
Actual End Date,วันที่สิ้นสุดจริง,
Actual Start Date,วันที่เริ่มต้นจริง,
All,ทั้งหมด,
Amended From,แก้ไขเพิ่มเติมจาก,
Amount,จำนวน,
Approved,ได้รับการอนุมัติ,
Archive,เอกสารเก่า,
Archived,เก็บไว้,
Assigned To,มอบหมายให้,
Attachments,สิ่งที่แนบมา,
Available,ที่มีจำหน่าย,
Brand,ยี่ห้อ,
Buying Price List,รายการราคาซื้อ,
Cancel,ยกเลิก,
Canceled,ยกเลิก,
Cancelled,ยกเลิก,
Category,ประเภท,
Category Name,ชื่อหมวดหมู่,
Check,ตรวจสอบ,
Client,ลูกค้า,
Close,ปิด,
Closed,ปิด,
Color,สี,
Comment,คิดเห็น,
Comments,ความเห็น,
Company,บริษัท,
Complete,ที่สมบูรณ์แบบ,
Completed,เสร็จ,
Component,ตัวแทน,
Condition,สภาพ,
Contact,ติดต่อ,
Contact Email,ติดต่ออีเมล์,
Contact Phone,เบอร์โทรติดต่อ,
Conversion Rate,อัตราการแปลง,
Created On,สร้างเมื่อ,
Currency,เงินตรา,
Current Status,สถานะปัจจุบัน,
Custom,ประเพณี,
Customer,ลูกค้า,
Customer ID,รหัสลูกค้า,
Customer Name,ชื่อลูกค้า,
Customer Type,ประเภทลูกค้า,
Data,ข้อมูล,
Date,วันที่,
Default,ค่าเริ่มต้น,
Default Company,บริษัท เริ่มต้น,
Default Item Group,กลุ่มสินค้าเริ่มต้น,
Default Priority,ระดับความสำคัญเริ่มต้น,
Default Source Warehouse,คลังสินค้าที่มาเริ่มต้น,
Default Value,ค่าเริ่มต้น,
Defaults,ค่าเริ่มต้น,
Delayed,ล่าช้า,
Delivered,จัดส่งแล้ว,
Depends On,ขึ้นอยู่กับ,
Description,คำอธิบาย,
Desk,เคาน์เตอร์,
Discount (%),ส่วนลด (%),
Discount Amount,จำนวน ส่วนลด,
Discount Type,ประเภทส่วนลด,
Document Name,ชื่อเอกสาร,
Document Type,ประเภทเอกสาร,
Documentation,เอกสารประกอบ,
Draft,ร่าง,
Due Date,วันที่ครบกำหนด,
Email,อีเมล,
Email Address,ที่อยู่อีเมล,
Enabled,เปิดใช้งานแล้ว,
Error,ข้อผิดพลาด,
Estimated Cost,ต้นทุนโดยประมาณ,
Expected End Date,วันที่สิ้นสุดที่คาดหวัง,
Expected Start Date,วันที่เริ่มต้นที่คาดหวัง,
Expired,หมดอายุ,
Failed,ล้มเหลว,
Field Type,ฟิลด์ชนิด,
First Name,ชื่อแรก,
Float,ลอย,
From Date,จากวันที่,
Full Name,ชื่อเต็ม,
Grand Total,ยอดรวมทั้งหมด,
Hidden,ซ่อนเร้น,
High,สูง,
Hold,ระงับ,
Hours,ชั่วโมง,
Idx,IDX,
In List View,ในมุมมองรายการ,
In Progress,กำลังดำเนินการ,
In Transit,อยู่ระหว่างการขนส่ง,
Inactive,ไม่ใช้งาน,
Inspected By,ตรวจสอบโดย,
Inspection Type,ประเภทการตรวจสอบ,
Int,int,
Inventory,รายการสินค้า,
Is Active,มีการใช้งาน,
Is Group,เป็นกลุ่ม,
Issue,ปัญหา,
Issued,ออกแล้ว,
Item,รายการ,
Item Code,รหัสรายการ,
Item Name,ชื่อรายการ,
Items,รายการ,
Key,คีย์,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Lab Technician,ช่างเทคนิคห้องปฏิบัติการ,
Last Active,เคลื่อนไหวล่าสุด,
Last Name,นามสกุล,
Location,ตำแหน่ง,
Log Entries,รายการบันทึก,
Logs,บันทึก,
Lost,สูญหาย,
Low,ต่ำ,
Maintenance,การบำรุงรักษา,
Manufacturer,ผู้ผลิต,
Mappings,แมป,
Medium,ปานกลาง,
Method,วิธี,
Model,รุ่น,
Modified By,แก้ไขโดย,
Name,ชื่อ,
Naming Series,ชุดการตั้งชื่อ,
New,ใหม่,
Notes,บันทึก,
On Hold,ระงับ,
Open,เปิด,
Operation,การทำงาน,
Other,อื่นๆ,
Overdue,เกินกำหนด,
Overview,ภาพรวม,
Owner,เจ้าของ,
Parameter,พารามิเตอร์,
Parent Task,งานผู้ปกครอง,
Passed,ผ่านแล้ว,
Paused,หยุดชั่วคราวแล้ว,
Pending,คาราคาซัง,
Pending Review,รอตรวจทาน,
Percent Complete,เปอร์เซ็นต์ที่สมบูรณ์,
Percentage,ร้อยละ,
Phone,โทรศัพท์,
Phone Number,หมายเลขโทรศัพท์,
Planning,การวางแผน,
Portal,พอร์ทัล,
Posting Date,วันที่โพสต์,
Priority,ลำดับความสำคัญ,
Progress,ความคืบหน้า,
Purchase,การซื้อ,
Purchase Date,วันที่ซื้อ,
Purchase Order,คำสั่งซื้อ,
Purchase Receipt,ใบรับซื้อ,
Qty,ปริมาณ,
Quantity,ปริมาณ,
Rate,อัตรา,
Rating,อันดับ,
Read Only,อ่านอย่างเดียว,
Reason,เหตุผล,
Received,ได้รับ,
Reference,อ้างอิง,
Reference DocType,ประเภทเอกสารอ้างอิง,
Reference Doctype,ประเภทเอกสารอ้างอิง,
Reference Name,ชื่ออ้างอิง,
Rejected,ถูกปฏิเสธ,
Reload,โหลด,
Remarks,ข้อสังเกต,
Reopen,เปิดใหม่,
Report an Issue,รายงานปัญหา,
Resolve,แก้ไข,
Resolved,แก้ไขแล้ว,
Restore,ฟื้นฟู,
Returned,คืนแล้ว,
Rounded Total,ยอดรวมปัดเศษ,
SMS,ข้อความ,
Sales,การขายสินค้า,
Sales Manager,ผู้จัดการฝ่ายขาย,
Sales User,ผู้ใช้การขาย,
Scheduled,กำหนด,
Scheduled Date,วันที่กำหนด,
Section,มาตรา,
Selling Price List,รายการราคาขาย,
Serial No,อนุกรมไม่มี,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Setup,การตั้งค่า,
Shipping,การส่งสินค้า,
Signature,ลายเซ็น,
Signed,ลงนาม,
