API,API,
About,Hakkında,
Accepted,Kabul Edildi,
Accounts User,Muhasebe Kullanıcısı,
Action,İşlem,
Actions,İşlemler,
Activate,Etkinleştir,
Active,Aktif,
Actual Cost,Gerçek Maliyet,
Actual End Date,Gerçek Bitiş Tarihi,
Actual Start Date,Gerçekleşen Başlama Tarihi,
All,Tümü,
Amended From,Değiştirildi,
Amount,Tutar,
Apps,Uygulamalar,
Archive,Arşiv,
Archived,Arşivlendi,
Assigned To,Atama,
Attachments,Belge Ekleri,
Available,Mevcut,
Brand,Marka,
Buying Price List,Alış Fiyat Listesi,
Cancel,İptal,
Canceled,İptal Edildi,
Cancelled,İptal edildi,
Category,Kategori,
Category Name,Kategori Adı,
Check,Kontrol et,
Client,Müşteri,
Close,Kapat,
Closed,Kapandı,
Color,Renk,
Comment,Yorum Yap,
Comments,Yorumlar,
Company,Şirket,
Complete,Tamamla,
Completed,Tamamlandı,
Component,Bileşen,
Condition,Koşul,
Contact,Kişi,
Contact Email,İletişim E-Posta,
Contact Phone,İrtibat Telefonu,
Conversion Rate,Dönüşüm Oranı,
Created On,Oluşturulma Zamanı,
Currency,Para Birimi,
Current Status,Mevcut Durum,
Custom,Özel,
Customer,Müşteri,
Customer ID,Müşteri Kimliği,
Customer Name,Müşteri Adı,
Customer Type,Müşteri Türü,
Data,Veri,
Date,Tarih,
Default,Varsayılan,
Default Company,Varsayılan Şirket,
Default Item Group,Varsayılan Ürün Grubu,
Default Priority,Varsayılan Öncelik,
Default Source Warehouse,Varsayılan Kaynak Depo,
Default Value,Varsayılan Değer,
Defaults,Varsayılan Değerler,
Delayed,Gecikti,
Delivered,Teslim Edildi,
Depends On,Bağlı,
Description,Açıklama,
Discount (%),İndirim (%),
Discount Amount,İndirim Tutarı,
Discount Type,İndirim Türü,
Document Name,Belge Adı,
Document Type,Belge Türü,
Documentation,Dökümantasyon,
Draft,Taslak,
Due Date,Termin Tarihi,
Email,E-posta,
Email Address,E-Posta Adresi,
Enabled,Aktif,
Error,Hata,
Estimated Cost,Tahmini Maliyet,
Excellent,Mükemmel,
Expected End Date,Beklenen Bitiş Tarihi,
Expected Start Date,Beklenen Başlangıç Tarihi,
Expired,Günü Geçmiş,
Failed,Başarısız,
Field Type,Alan Türü,
First Name,Adı,
Float,Ondalık,
Frappe Support,Frappe Desteği,
From Date,Başlangıç Tarihi,
Full Name,Tam Adı,
Grand Total,Genel Toplam,
Hidden,Gizli,
High,Yüksek,
Hold,Beklemede,
Hours,Saat,
In List View,Liste Görünümünde Göster,
