API,API,
Accepted,Прийняті,
Accounts User,Облікові записи користувачів,
Action,Дія,
Actions,Заходи,
Active,Активний,
Actual Cost,Фактична вартість,
Actual End Date,Фактична Дата закінчення,
Actual Start Date,Фактична дата початку,
All,ВСІ,
Amended From,Відновлено з,
Amount,Сума,
Approved,Затверджений,
Archive,архів,
Archived,Читальний зал,
Assigned To,Призначено,
Attachments,Долучення,
Available,наявний,
Brand,Бренд,
Buying Price List,Купівля прайс-листа,
Cancel,Скасувати,
Canceled,Скасовано,
Cancelled,ВІДМОВЛЕНО,
Category,Категорія,
Category Name,Категорія Ім&#39;я,
Check,Перевірити,
Client,Клієнт,
Close,Закрити,
Closed,Закрито,
Color,Колір,
Comment,Прокоментуйте,
Comments,Коментарі,
Company,Компанія,
Complete,Повний,
Completed,Завершено,
Component,компонент,
Condition,Стан,
Contact,Контакт,
Contact Email,Контактний Email,
Contact Phone,Контактний телефон,
Conversion Rate,Обмінний курс,
Created On,Дата створення,
Currency,Валюта,
Current Status,Поточний стан,
Custom,Звичай,
Customer,Клієнт,
Customer ID,Ідентифікатор клієнта,
Customer Name,Ім&#39;я клієнта,
Customer Type,Тип клієнта,
Data,Дані,
Date,Дата,
Default,За замовчуванням,
Default Company,За замовчуванням Компанія,
Default Item Group,Група за замовчуванням,
Default Priority,Пріоритет за замовчуванням,
Default Source Warehouse,Склад - джерело за замовчуванням,
Default Value,Значення за замовчуванням,
Defaults,За замовчуванням,
Delayed,Затримується,
Delivered,Доставлено,
Depends On,Залежить від,
Description,Опис,
Desk,Стільниця,
Discount (%),Знижка (%),
Discount Amount,Сума знижки,
Discount Type,Тип знижки,
Document Name,Назва документа,
Document Type,Тип документу,
Draft,Чернетка,
Due Date,Термін оплати,
Email,EMail,
Email Address,Адреса електронної пошти,
Enabled,Включено,
Error,Помилка,
Estimated Cost,Орієнтовна вартість,
Expected End Date,Очікувана Дата закінчення,
Expected Start Date,Очікувана дата початку,
Expired,Закінчився,
Failed,Не вдалося,
Field Type,Поле Тип,
First Name,Ім&#39;я,
Float,Поплавок,
From Date,З дати,
Full Name,Повне ім&#39;я,
Grand Total,Загальний підсумок,
Hidden,Приховано,
High,Високий,
Hold,Тримати,
Hours,Години,
Idx,Idx,
In List View,У вигляді списку,
In Progress,В процесі,
In Transit,В дорозі,
Inactive,Неактивний,
Inspected By,Перевірено,
Inspection Type,Тип інспекції,
Int,Int,
Inventory,Інвентаризація,
Is Active,Активний,
Is Group,це група,
Issue,Проблема,
Issued,Виданий,
Item,Номенклатура,
Item Code,Код товару,
Item Name,Назва виробу,
Items,Номенклатура,
Key,Ключ,
Keyboard Shortcuts,Гарячі клавіши,
Lab Technician,Технічна лабораторія,
Last Active,Останнє відвідування,
Last Name,Прізвище,
Location,Місцезнаходження,
Logs,Колоди,
Lost,Втрачений,
Low,Низький,
Maintenance,Технічне обслуговування,
Manufacturer,Виробник,
Mappings,Зображень,
Medium,Середній,
Method,Метод,
Model,Модель,
Modified By,Змінено,
Name,Ім&#39;я,
Naming Series,Іменування серії,
New,Нові,
Notes,Примітки,
On Hold,На утриманні,
Open,Відкрито,
Operation,Операція,
Other,Інший,
Overdue,Прострочені,
Owner,Власник,
Parameter,Параметр,
Parent Task,Батьківська задача,
Passed,Пройшов,
Pending,До,
Pending Review,В очікуванні відгук,
Percent Complete,Відсоток завершено,
Percentage,Відсоток,
Phone,Телефон,
Phone Number,Номер телефону,
Planning,Планування,
Portal,Портал,
Posting Date,Дата створення/розміщення,
Priority,Пріоритет,
Progress,прогрес,
Purchase,Купівля,
Purchase Date,Дата покупки,
Purchase Order,Замовлення на придбання,
Purchase Receipt,Прихідна накладна,
Qty,К-сть,
Quantity,Кількість,
Rate,Ціна,
Rating,рейтинг,
Read Only,Лише для читання,
Reason,Причина,
Received,Надійшло,
Reference,Посилання,
Reference DocType,Довідковий тип DocType,
Reference Doctype,Посилання DocType,
Reference Name,Довідкове ім’я,
Rejected,Відхилено,
Reload,Оновити,
Remarks,Зауваження,
Reopen,Відновити,
Resolve,Вирішити,
Resolved,Вирішено,
Restore,Відновлення,
Rounded Total,Заокруглений підсумок,
SMS,СМС,
Sales,Продаж,
Sales Manager,Менеджер з продажу,
Sales User,Продажі Користувач,
Scheduled,Заплановане,
Scheduled Date,Запланована дата,
Section,Розділ,
Selling Price List,Ціновий продаж,
Serial No,Серійний номер,
Session Defaults,За замовчуванням сесії,
Setup,Встановлення,
Shipping,Доставка,
Signature,Підпис,
Signed,Підписаний,
Signed On,Підписано,
Small Text,Малий Текст,
Sold,проданий,
Source DocType,Джерело DocType,
Source Warehouse,Вихідний склад,
Standard,Стандарт,
Start,Початок,
Status,Стан,
Stock Entry,Рух ТМЦ,
Stock UOM,Одиниця виміру запасів,
Student,Студент,
Subject,Тема,
Submit,Провести,
Submitted,Проведено,
Subtotal,проміжний підсумок,
Suspended,Призупинено,
System Manager,Менеджер системи,
Task,Завдання,
Task Description,Опис завдання,
Task Name,Ім&#39;я завдання,
Task Type,Тип завдання,
Tasks,Завдання,
Template Name,ім&#39;я шаблону,
Terms,Положення,
Text,Текст,
Timestamp,Відмітка,
Title,Назва,
To Date,По дату,
Tools,Інструменти,
Total Cost,Загальна вартість,
Totals,Загальні дані,
Type,Тип,
UOM,UOM,
Unit,Блок,
Unknown,невідомий,
Unverified,Неперевірений,
Urgent,Терміновий,
Valid From,Діє з,
Valid Till,Дійсний до,
Valid Upto,Дійсний до,
Valuation Rate,Собівартість,
Value,Значення,
Verification,Перевірка,
Verified By,Перевірено,
Version,Версія,
View Website,Подивитися веб-сайт,
Warehouse,Склад,
Warranty,Гарантія,
Workflow State,Стан робочого процесу,
Working,Робоча,
