API,API,
Accepted,قبول کر لیا,
Accounts User,صارف اکاؤنٹس,
Action,ایکشن,
Actions,عوامل,
Active,ایکٹو,
Actual Cost,اصل قیمت,
Actual End Date,اصل تاریخ اختتام,
Actual Start Date,اصل شروع کرنے کی تاریخ,
All,سب,
Amended From,سے ترمیم شدہ,
Amount,رقم,
Approved,منظور,
Archive,محفوظ شدہ دستاویزات,
Archived,نوٹسز,
Assigned To,مقرر کیا، مقرر کرنا,
Attachments,ملحقات,
Available,دستیاب,
Brand,برانڈ,
Buying Price List,قیمت کی فہرست خریدنا,
Cancel,منسوخ,
Canceled,منسوخ,
Cancelled,منسوخ,
Category,زمرہ,
Category Name,قسم کا نام,
Check,چیک کریں,
Client,کلائنٹ,
Close,بند کریں,
Closed,بند,
Color,رنگین,
Comment,تبصرہ,
Comments,تبصرے,
Company,کمپنی,
Complete,مکمل,
Completed,مکمل,
Component,اجزاء,
Condition,حالت,
Contact,رابطہ کریں,
Contact Email,رابطہ ای میل,
Contact Phone,رابطے کا فون,
Conversion Rate,تبادلوں کی شرح,
Created On,پر پیدا کیا,
Currency,کرنسی,
Current Status,موجودہ حیثیت,
Custom,اپنی مرضی کے مطابق,
Customer,کسٹمر,
Customer ID,گاہک کی شناخت,
Customer Name,گاہک کا نام,
Customer Type,کسٹمر کی قسم,
Data,ڈیٹا,
Date,تاریخ,
Default,پہلے سے طے شدہ,
Default Company,پہلے سے طے شدہ کمپنی,
Default Item Group,پہلے سے طے شدہ آئٹم گروپ,
Default Priority,پہلے سے طے شدہ ترجیح,
Default Source Warehouse,پہلے سے طے شدہ ماخذ گودام,
Default Value,ڈیفالٹ قدر,
Defaults,ڈیفالٹس,
Delayed,تاخیر,
Delivered,ہونے والا,
Depends On,منحصرکرتاہے,
Description,تفصیل,
Desk,ڈیسک,
Discount (%),چھوٹ (٪),
Discount Amount,ڈسکاؤنٹ رقم,
Discount Type,ڈسکاؤنٹ کی قسم,
Document Name,دستاویز کا نام,
Document Type,دستاویز کی قسم,
Draft,ڈرافٹ,
Due Date,اخری تاریخ,
Email,ای میل,
Email Address,ای میل اڈریس,
Enabled,فعال,
Error,خرابی,
Estimated Cost,تخمینی لاگت,
Expected End Date,متوقع تاریخ اختتام,
Expected Start Date,متوقع شروع کرنے کی تاریخ,
Expired,میعاد ختم ہوگئی,
Failed,ناکام,
Field Type,فیلڈ کی قسم,
First Name,نام,
Float,فلوٹ,
From Date,تاریخ سے,
Full Name,پورا نام,
Grand Total,مجموعی عدد,
Hidden,پوشیدہ,
High,ہائی,
Hold,پکڑو,
Hours,گھنٹے,
Idx,IDX,
In List View,فہرست ویو میں,
In Progress,کام جاری ہے,
In Transit,ٹرانزٹ میں,
Inactive,غیر فعال,
Inspected By,کی طرف سے معائنہ,
Inspection Type,معائنہ کی قسم,
Int,INT,
Inventory,انوینٹری,
Is Active,فعال ہے,
Is Group,ہے گروپ,
Issue,مسئلہ,
Issued,جاری کردیا گیا,
Item,آئٹم,
Item Code,آئٹم کوڈ,
Item Name,شے کا نام,
Items,اشیا,
Key,کلیدی,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Lab Technician,ماہر تجربہ گاہ,
Last Active,ایکٹو آخری,
Last Name,آخری نام,
Location,مقام,
Logs,کھنگالیں,
Lost,کھو,
Low,کم,
Maintenance,بحالی,
Manufacturer,ڈویلپر,
Mappings,نقشہ جات,
Medium,میڈیم,
Method,طریقہ,
Model,ماڈل,
Modified By,طرف سے نظر ثانی,
Name,نام,
Naming Series,نام سیریز,
New,نئی,
Notes,نوٹس,
On Hold,پکڑو,
Open,کھولیں,
Operation,آپریشن,
Other,دیگر,
Overdue,اتدیئ,
Owner,مالک,
Parameter,پیرامیٹر,
Parent Task,والدین کا کام,
Passed,پاس ہوا,
Pending,زیر غور,
Pending Review,زیر جائزہ,
Percent Complete,فی صد مکمل,
Percentage,پرسنٹیج,
Phone,فون,
Phone Number,فون نمبر,
Planning,منصوبہ بندی,
Portal,پورٹل,
Posting Date,پوسٹنگ کی تاریخ,
Priority,ترجیح,
Progress,پیش رفت,
Purchase,خریداری,
Purchase Date,خریداری کی تاریخ,
Purchase Order,خریداری کے آرڈر,
Purchase Receipt,خریداری کی رسید,
Qty,مقدار,
Quantity,مقدار,
Rate,شرح,
Rating,درجہ بندی,
Read Only,صرف پڑھو,
Reason,وجہ,
Received,موصول,
Reference,حوالہ,
Reference DocType,حوالہ ڈاکٹائپ,
Reference Doctype,حوالہ DOCTYPE,
Reference Name,نام کا حوالہ,
Rejected,مسترد,
Reload,دوبارہ,
Remarks,ریمارکس,
Reopen,دوبارہ کھولنے,
Resolve,حل کریں,
Resolved,حل ہوگیا,
Restore,بحال,
Rounded Total,مدور کل,
SMS,پیغام,
Sales,سیلز,
Sales Manager,منتظم سامان فروخت,
Sales User,سیلز صارف,
Scheduled,تخسوچت,
Scheduled Date,تخسوچت تاریخ,
Section,سیکشن,
Selling Price List,قیمت کی فہرست فروخت,
Serial No,سیریل نمبر,
Session Defaults,سیشن ڈیفالٹس,
Setup,سیٹ اپ,
Shipping,شپنگ,
Signature,دستخط,
Signed,سائن اپ,
Signed On,سائن ان,
Small Text,چھوٹے متن,
Sold,فروخت,
Source DocType,ماخذ ڈیک ٹائپ,
Source Warehouse,ماخذ گودام,
Standard,سٹینڈرڈ,
Start,شروع کریں,
Status,سٹیٹس,
Stock Entry,اسٹاک انٹری,
Stock UOM,اسٹاک UOM,
Student,طالب علم,
Subject,موضوع,
Submit,جمع کرائیں,
Submitted,پیش,
Subtotal,ذیلی کل,
Suspended,معطل,
System Manager,سسٹم مینیجر,
Task,ٹاسک,
Task Description,ٹاسک کی تفصیل۔,
Task Name,ٹاسک نام,
Task Type,ٹاسک کی قسم۔,
Tasks,ٹاسکس,
Template Name,سانچہ نام,
Terms,شرائط,
Text,متن,
Timestamp,ٹائمسٹیمپ,
Title,عنوان,
To Date,تاریخ کرنے کے لئے,
Tools,، فورم کے اوزار,
Total Cost,کل لاگت,
Totals,کل,
Type,قسم,
UOM,UOM,
Unit,یونٹ,
Unknown,نامعلوم,
Unverified,غیر تصدیق شدہ,
Urgent,ارجنٹ,
Valid From,سے درست,
Valid Till,تک مؤثر,
Valid Upto,درست,
Valuation Rate,تشخیص کی شرح,
Value,قدر,
Verification,تصدیق,
Verified By,کی طرف سے تصدیق,
Version,ورژن,
View Website,سائٹ,
Warehouse,گودام,
Warranty,وارنٹی,
Workflow State,کام کے فلو کو ریاست,
Working,کام کر رہے ہیں,
