API,API,
Accepted,Qabul qilingan,
Accounts User,Hisoblar foydalanuvchisi,
Action,Harakat,
Actions,Amallar,
Active,Faol,
Actual Cost,Haqiqiy xarajat,
Actual End Date,Haqiqiy tugash sanasi,
Actual Start Date,Haqiqiy boshlash sanasi,
All,HAMMA,
Amended From,O&#39;zgartirishlar,
Amount,Miqdori,
Approved,Tasdiqlandi,
Archive,Arxiv,
Archived,Arxivlangan,
Assigned To,Tayinlangan,
Attachments,Qo&#39;shimchalar,
Available,Mavjud,
Brand,Tovar,
Buying Price List,Narxlar ro&#39;yxatini sotib olish,
Cancel,Bekor qilish,
Canceled,Bekor qilindi,
Cancelled,BEKOR QILISH,
Category,Turkum,
Category Name,Turkum nomi,
Check,Tekshiring,
Client,Mijoz,
Close,Yoping,
Closed,Yopiq,
Color,Rang,
Comment,Izoh,
Comments,Sharhlar,
Company,Kompaniya,
Complete,To&#39;ldiring,
Completed,Tugallandi,
Component,Komponent,
Condition,Vaziyat,
Contact,Aloqa,
Contact Email,E-pochtaga murojaat qiling,
Contact Phone,Murojaat uchun telefon,
Conversion Rate,Ishlab chiqarish darajasi,
Created On,Yaratilgan,
Currency,Valyuta,
Current Status,Hozirgi holat,
Custom,Maxsus,
Customer,Xaridor,
Customer ID,Mijoz identifikatori,
Customer Name,Xaridor nomi,
Customer Type,Xaridor turi,
Data,Ma&#39;lumotlar,
Date,Sana,
Default,Standart,
Default Company,Standart kompaniya,
Default Item Group,Standart element guruhi,
Default Priority,Birlamchi ustuvorlik,
Default Source Warehouse,Standart manbalar ombori,
Default Value,Standart qiymat,
Defaults,Standartlar,
Delayed,Geciktirildi,
Delivered,Yetkazildi,
Depends On,Ga bog&#39;liq,
Description,Ta&#39;rif,
Desk,Stol,
Discount (%),Chegirma (%),
Discount Amount,Chegirma miqdori,
Discount Type,Chegirma turi,
Document Name,Hujjat nomi,
Document Type,Hujjat turi,
Draft,Loyihalar,
Due Date,Muddati,
Email,E-pochta,
Email Address,Elektron pochta manzili,
Enabled,Faol,
Error,Xato,
Estimated Cost,Bashoratli narxlar,
Expected End Date,Kutilayotgan tugash sanasi,
Expected Start Date,Kutilayotgan boshlanish sanasi,
Expired,Muddati o&#39;tgan,
Failed,Muvaffaqiyatsiz,
Field Type,Er turi,
First Name,Ism,
Float,Float,
From Date,Sana bo&#39;yicha,
Full Name,To&#39;liq ismi sharif,
Grand Total,Jami,
Hidden,maxfiy,
High,Oliy,
Hold,Ushlab turing,
Hours,Soatlar,
Idx,Idx,
In List View,Ro&#39;yxat ko&#39;rinishida,
In Progress,Jarayonda,
In Transit,Transitda,
Inactive,Faol emas,
Inspected By,Nazorat ostida,
Inspection Type,Tekshirish turi,
Int,Int,
Inventory,Inventarizatsiya,
Is Active,Faol,
Is Group,Guruh,
Issue,Nashr,
Issued,Berilgan sana,
Item,Mavzu,
Item Code,Mahsulot kodi,
Item Name,Mavzu nomi,
Items,Mahsulotlar,
Key,Kalit,
Keyboard Shortcuts,Klaviatura yorliqlari,
Lab Technician,Laboratoriya bo&#39;yicha mutaxassis,
Last Active,So&#39;nggi Foydalanuvchi bilan,
Last Name,Familiya,
Location,Manzil,
Logs,Yozuvlar,
Lost,Yo&#39;qotilgan,
Low,Kam,
Maintenance,Xizmat,
Manufacturer,Ishlab chiqaruvchi,
Mappings,Taqqoslash,
Medium,O&#39;rtacha,
Method,Boshqaruv,
Model,Model,
Modified By,Modifikatsiya qilingan,
Name,Ism,
Naming Series,Namunaviy qator,
New,Yangi,
Notes,Eslatmalar,
On Hold,Kutib turishda,
Open,Ochish,
Operation,Operatsiya,
Other,Boshqa,
Overdue,Vadesi o&#39;tgan,
Owner,Egasi,
Parameter,Parametr,
Parent Task,Ota-ona vazifasi,
Passed,O&#39;tdi,
Pending,Kutilmoqda,
Pending Review,Ko&#39;rib chiqishni kutish,
Percent Complete,Foiz to&#39;liq,
Percentage,Foiz,
Phone,Telefon,
Phone Number,Telefon raqami,
Planning,Rejalashtirish,
Portal,Portal,
Posting Date,O&#39;tilganlik sanasi,
Priority,Birinchi o&#39;ringa,
Progress,Harakatlaning,
